GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,"Estimate; Median age -- - Total: - Car, truck, or van - drove alone","Margin of Error; Median age -- - Total: - Car, truck, or van - drove alone","Estimate; Median age -- - Total: - Car, truck, or van - carpooled","Margin of Error; Median age -- - Total: - Car, truck, or van - carpooled",Estimate; Median age -- - Total: - Public transportation (excluding taxicab),Margin of Error; Median age -- - Total: - Public transportation (excluding taxicab),Estimate; Median age -- - Total: - Walked,Margin of Error; Median age -- - Total: - Walked,"Estimate; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means","Margin of Error; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means",Estimate; Median age -- - Total: - Worked at home,Margin of Error; Median age -- - Total: - Worked at home
0400000US01,01,Alabama,42.0,0.3,42.3,0.3,38.3,0.7,41.3,5.6,34.6,4.2,42.9,2.5,45.2,1.3
0400000US02,02,Alaska,39.5,0.5,39.6,0.7,35.5,2.0,33.7,5.0,39.3,1.7,39.8,3.0,50.4,4.3
0400000US04,04,Arizona,40.9,0.2,41.2,0.3,37.0,0.8,36.3,1.9,28.7,1.7,38.3,1.8,48.7,0.7
0400000US05,05,Arkansas,41.7,0.3,42.1,0.4,38.0,1.0,39.4,8.5,30.9,3.0,38.6,5.6,47.3,1.6
0400000US06,06,California,41.1,0.1,41.3,0.2,39.9,0.3,37.9,0.4,33.7,0.7,37.0,0.6,48.1,0.4
0400000US08,08,Colorado,40.7,0.2,41.1,0.3,37.8,0.6,35.6,1.4,29.9,1.5,35.1,1.3,47.0,0.8
0400000US09,09,Connecticut,44.4,0.2,45.2,0.3,38.7,2.1,35.7,1.2,31.1,2.4,41.2,3.4,49.2,1.0
0400000US10,10,Delaware,42.9,0.5,43.2,0.6,37.2,3.0,41.2,7.7,31.4,5.0,42.7,6.5,51.5,1.5
0400000US11,11,District of Columbia,42.1,0.3,44.5,0.5,44.1,1.5,40.4,0.7,31.7,0.8,39.0,2.9,41.6,2.6
0400000US12,12,Florida,42.9,0.2,43.1,0.2,39.2,0.6,36.4,1.2,37.2,1.4,39.7,1.6,49.2,0.7
0400000US13,13,Georgia,41.6,0.2,42.0,0.2,37.9,0.6,37.2,0.9,31.2,1.9,40.1,0.9,46.8,0.8
0400000US15,15,Hawaii,41.4,0.3,41.2,0.4,42.7,1.0,43.7,2.1,32.0,2.3,37.9,2.8,45.7,3.2
0400000US16,16,Idaho,40.9,0.4,41.0,0.6,38.5,1.1,38.7,7.6,35.1,2.0,40.1,4.5,47.1,1.5
0400000US17,17,Illinois,41.9,0.2,43.1,0.2,39.4,0.6,36.3,0.4,31.7,0.7,36.9,1.2,47.3,0.6
0400000US18,18,Indiana,42.1,0.2,42.7,0.2,37.9,0.8,33.6,1.8,28.6,1.6,34.5,1.6,45.9,1.0
0400000US19,19,Iowa,42.1,0.3,42.7,0.3,38.8,1.2,31.9,2.3,30.0,1.7,36.9,3.0,48.5,1.4
0400000US20,20,Kansas,41.5,0.3,42.1,0.3,37.2,0.9,31.9,2.3,32.0,2.5,35.7,3.0,46.9,1.5
0400000US21,21,Kentucky,41.5,0.3,42.1,0.3,36.9,1.0,36.2,4.2,28.5,3.1,37.4,2.5,47.6,1.3
0400000US22,22,Louisiana,41.2,0.3,41.7,0.3,37.0,0.8,36.3,1.2,32.6,2.3,38.2,2.9,49.4,1.3
0400000US23,23,Maine,44.9,0.3,45.6,0.4,39.4,1.4,49.1,14.0,29.1,2.7,33.8,6.7,51.6,2.7
0400000US24,24,Maryland,42.6,0.2,43.5,0.2,38.4,0.7,34.7,1.0,29.4,1.2,39.7,1.8,49.0,0.9
0400000US25,25,Massachusetts,43.0,0.2,44.9,0.2,39.6,0.9,35.1,0.6,29.6,0.7,35.6,1.2,49.0,0.7
0400000US26,26,Michigan,42.5,0.2,43.1,0.2,38.0,0.6,32.6,1.6,30.4,0.9,36.5,1.3,48.1,0.8
0400000US27,27,Minnesota,42.0,0.2,42.6,0.2,37.8,0.7,36.2,1.0,34.1,1.6,37.1,2.7,46.8,0.8
0400000US28,28,Mississippi,41.7,0.3,42.1,0.3,38.4,1.0,46.2,2.9,32.6,2.7,40.6,1.7,46.3,3.3
0400000US29,29,Missouri,42.0,0.2,42.4,0.2,39.6,0.8,37.6,1.5,32.0,1.9,39.2,2.3,45.6,1.1
0400000US30,30,Montana,43.0,0.5,43.7,0.6,37.9,1.9,36.8,8.5,39.1,3.0,39.1,3.0,48.7,2.0
0400000US31,31,Nebraska,41.8,0.3,42.4,0.3,36.9,1.0,32.4,6.6,39.6,3.6,41.1,3.2,47.3,2.0
