GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - Management, business, science, and arts occupations","Margin of Error; Total: - Management, business, science, and arts occupations",Estimate; Total: - Service occupations,Margin of Error; Total: - Service occupations,Estimate; Total: - Sales and office occupations,Margin of Error; Total: - Sales and office occupations,"Estimate; Total: - Natural resources, construction, and maintenance occupations","Margin of Error; Total: - Natural resources, construction, and maintenance occupations","Estimate; Total: - Production, transportation, and material moving occupations","Margin of Error; Total: - Production, transportation, and material moving occupations",Estimate; Total: - Military specific occupations,Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,"Estimate; Total: - Worked at home: - Management, business, science, and arts occupations","Margin of Error; Total: - Worked at home: - Management, business, science, and arts occupations",Estimate; Total: - Worked at home: - Service occupations,Margin of Error; Total: - Worked at home: - Service occupations,Estimate; Total: - Worked at home: - Sales and office occupations,Margin of Error; Total: - Worked at home: - Sales and office occupations,"Estimate; Total: - Worked at home: - Natural resources, construction, and maintenance occupations","Margin of Error; Total: - Worked at home: - Natural resources, construction, and maintenance occupations","Estimate; Total: - Worked at home: - Production, transportation, and material moving occupations","Margin of Error; Total: - Worked at home: - Production, transportation, and material moving occupations",Estimate; Total: - Worked at home: - Military specific occupations
31,Nebraska,997028,7665,365118,6859,160230,6422,232728,6570,101510,4422,135375,4308,2067,38329,2511,19470,1945,6272,827,7991,1124,2922,698,1652,457,22
32,Nevada,1316032,11725,359653,9842,361318,9942,343381,9204,116867,5355,131663,6068,3150,48105,3466,23298,2245,6047,1388,14799,2271,1548,638,2413,883,0
33,New Hampshire,648037,9330,252086,7355,106723,5125,160683,5665,53102,3298,74870,5212,573,45424,3300,23127,2160,5203,1318,12110,1889,2913,941,1996,573,75
34,New Jersey,3978088,24028,1560926,17367,682721,14872,981367,16402,294978,8760,452689,10940,5407,175053,6184,98426,5380,16869,2416,45627,2768,7983,1753,6032,1243,116
35,New Mexico,871327,12369,301765,8476,185871,8534,205780,7147,97787,5095,76191,4642,3933,42276,3309,20109,2057,8004,1331,8493,1551,3341,1008,2329,897,0
36,New York,9667841,32948,3948395,33208,1883733,25028,2241609,23128,699566,11428,881154,14950,13384,367645,11384,205791,7343,54876,3985,74790,4462,15465,2227,14472,2106,2251
37,North Carolina,4520809,21089,1646255,19594,758606,14284,1031088,17264,444321,11137,601329,12678,39210,227544,8563,118429,6344,24066,2669,55525,4049,14456,2354,13180,2193,1888
38,North Dakota,437559,5770,151329,5658,70324,3928,92484,4207,64653,3863,56107,3399,2662,18103,1810,10041,1260,3077,739,2856,994,1220,369,909,318,0
39,Ohio,5393979,20740,1941193,20619,926142,12833,1257676,16819,408472,10052,858583,13944,1913,200420,7634,102606,5125,25049,2605,49214,3129,9358,1571,14193,2288,0
40,Oklahoma,1730466,11506,582165,8288,303668,7886,416212,8656,200689,5348,216006,6676,11726,65232,3392,27152,2449,8793,1306,14804,1638,6593,1223,3826,783,4064
41,Oregon,1888562,14550,705439,10517,346791,9231,431403,9889,171511,8119,232575,7662,843,116484,6214,63774,3658,17767,2152,24190,2575,6324,1663,4378,1036,51
42,Pennsylvania,5911288,22804,2213309,22566,1031472,17162,1371589,16555,480336,9173,812669,12760,1913,252050,7598,135549,4723,31563,2690,59005,3634,12712,1737,13221,1926,0
44,Rhode Island,484342,7695,192722,5742,89369,4885,116133,6753,33909,2958,50834,3845,1375,16928,2204,9207,1460,1890,893,4414,847,666,444,354,280,397
45,South Carolina,2112333,18257,707923,13008,374959,10925,512048,12370,195411,8315,306913,10501,15079,80706,4303,39314,2642,9651,1586,20983,2509,4778,1283,4823,1128,1157
46,South Dakota,435764,6340,147669,5231,76996,4313,101378,4039,47278,2827,61470,3321,973,24970,2293,13582,1719,3939,907,3975,872,1979,550,1495,548,0
47,Tennessee,3002764,19872,1029673,13633,503739,12925,728411,14066,264650,9218,472413,12413,3878,111397,5794,59986,3866,12035,1772,26381,2383,6198,1475,6797,1489,0
48,Texas,12559656,35659,4420533,31105,2160800,26675,3040719,33156,1367442,21676,1518707,20817,51455,548949,12907,265549,8622,72663,5652,141891,6709,34789,3644,29291,3303,4766
49,Utah,1393568,12637,512707,9189,212056,7611,364383,8279,120281,5797,182769,7000,1372,77377,4490,40009,3294,9188,1429,21088,2221,3028,864,4019,1004,45
50,Vermont,319961,4755,130846,4443,55339,3353,68205,3316,29793,2109,35638,2477,140,19568,1772,11382,1278,3206,721,2656,621,1315,515,1006,341,3
51,Virginia,4005675,20484,1646972,17070,671312,14658,885236,13381,358422,9826,393058,12536,50675,190819,7001,105996,4314,28209,2792,39540,3065,8773,1626,7348,1387,953
53,Washington,3322759,19821,1324200,17475,556406,14114,721825,14751,325366,8770,368940,10558,26022,190433,8659,99932,5822,31210,2937,40183,3377,10368,1761,7531,1294,1209
54,West Virginia,705487,9511,243503,7747,140916,6700,163871,5639,73250,3588,83539,4006,408,23448,2299,10437,1774,4225,1129,5614,1224,1841,721,1331,508,0
55,Wisconsin,2867776,12108,1010550,11722,484836,9217,642680,9967,245568,5811,483372,7997,770,119009,4725,58352,3438,20038,2177,25693,1761,8007,992,6914,1037,5
56,Wyoming,297812,5401,93881,4213,50961,4049,64546,3693,48209,3510,38657,3308,1558,12136,2070,5021,989,1962,816,2155,761,2176,1039,822,482,0
72,Puerto Rico,999433,11296,322766,8638,213451,8500,270801,8248,90612,5115,101533,5659,270,21900,3156,7962,1651,4494,1461,4416,1221,2733,978,2295,731,0
