GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD18,HD02_VD18,HD01_VD35,HD02_VD35,HD01_VD52,HD02_VD52
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Worked at home,Margin of Error; Worked at home,Estimate; Male: - Worked at home,Margin of Error; Male: - Worked at home,Estimate; Female: - Worked at home,Margin of Error; Female: - Worked at home
01,Alabama,2018956,15858,47099,3439,23919,2585,23180,2080
02,Alaska,346972,5192,20198,3521,12473,3180,7725,1332
04,Arizona,2873827,16529,141022,6203,69878,4519,71144,4556
05,Arkansas,1258196,11855,41228,3842,20464,2420,20764,2348
06,California,16811097,46380,805257,18388,393574,13517,411683,11678
08,Colorado,2540846,14808,161571,5613,82039,3999,79532,4001
09,Connecticut,1735519,14783,70901,4363,35509,2757,35392,2745
10,Delaware,425838,7387,12517,1613,6198,1244,6319,1121
11,District of Columbia,756816,11962,14084,1723,7489,1218,6595,1328
12,Florida,8222779,29739,370545,10598,194951,8790,175594,6357
13,Georgia,4504094,24969,214197,8325,119027,6658,95170,5232
15,Hawaii,657446,7936,30105,3003,15577,2081,14528,1824
16,Idaho,697445,7476,37741,3029,19080,2235,18661,2101
17,Illinois,6202729,25682,248198,8356,126397,5040,121801,5838
18,Indiana,2970548,18262,94007,4846,48146,3354,45861,3394
19,Iowa,1566652,9342,69521,3955,33190,2509,36331,2838
20,Kansas,1451045,10233,60463,4949,31759,3355,28704,2529
21,Kentucky,1893694,15090,53902,3855,27423,2790,26479,2345
22,Louisiana,1975948,15956,46215,4169,22211,2490,24004,2405
23,Maine,633538,8163,33953,2937,15333,2145,18620,1978
24,Maryland,2632012,21935,111130,5972,51875,3873,59255,3658
25,Massachusetts,3381819,18045,129985,5383,63218,3930,66767,3563
26,Michigan,4411241,19893,154956,7093,73877,4957,81079,4148
27,Minnesota,2797198,12211,134779,5290,68959,4091,65820,3359
28,Mississippi,1199322,13483,27920,3147,15274,2312,12646,1685
29,Missouri,2893867,16163,118464,6032,63218,4370,55246,4429
30,Montana,476288,6733,31155,3237,16149,1864,15006,2065
31,Nebraska,962264,6784,46407,2860,24933,2223,21474,1737
32,Nevada,1274145,10608,37497,3236,19467,2234,18030,1920
33,New Hampshire,658937,8772,35981,3002,19857,2279,16124,1884
34,New Jersey,4037781,22076,142203,7189,76386,4906,65817,4118
35,New Mexico,882957,11948,40226,3401,19861,2591,20365,2026
36,New York,9544314,39140,358631,10693,187004,7463,171627,6644
37,North Carolina,4378919,22722,189102,10113,109546,9091,79556,4601
38,North Dakota,366133,4823,21252,1866,11721,1353,9531,1213
39,Ohio,5457392,21325,177889,7252,88382,5069,89507,4604
40,Oklahoma,1678336,13891,60678,3871,33863,2889,26815,2081
41,Oregon,1846985,12592,105164,4759,51436,3328,53728,3205
42,Pennsylvania,5815763,21795,200914,7636,101280,5372,99634,4995
44,Rhode Island,484092,8813,18679,2950,9254,2163,9425,1399
45,South Carolina,1986511,14160,74128,5490,40328,4246,33800,2968
46,South Dakota,426380,5903,21860,2281,12310,1581,9550,1181
47,Tennessee,2904009,14312,96213,5580,49825,3861,46388,3664
48,Texas,11304328,37623,430840,12622,232663,8541,198177,8252
49,Utah,1299704,8857,60178,3561,26201,2596,33977,2730
50,Vermont,329822,4833,22190,2155,10762,1267,11428,1615
51,Virginia,3860940,24253,168172,8042,86159,6596,82013,4759
53,Washington,3143242,17061,161458,6851,77989,4981,83469,4963
54,West Virginia,742912,8545,22641,2303,9827,1707,12814,1507
55,Wisconsin,2860257,13044,109976,4132,56472,3350,53504,2558
56,Wyoming,291336,5214,14030,1929,6888,1307,7142,1156
72,Puerto Rico,1203342,13382,29530,5224,18165,3153,11365,2780
