GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; 16 to 19 years,Margin of Error; 16 to 19 years,Estimate; 20 to 24 years,Margin of Error; 20 to 24 years,Estimate; 25 to 44 years,Margin of Error; 25 to 44 years,Estimate; 45 to 54 years,Margin of Error; 45 to 54 years,Estimate; 55 to 59 years,Margin of Error; 55 to 59 years,Estimate; 60 to 64 years,Margin of Error; 60 to 64 years,Estimate; 65 years and over,Estimate; Worked at home:,Margin of Error; Worked at home:,Estimate; Worked at home: - 16 to 19 years,Margin of Error; Worked at home: - 16 to 19 years,Estimate; Worked at home: - 20 to 24 years,Margin of Error; Worked at home: - 20 to 24 years,Estimate; Worked at home: - 25 to 44 years,Margin of Error; Worked at home: - 25 to 44 years,Estimate; Worked at home: - 45 to 54 years,Margin of Error; Worked at home: - 45 to 54 years,Estimate; Worked at home: - 55 to 59 years,Margin of Error; Worked at home: - 55 to 59 years,Estimate; Worked at home: - 60 to 64 years,Margin of Error; Worked at home: - 60 to 64 years,Estimate; Worked at home: - 65 years and over
01,Alabama,1943541,17358,81203,4238,195607,5914,874821,9633,454285,6933,164642,5263,97211,4688,75772,50545,3217,1355,563,2724,775,19142,2031,13118,1711,6301,1141,4219,857,3686
02,Alaska,335039,5319,18057,1746,41017,2724,142856,3676,82421,2684,28593,1932,14063,1669,8032,19609,2190,392,298,3991,903,6692,1271,3897,1020,2215,632,1328,462,1094
04,Arizona,2753513,16653,119070,5181,286309,7825,1298610,11539,596020,6600,218597,5814,134525,4833,100382,134566,7156,1423,528,5517,1297,53775,4195,37605,3483,11342,1711,12345,1701,12559
05,Arkansas,1215761,12042,53981,3578,116829,4364,545254,8099,278323,5208,105703,4514,64994,3705,50677,42238,3410,2369,798,1647,728,14239,1954,10987,2147,4906,1008,3291,711,4799
06,California,16419565,42800,626487,9853,1741314,15024,7756226,25949,3705641,17056,1297173,16814,746601,13900,546123,787343,14812,16126,2083,37545,3411,302672,10228,214412,7966,83632,4675,63432,4235,69524
08,Colorado,2435073,13940,103040,4225,232003,6350,1118831,9862,580523,6619,203698,6392,119920,4478,77058,146541,6072,2470,719,2935,923,58137,3915,43324,3636,15830,1860,13464,1560,10381
09,Connecticut,1709091,12320,72770,3250,147266,4118,723950,9346,431384,6393,159958,4470,103286,3944,70477,65091,3752,1543,542,3295,1039,23162,2427,18161,1705,6881,1324,6149,1112,5900
10,Delaware,413937,8689,18840,1678,39402,2645,179991,5443,100964,3062,35221,2438,23492,2247,16027,12842,1913,466,459,339,278,5651,1315,2422,666,1665,645,666,327,1633
11,District of Columbia,717403,11693,9198,1404,53798,3717,348894,8607,171957,5931,68152,3650,39804,2843,25600,14608,2387,535,652,1704,1164,5824,1390,2404,727,1242,547,728,336,2171
12,Florida,8142524,32580,314205,9419,747652,10295,3643659,17954,1899028,13300,714366,10875,446191,9213,377423,340770,9629,4678,1083,13140,2097,130597,6289,92916,5887,40470,3200,26261,2162,32708
13,Georgia,4333325,21575,175327,7022,401011,8356,2098029,14961,984331,10793,338559,8082,201353,7321,134715,188556,8282,5837,1561,9326,1788,79806,5008,50756,3730,20297,2929,12503,1733,10031
15,Hawaii,628564,6795,22791,2162,62535,3184,276747,4164,145357,3301,57207,3617,36159,2696,27768,26516,2681,969,773,1130,482,8236,1841,6956,1356,3334,820,2414,567,3477
16,Idaho,682844,7481,36415,2811,72561,2425,305790,5244,155389,2982,56190,2647,33365,2572,23134,36997,3222,766,478,1581,658,14651,2081,9334,1687,3868,764,2864,713,3933
