GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Private for-profit wage and salary workers:,Margin of Error; Total: - Private for-profit wage and salary workers:,Estimate; Total: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Total: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Total: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Total: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Total: - Private not-for-profit wage and salary workers,Margin of Error; Total: - Private not-for-profit wage and salary workers,Estimate; Total: - Local government workers,Margin of Error; Total: - Local government workers,Estimate; Total: - State government workers,Margin of Error; Total: - State government workers,Estimate; Total: - Federal government workers,Margin of Error; Total: - Federal government workers,Estimate; Total: - Self-employed in own not incorporated business workers,Margin of Error; Total: - Self-employed in own not incorporated business workers,Estimate; Total: - Unpaid family workers,Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers:,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers:,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Total: - Worked at home: - Private not-for-profit wage and salary workers,Margin of Error; Total: - Worked at home: - Private not-for-profit wage and salary workers,Estimate; Total: - Worked at home: - Local government workers,Margin of Error; Total: - Worked at home: - Local government workers,Estimate; Total: - Worked at home: - State government workers,Margin of Error; Total: - Worked at home: - State government workers,Estimate; Total: - Worked at home: - Federal government workers,Margin of Error; Total: - Worked at home: - Federal government workers,Estimate; Total: - Worked at home: - Self-employed in own not incorporated business workers,Margin of Error; Total: - Worked at home: - Self-employed in own not incorporated business workers,Estimate; Total: - Worked at home: - Unpaid family workers
01,Alabama,1916877,16226,1350613,14032,1290830,13929,59783,4412,125769,5661,143611,6471,110231,5845,79745,4503,105046,5498,1862,55782,4508,30494,2999,24309,2937,6185,1121,2949,1056,860,451,2013,933,1875,913,16979,2599,612
02,Alaska,352044,6246,191817,6157,181472,6223,10345,1857,31778,2876,30206,2749,31745,2476,46096,3738,19426,2064,976,18805,3141,9825,2028,7119,1618,2706,1043,864,438,305,172,885,498,1301,1679,5240,1005,385
04,Arizona,2600823,20960,1851503,20920,1755818,20343,95685,5708,171041,7521,205050,7331,119187,5968,97129,5788,154008,7715,2905,150889,6705,87968,4903,64488,4178,23480,2902,7889,2636,2873,855,3279,774,2613,1027,45208,3941,1059
05,Arkansas,1223069,12450,843571,12447,804833,12694,38738,3340,84627,4630,74610,3922,104094,4460,37629,3349,76597,4408,1941,36259,3465,15376,2233,11869,1949,3507,857,3736,1793,695,408,1853,829,209,272,13979,2321,411
06,California,15926651,47686,11065192,44895,10522222,45273,542970,12686,1050890,18114,1297307,19410,670291,17193,495771,12253,1324447,23877,22753,824305,17515,388321,11484,288533,9647,99788,6228,36273,5150,30907,2894,39284,4603,20643,4076,303123,11298,5754
08,Colorado,2417222,16499,1678902,14728,1556236,14140,122666,5945,178694,6588,180978,6370,98241,6026,106222,5321,170973,7009,3212,155132,7501,94017,5517,62464,4178,31553,3398,8273,1442,3075,1022,1664,657,1034,464,46652,3154,417
09,Connecticut,1696736,11314,1182164,13667,1124893,12705,57271,3395,165984,7262,131025,6177,73710,3967,32921,2662,109259,5634,1673,67215,4129,36173,2701,27889,2580,8284,1175,3445,882,991,496,1116,648,1132,625,24147,2556,211
10,Delaware,412806,8922,296796,8169,282093,7981,14703,2014,37681,3007,15141,1824,35601,3030,11420,1673,16026,2140,141,14762,1986,9402,1586,6839,1310,2563,928,622,283,73,78,238,194,53,89,4311,1088,63
11,District of Columbia,784987,13175,346421,9867,329890,9378,16531,2409,122944,7085,34686,3308,13630,2484,242497,7108,24270,2296,539,14870,2071,6362,1400,4803,1183,1559,707,1293,498,409,409,0,273,1777,915,4914,1217,115
12,Florida,7821529,28945,5766710,33611,5312735,33425,453975,11671,492767,12881,608705,13355,250891,9684,234450,7888,458681,13160,9325,362831,11267,226468,8468,151624,6905,74844,4786,12697,2105,4562,1261,4902,1296,14675,2752,98264,5609,1263
13,Georgia,4114847,23689,2918965,25522,2746650,25857,172315,7164,247368,9008,316241,9059,203110,8457,192228,7156,230239,8512,6696,198889,8662,123481,6153,92850,4899,30631,3320,7793,1601,2406,781,4412,1416,10731,2716,49317,4170,749
15,Hawaii,658038,8063,391138,9626,368666,9101,22472,2670,46268,3556,25536,2771,65174,4114,80822,4542,46661,3675,2439,33658,4890,13969,2405,8010,1726,5959,1591,1931,849,298,290,740,381,3673,3955,12478,1813,569
16,Idaho,654351,9215,458375,8316,429339,8098,29036,2697,41626,3259,47771,3050,33348,2648,22139,2130,49506,3267,1586,40257,3944,20933,2733,15176,2397,5757,1456,1698,699,505,311,499,347,724,419,15475,2134,423
