GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD08,HD02_VD08
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home
01,Alabama,41.5,0.3,46.7,1.2
02,Alaska,40.3,0.5,43.2,2.9
04,Arizona,40.1,0.2,47.2,0.9
05,Arkansas,41.2,0.3,44.4,1.2
06,California,40.4,0.1,46.6,0.4
08,Colorado,40.7,0.1,46.2,0.7
09,Connecticut,43.3,0.2,46.6,0.9
10,Delaware,42.0,0.5,46.8,1.7
11,District of Columbia,43.0,0.4,40.9,3.1
12,Florida,42.3,0.1,47.0,0.6
13,Georgia,40.7,0.2,44.3,0.6
15,Hawaii,41.8,0.3,50.8,1.8
16,Idaho,40.2,0.3,45.7,1.3
17,Illinois,41.2,0.1,45.3,0.7
18,Indiana,41.8,0.2,46.0,0.8
19,Iowa,42.3,0.2,48.7,1.0
20,Kansas,41.3,0.3,46.2,1.4
21,Kentucky,41.2,0.2,45.8,1.8
22,Louisiana,41.2,0.2,47.1,1.5
23,Maine,44.2,0.3,49.2,2.1
24,Maryland,42.0,0.2,46.1,0.8
25,Massachusetts,42.4,0.1,47.2,0.9
26,Michigan,42.0,0.1,46.1,0.9
27,Minnesota,41.9,0.2,45.8,0.6
28,Mississippi,41.1,0.3,47.3,2.2
29,Missouri,41.7,0.2,45.8,1.2
30,Montana,42.8,0.4,47.8,2.0
31,Nebraska,41.6,0.3,47.4,1.6
32,Nevada,40.8,0.3,48.9,1.4
33,New Hampshire,43.1,0.4,48.5,1.1
34,New Jersey,43.1,0.2,47.2,0.8
35,New Mexico,41.5,0.3,48.9,1.2
36,New York,42.2,0.2,46.2,0.7
37,North Carolina,41.2,0.2,43.7,0.8
38,North Dakota,41.4,0.5,48.5,2.2
39,Ohio,42.3,0.1,45.9,0.9
40,Oklahoma,41.1,0.3,46.0,1.5
41,Oregon,41.6,0.2,47.7,1.3
42,Pennsylvania,43.2,0.1,46.5,0.5
44,Rhode Island,42.5,0.5,44.4,3.2
45,South Carolina,41.6,0.3,43.6,1.6
46,South Dakota,42.8,0.4,47.0,2.0
47,Tennessee,41.7,0.2,46.7,0.9
48,Texas,39.9,0.1,45.1,0.4
49,Utah,36.4,0.3,42.6,1.5
50,Vermont,44.4,0.3,50.4,1.6
51,Virginia,41.6,0.1,44.5,0.9
53,Washington,41.5,0.2,46.0,0.7
54,West Virginia,42.5,0.3,44.8,1.4
55,Wisconsin,42.1,0.1,46.4,0.7
56,Wyoming,42.3,0.5,48.7,2.6
72,Puerto Rico,39.7,0.3,42.6,3.3
