GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71,HD01_VD72
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Private for-profit wage and salary workers:,Margin of Error; Private for-profit wage and salary workers:,Estimate; Employee of private company workers,Margin of Error; Employee of private company workers,Estimate; Self-employed in own incorporated business workers,Margin of Error; Self-employed in own incorporated business workers,Estimate; Private not-for-profit wage and salary workers,Margin of Error; Private not-for-profit wage and salary workers,Estimate; Local government workers,Margin of Error; Local government workers,Estimate; State government workers,Margin of Error; State government workers,Estimate; Federal government workers,Margin of Error; Federal government workers,Estimate; Self-employed in own not incorporated business workers,Margin of Error; Self-employed in own not incorporated business workers,Estimate; Unpaid family workers,Estimate; Worked at home:,Margin of Error; Worked at home:,Estimate; Worked at home: - Private for-profit wage and salary workers:,Margin of Error; Worked at home: - Private for-profit wage and salary workers:,Estimate; Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Worked at home: - Private not-for-profit wage and salary workers,Margin of Error; Worked at home: - Private not-for-profit wage and salary workers,Estimate; Worked at home: - Local government workers,Margin of Error; Worked at home: - Local government workers,Estimate; Worked at home: - State government workers,Margin of Error; Worked at home: - State government workers,Estimate; Worked at home: - Federal government workers,Margin of Error; Worked at home: - Federal government workers,Estimate; Worked at home: - Self-employed in own not incorporated business workers,Margin of Error; Worked at home: - Self-employed in own not incorporated business workers,Estimate; Worked at home: - Unpaid family workers
01,Alabama,1919778,14797,1342962,17341,1283058,17453,59904,4028,124486,4869,143224,6146,111342,4704,84381,5336,110981,5273,2402,48426,3670,25905,2942,20378,2449,5527,1169,1888,733,833,391,938,329,1058,630,17444,2148,360
02,Alaska,342551,6394,193448,6212,183717,6263,9731,1677,33627,2396,29376,2335,28045,2424,34837,3482,22194,2237,1024,15398,2206,5092,1213,2765,959,2327,704,790,402,216,129,905,579,317,262,7847,1492,231
04,Arizona,2729757,21363,1958225,23198,1858749,22179,99476,6256,170016,8908,203150,9291,131775,6669,90860,5559,172893,9264,2838,142062,7340,77459,5389,54798,4407,22661,2562,6899,1834,2804,803,3020,763,799,519,50503,4516,578
05,Arkansas,1224374,14588,859121,15429,820298,15694,38823,2930,85989,4745,69087,4245,94037,5081,32289,2777,81908,4441,1943,42408,3585,19828,2506,14462,2397,5366,1056,2713,873,385,221,1082,464,486,350,17429,2110,485
06,California,16139699,40928,11220878,43097,10697662,42862,523216,11524,1049534,16246,1319790,19240,663505,13080,477486,11817,1382955,19901,25551,832146,16574,378488,10604,285218,8553,93270,5514,35231,3626,32867,3204,35050,3440,19330,2853,325634,10050,5546
08,Colorado,2453377,15718,1732230,18738,1606702,19805,125528,5715,180015,6242,178787,7031,98054,5439,95233,5641,165346,6000,3712,166093,6611,98469,5062,67972,3966,30497,3270,7370,1420,3278,864,2011,788,1192,465,52877,3538,896
09,Connecticut,1694719,12924,1195641,15005,1136868,14278,58773,4047,162263,6727,128162,6057,70010,3924,29612,2600,107272,4799,1759,69894,4619,39322,3297,29869,2771,9453,1571,3960,929,1302,529,1386,561,525,370,23018,2180,381
10,Delaware,416661,8712,298986,7573,282594,7343,16392,2057,40302,3394,12127,1781,36982,3125,11057,1665,16995,1983,212,13434,1820,7693,1246,4974,1027,2719,813,991,616,53,88,411,325,125,221,4059,992,102
11,District of Columbia,758689,11963,329520,9914,311052,9816,18468,2526,119031,5685,36931,3547,13056,1786,232978,8426,26597,2133,576,15041,1984,6530,1284,4440,1045,2090,765,1266,457,168,209,254,206,1587,815,4974,1048,262
