GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD18,HD02_VD18,HD01_VD35,HD02_VD35,HD01_VD52,HD02_VD52
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Worked at home,Margin of Error; Worked at home,Estimate; Male: - Worked at home,Margin of Error; Male: - Worked at home,Estimate; Female: - Worked at home,Margin of Error; Female: - Worked at home
01,Alabama,1943541,17358,50545,3217,28656,2198,21889,2270
02,Alaska,335039,5319,19609,2190,12831,1746,6778,1200
04,Arizona,2753513,16653,134566,7156,68622,4883,65944,3991
05,Arkansas,1215761,12042,42238,3410,21800,2453,20438,2150
06,California,16419565,42800,787343,14812,398913,10427,388430,10224
08,Colorado,2435073,13940,146541,6072,75291,4478,71250,3807
09,Connecticut,1709091,12320,65091,3752,34552,2812,30539,1994
10,Delaware,413937,8689,12842,1913,5927,1345,6915,1141
11,District of Columbia,717403,11693,14608,2387,7921,1770,6687,1316
12,Florida,8142524,32580,340770,9629,188200,6950,152570,6095
13,Georgia,4333325,21575,188556,8282,100897,5975,87659,5209
15,Hawaii,628564,6795,26516,2681,13676,1927,12840,1713
16,Idaho,682844,7481,36997,3222,19612,2422,17385,1850
17,Illinois,5997956,22464,219486,7761,114379,5451,105107,4340
18,Indiana,2900016,16823,94556,4721,50261,3401,44295,3155
19,Iowa,1501636,10108,73802,3925,36937,2619,36865,2314
20,Kansas,1387425,11649,60068,3272,28631,2284,31437,2435
21,Kentucky,1880402,16550,60114,4091,31325,2687,28789,2502
22,Louisiana,1860956,16291,50838,4330,25553,3445,25285,2120
23,Maine,632517,6177,31176,2397,14465,1675,16711,1588
24,Maryland,2533049,18945,100238,4509,48041,3443,52197,2871
25,Massachusetts,3248181,20259,127156,6301,62289,4189,64867,4138
26,Michigan,4353614,19490,148720,5119,70706,3844,78014,3633
27,Minnesota,2699357,11495,137680,5220,71239,3504,66441,3861
28,Mississippi,1137160,13327,28661,2447,14633,1752,14028,1705
29,Missouri,2801049,17914,111923,4631,57773,3414,54150,2986
30,Montana,460787,6510,33309,2673,17095,1612,16214,1826
31,Nebraska,924995,7494,51254,3408,25911,2292,25343,2353
32,Nevada,1239805,9794,37201,3562,20255,2542,16946,2012
33,New Hampshire,634899,8958,34099,2689,19280,1995,14819,1490
34,New Jersey,3884858,25676,137688,6210,72860,4776,64828,4379
35,New Mexico,864109,11632,44981,3795,24621,2535,20360,2596
36,New York,9125307,32776,335463,10536,176342,7305,159121,6889
37,North Carolina,4158877,23404,164377,6445,87238,4523,77139,4473
38,North Dakota,354240,4443,19161,1831,11579,1189,7582,1143
39,Ohio,5303682,23438,186325,6011,94081,3770,92244,4241
40,Oklahoma,1619414,12405,63967,4025,37198,2952,26769,2384
41,Oregon,1805164,15223,94926,4929,46161,3517,48765,3100
42,Pennsylvania,5656203,24206,206755,5905,107876,4710,98879,3952
44,Rhode Island,481741,8288,16460,1918,8125,1453,8335,1290
45,South Carolina,1933392,16032,77526,4733,43220,3830,34306,2660
46,South Dakota,410015,5938,25033,2157,15243,1579,9790,1281
47,Tennessee,2825043,13715,94257,4983,50013,3781,44244,3264
48,Texas,10726872,30735,388009,10250,200075,6630,187934,6500
49,Utah,1245356,8786,66171,4352,29767,2666,36404,3000
50,Vermont,321803,5034,20944,2224,10814,1464,10130,1398
51,Virginia,3726085,18171,172220,6110,90522,4869,81698,4574
53,Washington,3039725,18492,149405,6326,72490,4437,76915,4643
54,West Virginia,710844,10628,20634,2346,9284,1377,11350,1654
55,Wisconsin,2751115,14020,113272,4448,58313,2963,54959,2593
56,Wyoming,279264,5540,12545,1882,6115,1199,6430,1247
72,Puerto Rico,1136874,14728,21554,2360,13080,1688,8474,1527
