GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 16 to 19 years,Margin of Error; Total: - 16 to 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 44 years,Margin of Error; Total: - 25 to 44 years,Estimate; Total: - 45 to 54 years,Margin of Error; Total: - 45 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 years and over,Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - 16 to 19 years,Margin of Error; Total: - Worked at home: - 16 to 19 years,Estimate; Total: - Worked at home: - 20 to 24 years,Margin of Error; Total: - Worked at home: - 20 to 24 years,Estimate; Total: - Worked at home: - 25 to 44 years,Margin of Error; Total: - Worked at home: - 25 to 44 years,Estimate; Total: - Worked at home: - 45 to 54 years,Margin of Error; Total: - Worked at home: - 45 to 54 years,Estimate; Total: - Worked at home: - 55 to 59 years,Margin of Error; Total: - Worked at home: - 55 to 59 years,Estimate; Total: - Worked at home: - 60 to 64 years,Margin of Error; Total: - Worked at home: - 60 to 64 years,Estimate; Total: - Worked at home: - 65 years and over
01,Alabama,1914756,17722,57180,3734,188833,5675,827597,9875,448198,6835,181062,6365,123676,5723,88210,51126,4304,665,418,2494,715,19131,2905,12606,2112,5408,1034,5739,1183,5083
02,Alaska,355925,6110,12668,1431,41336,2302,151893,3666,81567,3044,35766,2946,20913,1864,11782,16875,2033,496,385,1632,676,5789,1312,3287,748,1944,676,2071,630,1656
04,Arizona,2623436,18031,89842,5957,267145,7351,1174862,10982,575848,8290,239467,7962,166090,7137,110182,145782,8522,3557,1183,6850,1628,52395,5465,36080,3256,18194,2520,14890,2516,13816
05,Arkansas,1214826,11798,39404,3277,126040,4803,526928,7775,271477,6000,117433,4359,75756,3649,57788,40569,3617,1142,550,1914,666,16136,2564,10020,1646,5019,1173,2660,734,3678
06,California,16042489,40016,403742,9438,1604889,14366,7400661,26045,3648003,19690,1421455,16197,935451,15685,628288,857352,17561,14723,1983,42590,3928,313632,11397,225959,8017,100965,5009,77758,4425,81725
08,Colorado,2462381,12823,83037,4583,242291,6190,1103818,9813,549173,7049,238871,6972,149625,6217,95566,154954,7327,2110,693,4386,1304,57059,4550,41092,4030,21506,2754,15483,2267,13318
09,Connecticut,1710953,13550,62381,3952,140959,4188,677343,9124,441365,5181,175176,5039,121389,4544,92340,72435,4059,1739,662,3292,858,19989,2238,23648,2230,8184,1270,7674,1515,7909
10,Delaware,407733,7229,11967,1398,40002,2539,168414,5117,98914,3491,39198,2771,27374,2616,21864,15023,1984,69,82,576,387,5738,1147,3650,978,1316,436,1684,712,1990
11,District of Columbia,805581,14168,7373,1362,51573,4067,393132,10667,189557,7870,77889,4458,53254,3144,32803,14700,2159,206,189,1185,671,6489,1451,2846,773,1724,777,1445,536,805
12,Florida,7951248,35473,217309,8160,734506,12319,3378597,19154,1908447,16742,766438,15973,539364,10831,406587,368113,13214,5797,1242,17871,2266,131651,7855,96098,6792,43130,4453,34822,3150,38744
13,Georgia,4154601,29139,122354,6846,381103,11286,1937399,18314,961456,10609,369155,9391,236921,8600,146213,193640,9587,5286,866,8948,1552,81394,6676,47599,4570,21778,2500,15785,2034,12850
15,Hawaii,650007,8074,16061,1760,64486,2843,275881,4345,145479,3178,64226,3543,47379,3177,36495,29592,2924,579,404,3015,944,9651,1762,6658,1627,2819,761,2768,812,4102
16,Idaho,650977,9066,27514,3269,66742,3038,278117,5201,145283,4730,65524,3353,41529,2837,26268,41471,4792,839,514,1729,927,14205,2189,11415,2690,5839,1746,4169,1296,3275
17,Illinois,5812277,24156,186803,6377,532952,9383,2564573,14848,1365888,11595,555629,9741,359938,8125,246494,238350,9003,6923,1577,11721,1786,86791,5452,65001,4562,24478,2343,21174,2236,22262
18,Indiana,2836280,19856,102733,4666,270191,7357,1200972,11661,671382,8580,285567,6737,185672,6317,119763,90794,5194,2857,674,5680,1067,30638,2672,23246,3016,11066,1609,8541,1570,8766
19,Iowa,1516771,10252,69747,3404,158104,4567,608846,6248,346991,4655,152390,4256,106013,4171,74680,69772,3681,2986,704,5342,1105,22097,2194,16591,1677,7114,1167,7075,1184,8567
20,Kansas,1388460,12936,61021,3874,142795,5637,568333,8213,313523,5657,139326,4903,93381,4220,70081,59431,3662,1626,600,4103,983,18698,1935,14786,1928,6963,1239,6073,1027,7182
21,Kentucky,1834339,14693,68835,4133,185578,5633,793284,8298,427433,7503,171813,5536,111761,4779,75635,52732,4271,1457,462,1884,693,17593,2405,12468,1824,8791,1742,4791,1339,5748
22,Louisiana,1954590,17940,65190,3597,205435,6682,855126,11835,439486,6740,186707,5776,114830,3894,87816,41995,3794,1128,533,1708,750,16599,2616,9487,1570,5242,1219,3055,762,4776
23,Maine,613827,6974,24833,2028,50590,2323,233175,4200,153870,3454,68811,3139,49662,2616,32886,34355,2580,981,529,941,397,11650,1607,8771,1238,4794,971,3311,623,3907
24,Maryland,2578497,21068,88475,4869,236188,6193,1095076,12226,614624,8823,246249,6523,171111,5941,126774,116524,5620,2621,707,7184,1379,38002,3481,31167,2197,14855,2040,10903,1770,11792
25,Massachusetts,3276451,15331,120948,5460,296686,6407,1348559,11375,791828,9064,332895,7132,223972,6286,161563,144432,6149,3535,841,10382,1828,45311,3649,39418,3183,19370,2589,12230,1335,14186
26,Michigan,4053376,20143,153274,5065,409114,6276,1670731,12295,1012731,9317,408126,7704,248144,5455,151256,144120,4998,4705,988,7606,1331,49696,2908,39122,2291,17408,1827,12319,1329,13264
27,Minnesota,2690486,14684,117274,3820,246631,4929,1130547,8635,650148,5611,266248,6126,171814,4945,107824,139664,4396,8827,1432,8451,1225,44677,2721,37257,2282,17084,1578,11165,1244,12203
28,Mississippi,1116963,12403,34602,2690,97407,4733,503564,9836,259303,6175,104720,4169,69158,4175,48209,26321,2757,428,295,1132,472,9599,2018,6212,1403,3133,638,3316,974,2501
29,Missouri,2743037,18723,111303,4985,267424,6149,1159712,11339,647074,7518,259193,6841,176757,5247,121574,113846,5023,6747,1126,8096,1462,39932,3114,26167,2366,11463,1382,8935,1220,12506
