GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Private for-profit wage and salary workers:,Margin of Error; Total: - Private for-profit wage and salary workers:,Estimate; Total: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Total: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Total: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Total: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Total: - Private not-for-profit wage and salary workers,Margin of Error; Total: - Private not-for-profit wage and salary workers,Estimate; Total: - Local government workers,Margin of Error; Total: - Local government workers,Estimate; Total: - State government workers,Margin of Error; Total: - State government workers,Estimate; Total: - Federal government workers,Margin of Error; Total: - Federal government workers,Estimate; Total: - Self-employed in own not incorporated business workers,Margin of Error; Total: - Self-employed in own not incorporated business workers,Estimate; Total: - Unpaid family workers,Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers:,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers:,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Total: - Worked at home: - Private not-for-profit wage and salary workers,Margin of Error; Total: - Worked at home: - Private not-for-profit wage and salary workers,Estimate; Total: - Worked at home: - Local government workers,Margin of Error; Total: - Worked at home: - Local government workers,Estimate; Total: - Worked at home: - State government workers,Margin of Error; Total: - Worked at home: - State government workers,Estimate; Total: - Worked at home: - Federal government workers,Margin of Error; Total: - Worked at home: - Federal government workers,Estimate; Total: - Worked at home: - Self-employed in own not incorporated business workers,Margin of Error; Total: - Worked at home: - Self-employed in own not incorporated business workers,Estimate; Total: - Worked at home: - Unpaid family workers
01,Alabama,1960728,14412,1399666,14367,1345204,14227,54462,3690,135607,5934,132440,6224,110082,5742,78496,4235,100761,5140,3676,57233,3661,31076,3027,24358,2662,6718,1316,2608,828,1119,474,1088,418,2627,627,18137,2181,578
02,Alaska,366124,5570,205827,6106,192727,6263,13100,1709,34549,3166,33608,2576,28071,2776,41822,3315,21691,1983,556,13915,1891,6676,1712,4621,1379,2055,744,1187,612,344,198,253,160,267,152,5102,995,86
04,Arizona,2803956,19199,2040499,22182,1946842,22384,93657,4360,180730,7516,185804,6420,128372,6094,92552,4792,171706,8035,4293,161653,6371,99677,5223,78781,4600,20896,2232,8176,1164,3051,733,2770,739,2761,658,43943,3922,1275
05,Arkansas,1244956,13403,874865,13310,838298,13293,36567,2628,87686,4848,63713,4517,108824,5894,28492,2390,79488,4485,1888,41375,3177,18937,2166,14114,1850,4823,1214,1773,621,571,426,2920,1136,379,272,16510,2190,285
06,California,17255848,41675,12332507,49611,11759142,46594,573365,12965,1111293,16141,1244757,18115,691257,14273,451534,10195,1397075,20126,27425,930975,16361,472485,11309,363868,10052,108617,5670,42172,3116,39271,3113,37628,3079,27728,3818,305530,10384,6161
08,Colorado,2669008,13651,1918885,16347,1794364,16906,124521,5891,206193,8170,173070,6357,102761,5129,100213,4381,164285,7189,3601,174353,6876,111549,5073,83948,4435,27601,2362,8788,1649,2348,761,2302,691,4587,1278,43842,3204,937
09,Connecticut,1751075,13180,1247079,12878,1187194,12918,59885,4312,162841,5120,126797,5962,72826,4465,31580,2884,106336,5485,3616,81594,4474,51390,3288,39691,2863,11699,1669,3817,686,1697,766,1396,625,1445,635,21377,2310,472
10,Delaware,437466,8194,322020,7923,307393,7978,14627,2138,36054,3106,10727,1363,38454,3058,12148,1551,17345,1936,718,19287,2306,12187,1909,9343,1605,2844,920,1605,665,235,225,557,296,201,154,4346,1006,156
11,District of Columbia,821495,12642,384569,10618,363906,10177,20663,2733,136962,5894,36569,3067,14559,2099,224643,6738,23240,2094,953,17012,2053,10394,1794,6926,1305,3468,941,2024,758,156,199,0,187,1063,482,3105,762,270
12,Florida,8585487,32920,6480654,36313,6012029,33967,468625,12158,516433,12709,582728,14585,257803,8066,225833,7426,508722,14883,13314,465861,12632,308858,9740,218920,8655,89938,5203,18994,2288,7188,1475,5648,912,10841,1886,111773,5583,2559
13,Georgia,4417396,21376,3210681,21642,3038156,21397,172525,6836,260908,9366,296652,9836,210978,8035,193502,7843,237440,9665,7235,219216,7808,138346,6398,106331,5146,32015,3404,9743,1573,3439,877,4746,1234,12639,1174,49219,4349,1084
15,Hawaii,686258,7733,421562,7221,401120,6892,20442,1952,49906,4097,20122,2123,59746,3557,88915,4061,43083,3012,2924,30505,3393,12732,2099,7887,1398,4845,1327,1154,711,557,361,1070,467,3091,950,11454,1639,447
16,Idaho,691273,8858,491113,10088,460372,9771,30741,3791,42847,3360,45022,3077,37877,3048,21680,2557,50780,3653,1954,44352,4520,27333,3610,21243,3515,6090,1667,1573,561,560,368,640,387,450,249,12907,2050,889
17,Illinois,6024882,24715,4489705,25999,4275477,26259,214228,7798,515991,10726,402381,10154,224829,6994,111147,4485,272930,8391,7899,264383,8659,158641,6158,121705,5336,36936,3083,15755,1984,5282,1114,7260,1335,3701,1145,71829,4308,1915
18,Indiana,2974385,16676,2246727,17087,2165781,16002,80946,4971,270598,7516,170520,6778,104877,4848,41722,3262,135899,5696,4042,102249,3955,58563,3839,44526,3281,14037,1927,5241,854,2285,771,1791,599,1128,573,32078,2642,1163
19,Iowa,1571210,10948,1120005,10234,1065327,10130,54678,3116,132494,4590,97712,4513,89608,4009,22970,2753,105914,4000,2507,74447,3958,34126,2461,24191,2257,9935,1424,4531,1092,1071,411,1945,723,456,268,31312,2594,1006
20,Kansas,1412132,12415,993721,11772,949953,11466,43768,3073,106692,4914,98627,4604,80116,4257,48592,3526,81429,3944,2955,55940,3146,29879,2086,23248,1899,6631,1213,2444,616,1360,482,2181,603,1001,426,18561,1892,514
21,Kentucky,1903620,16938,1354040,16427,1301875,15993,52165,3744,148658,5694,105814,4265,121108,5710,72000,4350,98815,5112,3185,60300,4078,33502,3164,26599,2901,6903,1219,4207,932,1343,568,2194,741,983,611,17379,1687,692
22,Louisiana,1997036,14305,1461541,15604,1393833,15640,67708,4487,130179,5105,126224,6549,106561,5646,62420,3896,107157,5900,2954,52360,3737,27572,2692,20283,2299,7289,1661,2258,783,1445,657,2083,656,1055,716,17525,2559,422
23,Maine,623341,7591,404008,8401,377962,8717,26046,2249,73971,4273,47534,2987,24675,1959,17466,1820,54734,3673,953,34543,2478,17189,1686,12762,1412,4427,1144,1705,443,387,241,660,258,160,135,14130,1937,312
24,Maryland,2688956,16873,1732643,15639,1642524,15979,90119,4537,246287,8570,214622,6958,121644,5754,240653,8408,130068,5744,3039,122798,5355,67634,3643,51233,3601,16401,1943,7334,1074,2480,716,2467,807,8012,1084,34483,2854,388
25,Massachusetts,3464607,21921,2395454,21429,2294310,21837,101144,5680,437096,10975,234231,8073,128688,6356,56665,3718,207338,7116,5135,163528,7042,86552,4764,72354,4253,14198,1866,13164,2037,3054,805,3878,1194,1209,465,54646,4047,1025
26,Michigan,4322641,22774,3233184,23136,3086159,23295,147025,5511,420212,8770,213795,5444,174676,6278,61992,3198,209905,5123,8877,159227,5552,89584,4629,69811,4105,19773,2252,9740,1402,2531,678,6503,1077,1192,400,49039,3569,638
27,Minnesota,2820532,13276,2010142,14227,1900366,13390,109776,4532,317032,6513,175299,5677,119563,5953,42171,2830,153149,5412,3176,144022,5360,84276,4328,64576,3993,19700,2137,9990,1322,2518,517,3008,713,1047,396,42193,2337,990
28,Mississippi,1142866,12323,793866,13715,758155,13291,35711,3443,64130,4406,69759,5365,99752,4802,46110,3382,67240,4584,2009,27966,3305,15208,2024,10345,1861,4863,1530,1073,450,729,440,1695,549,370,320,8669,2019,222
29,Missouri,2802314,15163,1982512,14942,1899000,14107,83512,4437,307718,8045,152094,5495,125999,5790,77582,3676,151467,6509,4942,121894,5852,61853,3974,47738,3382,14115,2166,8434,1358,1125,385,2493,706,10638,1182,36649,3185,702
30,Montana,486143,5583,302724,6196,276140,6671,26584,2532,45901,3435,34514,2855,30877,2545,23068,2000,46856,3592,2203,34875,3086,16110,2078,11134,1831,4976,955,2981,819,399,187,1159,485,1873,524,11860,1683,493
31,Nebraska,984957,7271,698135,8686,661126,8130,37009,2378,85714,3942,67300,3374,46125,2448,25318,2201,60844,3274,1521,39106,2415,19019,1747,13880,1526,5139,877,1595,477,472,260,1507,608,146,129,16075,1708,292
32,Nevada,1283741,12038,1014699,13458,976917,12529,37782,3169,48141,3385,80325,4362,39540,3090,36994,3329,62985,4434,1057,41115,3659,26302,2962,19132,2412,7170,1716,1008,394,151,124,655,291,585,367,12160,2138,254
33,New Hampshire,651014,9593,449243,9455,428126,9114,21117,2272,72240,3781,50649,3778,20787,2138,12378,1930,44904,3035,813,41260,2617,25296,2498,20682,2256,4614,1215,3228,880,434,257,852,336,750,450,10587,1247,113
34,New Jersey,3968439,20630,2950961,20076,2797247,21370,153714,6609,267124,7500,301022,9032,183100,7305,66716,4202,193499,6459,6017,180018,7732,116340,5393,87816,4561,28524,3389,10064,1708,2584,676,2616,653,1112,612,46360,3863,942
35,New Mexico,865085,10535,551595,11861,521946,11983,29649,3346,63403,3829,70755,4999,64907,4548,58326,3589,54706,3189,1393,41567,3446,20408,2687,13446,1910,6962,1823,3467,1019,1471,677,1380,538,911,434,13361,1754,569
36,New York,9520770,27988,6590505,32515,6245694,31509,344811,11565,946538,14607,851425,14883,403971,10104,178578,6946,536106,11819,13647,361168,10446,204784,8000,149296,6742,55488,3934,23884,2449,7619,1396,5887,1109,6035,1493,109801,5080,3158
37,North Carolina,4431801,22145,3169429,21821,3020627,21762,148802,6590,305108,9170,236758,9101,293854,10643,174358,5709,245262,7445,7032,209085,8535,132841,6198,105381,5194,27460,3027,11455,1589,1761,621,5824,1251,3968,1216,51708,4362,1528
