GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD18,HD02_VD18,HD01_VD35,HD02_VD35,HD01_VD52,HD02_VD52
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home,Estimate; Total: - Male: - Worked at home,Margin of Error; Total: - Male: - Worked at home,Estimate; Total: - Female: - Worked at home,Margin of Error; Total: - Female: - Worked at home
01,Alabama,1964105,15947,63757,4204,32839,3041,30918,2728
02,Alaska,371382,5372,16095,2050,8109,1330,7986,1316
04,Arizona,2872284,18674,159681,5505,79239,4175,80442,4018
05,Arkansas,1249200,11927,38370,2875,20364,2126,18006,1880
06,California,17630992,45581,970039,14583,476129,10541,493910,9647
08,Colorado,2731235,18274,194904,7005,99348,5231,95556,4454
09,Connecticut,1741224,12778,84879,4806,40162,2826,44717,3118
10,Delaware,440156,7251,20878,2186,10108,1530,10770,1649
11,District of Columbia,839206,12936,21529,2463,10324,1782,11205,1768
12,Florida,8827805,36427,493307,15108,255158,10681,238149,9121
13,Georgia,4555994,22343,231968,9335,118893,6460,113075,5708
15,Hawaii,705741,7272,32616,3184,16375,2299,16241,1663
16,Idaho,714037,9303,45237,4045,21278,2824,23959,2580
17,Illinois,6082035,23448,268434,8524,137197,6161,131237,5610
18,Indiana,3012416,18350,109168,4985,53388,3412,55780,3199
19,Iowa,1574850,10000,64248,3432,32152,2508,32096,2601
20,Kansas,1426252,11998,59428,3100,28914,2267,30514,2147
21,Kentucky,1929752,14847,59739,4095,28575,2425,31164,3097
22,Louisiana,2033248,16656,56858,4390,29669,2695,27189,2974
23,Maine,621181,8105,36488,3120,16766,1813,19722,2054
24,Maryland,2743587,19263,131975,6166,62567,4443,69408,3688
25,Massachusetts,3532276,17588,164032,6622,82201,4680,81831,3846
26,Michigan,4383993,17263,158838,6080,78041,3930,80797,4301
27,Minnesota,2876109,11512,157355,5052,75494,3345,81861,3462
28,Mississippi,1141953,11389,25115,2892,12828,1937,12287,1792
29,Missouri,2886690,18643,136530,5876,69792,3775,66738,4444
30,Montana,479416,7204,29109,2309,15320,1722,13789,1421
31,Nebraska,997028,7665,38329,2511,20073,1508,18256,1783
32,Nevada,1316032,11725,48105,3466,22809,2532,25296,2201
33,New Hampshire,648037,9330,45424,3300,23746,2213,21678,2160
34,New Jersey,3978088,24028,175053,6184,93488,4935,81565,3883
35,New Mexico,871327,12369,42276,3309,20354,2252,21922,2492
36,New York,9667841,32948,367645,11384,191090,7863,176555,6473
37,North Carolina,4520809,21089,227544,8563,114124,6048,113420,5597
38,North Dakota,437559,5770,18103,1810,9236,1099,8867,1427
39,Ohio,5393979,20740,200420,7634,98042,5162,102378,5010
40,Oklahoma,1730466,11506,65232,3392,35833,2460,29399,2215
41,Oregon,1888562,14550,116484,6214,57228,3686,59256,3826
42,Pennsylvania,5911288,22804,252050,7598,127140,5427,124910,5333
44,Rhode Island,484342,7695,16928,2204,7286,1233,9642,1646
45,South Carolina,2112333,18257,80706,4303,42154,3148,38552,3065
46,South Dakota,435764,6340,24970,2293,14476,1416,10494,1400
47,Tennessee,3002764,19872,111397,5794,58041,4145,53356,3390
48,Texas,12559656,35659,548949,12907,283125,10444,265824,8825
49,Utah,1393568,12637,77377,4490,35661,2748,41716,3395
50,Vermont,319961,4755,19568,1772,9770,1202,9798,1196
51,Virginia,4005675,20484,190819,7001,86818,4293,104001,4894
53,Washington,3322759,19821,190433,8659,95369,5768,95064,5086
54,West Virginia,705487,9511,23448,2299,11615,1669,11833,1612
55,Wisconsin,2867776,12108,119009,4725,57801,3043,61208,3186
56,Wyoming,297812,5401,12136,2070,6249,1437,5887,1297
72,Puerto Rico,999433,11296,21900,3156,13119,2335,8781,1797
