GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Agriculture, forestry, fishing and hunting, and mining",Estimate; Construction,Margin of Error; Construction,Estimate; Manufacturing,Margin of Error; Manufacturing,Estimate; Wholesale trade,Margin of Error; Wholesale trade,Estimate; Retail trade,Margin of Error; Retail trade,"Estimate; Transportation and warehousing, and utilities","Margin of Error; Transportation and warehousing, and utilities",Estimate; Information,Margin of Error; Information,"Estimate; Finance and insurance, and real estate and rental and leasing","Margin of Error; Finance and insurance, and real estate and rental and leasing","Estimate; Professional, scientific, and management, and administrative and waste management services","Margin of Error; Professional, scientific, and management, and administrative and waste management services","Estimate; Educational services, and health care and social assistance","Margin of Error; Educational services, and health care and social assistance","Estimate; Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Arts, entertainment, and recreation, and accommodation and food services",Estimate; Other services (except public administration),Margin of Error; Other services (except public administration),Estimate; Public administration,Margin of Error; Public administration,Estimate; Armed forces,Estimate; Worked at home:,Margin of Error; Worked at home:,"Estimate; Worked at home: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Worked at home: - Agriculture, forestry, fishing and hunting, and mining",Estimate; Worked at home: - Construction,Margin of Error; Worked at home: - Construction,Estimate; Worked at home: - Manufacturing,Margin of Error; Worked at home: - Manufacturing,Estimate; Worked at home: - Wholesale trade,Margin of Error; Worked at home: - Wholesale trade,Estimate; Worked at home: - Retail trade,Margin of Error; Worked at home: - Retail trade,"Estimate; Worked at home: - Transportation and warehousing, and utilities","Margin of Error; Worked at home: - Transportation and warehousing, and utilities",Estimate; Worked at home: - Information,Margin of Error; Worked at home: - Information,"Estimate; Worked at home: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Worked at home: - Finance and insurance, and real estate and rental and leasing","Estimate; Worked at home: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Worked at home: - Professional, scientific, and management, and administrative and waste management services","Estimate; Worked at home: - Educational services, and health care and social assistance","Margin of Error; Worked at home: - Educational services, and health care and social assistance","Estimate; Worked at home: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Worked at home: - Arts, entertainment, and recreation, and accommodation and food services",Estimate; Worked at home: - Other services (except public administration),Margin of Error; Worked at home: - Other services (except public administration),Estimate; Worked at home: - Public administration,Margin of Error; Worked at home: - Public administration,Estimate; Worked at home: - Armed forces
01,Alabama,1919778,14797,33762,3235,134308,6695,257166,9129,56761,3874,224293,8631,97649,5592,35868,3183,113769,6047,176743,7382,411406,9352,148725,7284,99114,4684,109871,5980,20343,48426,3670,3901,1234,2555,676,3997,1088,2188,707,4442,1159,2581,933,1474,680,3685,904,9835,1679,8109,1648,1433,697,3125,958,1038,599,63
02,Alaska,342551,6394,17278,2087,26496,3040,14436,2244,7312,1623,39085,3200,26094,2695,8357,1612,14160,2142,29186,2728,74017,3563,27010,3296,13756,1995,31379,2738,13985,15398,2206,905,431,2200,1011,1101,682,102,144,778,561,638,362,597,305,490,354,3338,845,2467,826,1036,390,1076,514,488,491,182
04,Arizona,2729757,21363,34703,3472,208312,8974,209704,9211,72261,5746,331044,12121,134020,6801,49434,4265,214064,8159,311599,9261,582731,12107,283953,9764,133879,7443,142948,6457,21105,142062,7340,1254,570,10051,2562,9530,1574,5571,1342,12076,2203,5605,1791,4401,917,18117,2372,35073,3110,23760,2956,5694,1496,8568,1369,2341,667,21
05,Arkansas,1224374,14588,38505,3281,88284,5001,184775,7009,31427,2870,164000,7056,66887,4113,19969,2185,66495,4829,80860,5159,273859,9262,93170,6932,53623,3612,54940,4721,7580,42408,3585,5185,1433,3373,991,2983,930,1346,685,3510,976,949,397,1125,544,3395,1126,6808,1417,7189,1312,1613,667,4721,1292,211,178,0
06,California,16139699,40928,335559,13886,1045889,18317,1639155,23571,523048,13086,1752159,21998,753350,15527,469206,11484,1082289,19010,2016203,24931,3257085,29298,1502604,24411,857874,14084,744601,15183,160677,832146,16574,16061,2291,46508,4435,48278,3594,30449,3329,55059,4344,17082,2403,33159,3031,86550,5629,199267,7997,161864,7644,45826,4117,56076,4369,21396,2597,14571
08,Colorado,2453377,15718,53517,3652,203393,7862,172426,6077,69506,4486,280529,9749,107448,4913,78576,4678,174764,5573,316533,8948,472489,10465,253854,10779,125222,6608,112439,5591,32681,166093,6611,7347,1177,11314,2269,10474,1293,7028,1382,8511,1600,4256,1022,6937,1174,20029,2373,47389,2682,23364,2676,8967,1817,7840,1502,2075,767,562
09,Connecticut,1694719,12924,5435,1116,105100,5794,196828,7154,41066,3062,185333,7116,63368,4458,42130,3162,157238,5522,172825,7165,434786,10325,139650,6860,78113,4538,66098,3751,6749,69894,4619,982,541,4610,1250,5363,1232,2829,820,4380,1053,910,427,2909,748,10813,1679,18197,1954,9838,1570,3235,967,4791,1073,690,337,347
10,Delaware,416661,8712,4124,1062,27345,3107,37131,2742,7320,1240,47370,4225,15486,2048,6263,1366,46583,3431,42500,3561,100278,5332,40472,4021,17493,1981,20359,2012,3937,13434,1820,496,328,857,520,999,493,480,294,1048,581,413,383,259,295,2468,695,3134,924,1530,571,765,434,878,385,107,119,0
11,District of Columbia,758689,11963,896,487,28019,2949,11811,1922,3488,977,21480,2472,23820,2769,30161,3318,40310,3682,151281,6496,118428,5332,53429,4300,58111,4392,203694,7424,13761,15041,1984,0,271,631,384,444,291,79,139,846,511,271,295,683,496,1287,512,5902,1324,1245,478,897,402,853,450,1403,666,500
12,Florida,7851983,36622,81244,7097,581612,15127,440864,11419,238383,8588,1018605,18259,384000,10850,164602,7774,622320,14644,944164,19348,1608580,21515,914076,17722,407716,13963,381475,9382,64342,375151,11634,5748,1507,33624,3576,21992,2464,18971,2819,29731,3285,12553,2014,12840,2357,45881,3756,96567,5901,38873,3329,19757,3428,24135,3464,4935,1210,9544
13,Georgia,4287878,28541,47387,4552,305248,9039,445965,11478,141617,7209,509537,13634,251387,9757,109650,5394,272001,9748,461365,12394,877202,18418,360472,11864,211457,9083,212037,8177,82553,207333,7306,2692,880,13398,2452,19087,2320,9744,1723,15165,1945,7852,2395,9118,1429,20398,2508,48976,3957,21462,2484,6411,1492,10743,2373,3676,1391,18611
15,Hawaii,639584,6177,8927,1582,41670,3619,21921,2940,15825,2074,67325,5009,30411,3180,9978,1588,41621,3729,62455,4710,123240,6035,96615,5626,26949,3019,47163,4056,45484,28673,2920,1344,577,2183,728,1323,773,1749,852,1961,708,612,412,689,386,3343,883,5639,1257,3909,1060,2571,1103,2269,748,401,306,680
16,Idaho,659175,7871,32776,2890,52140,4130,63271,3828,18548,2466,80890,4729,25647,2470,13214,1985,37299,3463,62695,3275,143607,5527,61211,5538,29611,3283,33360,3201,4906,34553,3005,4771,1338,2157,962,2258,735,789,382,1365,471,2029,915,1135,555,2775,1053,6604,1332,5872,1502,1403,592,2516,820,858,413,21
17,Illinois,5917742,18998,61950,3838,325747,10222,745254,13675,194930,7695,639074,11457,339795,10722,130625,5726,456796,10038,651427,11149,1303939,16024,531471,12518,288355,10599,228388,6972,19991,232678,7593,10648,1349,12573,2325,16595,1521,11404,1933,17727,2478,5912,1308,7399,1153,22591,2573,54860,3401,41693,3135,10313,1624,16521,2205,3769,1034,673
18,Indiana,2817192,16009,41775,3563,176641,6484,498070,10806,78337,3896,321282,9672,144744,6295,49808,3568,154507,6653,208220,7601,650773,11471,257137,9219,131190,6413,99082,4742,5626,94697,5434,9371,1659,6028,1175,7509,1213,3304,1071,7791,1451,1973,678,2312,818,7812,1328,17471,2432,16283,2281,5071,1153,8123,1562,1568,561,81
19,Iowa,1524705,10924,60716,3396,95481,4762,218865,7541,46857,3014,179861,6276,72449,4097,33806,2867,114237,4847,104061,4451,359806,8536,117025,6017,68160,4060,50559,3396,2822,75389,4445,17893,1899,3429,885,3754,784,2080,782,4103,1080,2124,670,1764,554,4228,1100,8650,1333,18389,2100,2251,711,5489,1071,1199,512,36
20,Kansas,1385380,11544,45822,2550,91020,4116,181282,6917,43144,3224,154627,6524,68249,3740,32647,2421,85389,4171,108726,5641,318157,7950,113096,6684,63772,3853,61525,3035,17924,59047,3857,9005,1304,3765,1123,4152,933,1642,570,4572,1143,1089,364,1295,489,4562,1207,8372,1339,12962,2007,2457,800,4136,917,876,350,162
21,Kentucky,1846577,15799,52907,4923,121363,6767,238306,6927,47327,3610,207753,7182,105364,5120,32764,2749,102567,4264,140232,7277,435078,9440,158295,6806,85236,5224,84675,5130,34710,57071,4198,8029,1902,4287,947,3054,751,2629,936,3615,985,2050,713,1298,655,4879,1221,8533,1199,9860,2146,2372,775,5386,1360,1034,576,45
22,Louisiana,1983471,16556,84592,4985,176883,7276,158315,6402,60973,4623,233445,8701,99003,5668,29666,2869,104301,5083,164004,8571,458599,8793,190405,7768,98912,5522,106568,5600,17805,48479,3517,2571,901,4401,1058,3739,932,2478,977,3178,977,1758,767,700,293,3900,991,10393,1737,8331,1554,2178,767,4199,1147,653,385,0
23,Maine,624974,7866,13646,1538,43784,3363,61896,2878,14978,1662,88377,4401,23846,2220,12582,1843,37472,2843,54430,3512,159957,5822,54016,3880,31313,2754,24366,2110,4311,33810,2609,1490,514,2342,791,2238,677,859,359,2878,862,720,344,1129,494,2591,742,6642,1148,5954,1171,1888,601,4563,1001,516,327,0
24,Maryland,2587044,15630,16419,2031,197778,7641,146569,6368,63620,4682,265770,8884,111759,6964,56816,3943,168490,6990,373371,10396,594268,11152,197306,9437,135913,6677,228054,6626,30911,117152,5485,3437,1352,7576,1872,5494,1095,4444,1047,6807,1579,2744,909,4509,897,10346,1787,34331,2671,20710,2291,5688,1180,7163,1466,3083,962,820
