GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD18,HD02_VD18,HD01_VD35,HD02_VD35,HD01_VD52,HD02_VD52
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home,Estimate; Total: - Male: - Worked at home,Margin of Error; Total: - Male: - Worked at home,Estimate; Total: - Female: - Worked at home,Margin of Error; Total: - Female: - Worked at home
01,Alabama,1960728,14412,57233,3661,30196,2603,27037,2022
02,Alaska,366124,5570,13915,1891,6210,1273,7705,1391
04,Arizona,2803956,19199,161653,6371,81461,4475,80192,4368
05,Arkansas,1244956,13403,41375,3177,21200,2289,20175,2275
06,California,17255848,41675,930975,16361,462747,9942,468228,10386
08,Colorado,2669008,13651,174353,6876,84252,4295,90101,5188
09,Connecticut,1751075,13180,81594,4474,41359,3043,40235,2929
10,Delaware,437466,8194,19287,2306,9194,1457,10093,1466
11,District of Columbia,821495,12642,17012,2053,8344,1456,8668,1517
12,Florida,8585487,32920,465861,12632,244388,9733,221473,7630
13,Georgia,4417396,21376,219216,7808,113717,5798,105499,4890
15,Hawaii,686258,7733,30505,3393,16810,2287,13695,1804
16,Idaho,691273,8858,44352,4520,22244,3206,22108,2706
17,Illinois,6024882,24715,264383,8659,138127,6221,126256,5426
18,Indiana,2974385,16676,102249,3955,50479,3248,51770,2702
19,Iowa,1571210,10948,74447,3958,39587,3000,34860,2357
20,Kansas,1412132,12415,55940,3146,26024,2012,29916,2350
21,Kentucky,1903620,16938,60300,4078,28413,2607,31887,2861
22,Louisiana,1997036,14305,52360,3737,24382,2102,27978,2946
23,Maine,623341,7591,34543,2478,17701,2030,16842,1651
24,Maryland,2688956,16873,122798,5355,57370,3482,65428,3405
25,Massachusetts,3464607,21921,163528,7042,81536,4635,81992,4463
26,Michigan,4322641,22774,159227,5552,80476,4173,78751,3652
27,Minnesota,2820532,13276,144022,5360,70394,3765,73628,3569
28,Mississippi,1142866,12323,27966,3305,13684,1792,14282,2208
29,Missouri,2802314,15163,121894,5852,63027,4318,58867,3994
30,Montana,486143,5583,34875,3086,19127,1794,15748,1832
31,Nebraska,984957,7271,39106,2415,20850,1592,18256,1603
32,Nevada,1283741,12038,41115,3659,20149,2182,20966,2606
33,New Hampshire,651014,9593,41260,2617,22661,1948,18599,1850
34,New Jersey,3968439,20630,180018,7732,95728,5708,84290,3829
35,New Mexico,865085,10535,41567,3446,20223,2211,21344,2147
36,New York,9520770,27988,361168,10446,185039,7174,176129,6647
37,North Carolina,4431801,22145,209085,8535,106404,5538,102681,5242
38,North Dakota,432528,5156,20458,1557,10900,1354,9558,1202
39,Ohio,5351371,23418,193922,5919,93804,4264,100118,4774
40,Oklahoma,1721357,10123,61927,4350,31641,2919,30286,2774
41,Oregon,1827947,14246,113068,5768,53197,3383,59871,4164
42,Pennsylvania,5883212,21300,243453,7418,117933,4557,125520,5381
44,Rhode Island,482776,8201,19302,2118,10131,1559,9171,1338
45,South Carolina,2083191,16367,72724,4496,34893,3160,37831,3127
46,South Dakota,435583,5207,24119,2133,13973,1731,10146,1186
47,Tennessee,2908962,18366,105862,4500,54081,3470,51781,3460
48,Texas,12287908,36275,494337,12488,262105,9026,232232,7781
49,Utah,1345699,9050,73746,3681,34501,2745,39245,2393
50,Vermont,316374,5773,22667,2115,11663,1546,11004,1232
51,Virginia,3965243,20973,177271,5789,84451,3605,92820,4616
53,Washington,3262325,17398,180826,7468,89750,5038,91076,4482
54,West Virginia,718357,9350,18556,2186,8295,1257,10261,1630
55,Wisconsin,2823768,12343,116946,4397,56951,3078,59995,3125
56,Wyoming,303109,4464,14216,2105,6233,1187,7983,1462
72,Puerto Rico,1009681,11991,18732,2159,11614,1598,7118,1369
