GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD08,HD02_VD08
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home
01,Alabama,41.3,0.2,46.3,1.6
02,Alaska,41.9,0.5,46.1,3.7
04,Arizona,39.5,0.2,47.4,1.1
05,Arkansas,40.8,0.3,48.7,2.5
06,California,40.3,0.1,47.3,0.4
08,Colorado,40.3,0.2,45.2,0.9
09,Connecticut,43.0,0.2,49.8,0.9
10,Delaware,41.3,0.4,44.9,1.9
11,District of Columbia,42.4,0.3,42.9,6.4
12,Florida,41.6,0.1,47.8,0.7
13,Georgia,40.0,0.2,45.0,0.7
15,Hawaii,42.5,0.3,51.4,1.9
16,Idaho,40.4,0.4,45.2,1.4
17,Illinois,41.0,0.2,46.5,0.7
18,Indiana,41.3,0.3,46.3,1.1
19,Iowa,42.0,0.2,48.2,1.0
20,Kansas,41.1,0.3,47.9,1.3
21,Kentucky,41.0,0.2,46.9,1.3
22,Louisiana,40.8,0.2,47.4,1.6
23,Maine,43.0,0.3,49.4,1.8
24,Maryland,41.6,0.2,46.9,0.9
25,Massachusetts,41.8,0.2,48.0,0.9
26,Michigan,41.3,0.1,46.2,0.7
27,Minnesota,41.1,0.2,46.8,0.7
28,Mississippi,40.9,0.3,47.3,2.2
29,Missouri,41.3,0.2,45.8,1.0
30,Montana,42.8,0.4,49.6,0.8
31,Nebraska,41.4,0.2,48.2,1.1
32,Nevada,40.2,0.3,46.7,1.4
33,New Hampshire,42.8,0.3,45.9,1.6
34,New Jersey,42.4,0.2,47.5,0.6
35,New Mexico,41.6,0.3,49.4,1.0
36,New York,41.7,0.1,46.7,0.6
37,North Carolina,40.5,0.1,47.2,1.1
38,North Dakota,42.2,0.4,47.7,1.7
39,Ohio,41.7,0.2,46.6,0.7
40,Oklahoma,41.2,0.2,46.3,1.2
41,Oregon,41.2,0.3,47.5,1.2
42,Pennsylvania,42.7,0.2,46.7,0.8
44,Rhode Island,41.7,0.4,45.7,1.9
45,South Carolina,40.8,0.2,47.6,1.8
46,South Dakota,41.8,0.3,47.6,1.7
47,Tennessee,40.8,0.2,46.8,1.3
48,Texas,40.0,0.2,46.4,0.5
49,Utah,35.6,0.2,38.9,1.3
50,Vermont,43.4,0.4,48.8,1.6
51,Virginia,41.5,0.2,46.7,0.8
53,Washington,41.0,0.3,48.0,0.7
54,West Virginia,42.1,0.4,49.1,2.0
55,Wisconsin,41.6,0.2,46.6,0.5
56,Wyoming,42.8,0.5,51.2,1.8
72,Puerto Rico,38.7,0.3,44.4,2.4
