GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Management, professional, and related occupations","Margin of Error; Management, professional, and related occupations",Estimate; Service occupations,Margin of Error; Service occupations,Estimate; Sales and office occupations,Margin of Error; Sales and office occupations,"Estimate; Farming, fishing, and forestry occupations","Margin of Error; Farming, fishing, and forestry occupations","Estimate; Construction and extraction, and maintenance occupations","Margin of Error; Construction and extraction, and maintenance occupations","Estimate; Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Armed forces","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Armed forces",Estimate; Worked at home:
01,Alabama,1943541,17358,598305,12328,293794,9506,489940,10735,14812,1906,214863,7786,324888,3872,1190,2700,792,577,431,3286,836,6042,1354,83,98,50545
02,Alaska,335039,5319,112397,4425,56880,3527,74576,3990,4311,965,40439,3355,37610,2435,752,2989,663,1194,457,3391,960,2552,675,129,164,19609
04,Arizona,2753513,16653,899413,15437,498031,10826,723986,12589,15916,2705,336987,10337,268781,17630,2644,13495,2389,599,485,9135,2491,9204,1744,459,310,134566
05,Arkansas,1215761,12042,362630,9688,195035,7373,293223,9160,13074,2039,128075,5964,221790,4006,1238,3638,1041,633,343,1857,759,4170,1087,0,267,42238
06,California,16419565,42800,5788597,35726,2783115,25680,4180307,31296,230921,11565,1522801,21184,1842864,82470,6846,70738,4854,14251,3430,36617,4773,53693,4558,2273,688,787343
08,Colorado,2435073,13940,902193,13195,387395,11910,611702,11714,16436,2747,269356,10057,231437,11234,2090,8840,1735,727,515,6545,1685,6248,1223,123,149,146541
09,Connecticut,1709091,12320,661012,9867,283359,8780,436001,9319,2979,1048,140764,6599,180146,6893,1744,4325,1141,434,550,2845,1130,2840,1051,116,138,65091
10,Delaware,413937,8689,153655,5886,62723,4857,111208,4674,1713,540,42253,3402,41680,845,455,1263,551,59,102,877,644,754,439,53,93,12842
11,District of Columbia,717403,11693,433350,10528,92824,5507,123594,5965,236,206,32978,3770,27260,1002,421,1391,550,48,79,313,297,536,361,239,200,14608
