GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD19,HD02_VD19,HD01_VD36,HD02_VD36,HD01_VD53,HD02_VD53
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Worked at home,Margin of Error; Worked at home,Estimate; Male: - Worked at home,Margin of Error; Male: - Worked at home,Estimate; Female: - Worked at home,Margin of Error; Female: - Worked at home
01,Alabama,1919778,14797,48426,3670,24667,2830,23759,2051
02,Alaska,342551,6394,15398,2206,8521,1678,6877,1244
04,Arizona,2729757,21363,142062,7340,71297,4527,70765,4402
05,Arkansas,1224374,14588,42408,3585,21093,2911,21315,2140
06,California,16139699,40928,832146,16574,417077,12983,415069,10266
08,Colorado,2453377,15718,166093,6611,86739,4421,79354,4272
09,Connecticut,1694719,12924,69894,4619,36016,3365,33878,2564
10,Delaware,416661,8712,13434,1820,6267,1188,7167,1163
11,District of Columbia,758689,11963,15041,1984,7815,1501,7226,1344
12,Florida,7851983,36622,375151,11634,211097,9237,164054,6288
13,Georgia,4287878,28541,207333,7306,118503,5979,88830,4565
15,Hawaii,639584,6177,28673,2920,15230,2116,13443,1837
16,Idaho,659175,7871,34553,3005,18684,2235,15869,2182
17,Illinois,5917742,18998,232678,7593,120603,5651,112075,5338
18,Indiana,2817192,16009,94697,5434,49322,4048,45375,3339
19,Iowa,1524705,10924,75389,4445,37722,2988,37667,2899
20,Kansas,1385380,11544,59047,3857,31348,2507,27699,2473
21,Kentucky,1846577,15799,57071,4198,31729,2705,25342,2671
22,Louisiana,1983471,16556,48479,3517,24407,2737,24072,2361
23,Maine,624974,7866,33810,2609,15873,1574,17937,1777
24,Maryland,2587044,15630,117152,5485,56464,4108,60688,3836
25,Massachusetts,3295905,17722,136360,5704,68480,3912,67880,3935
26,Michigan,4105365,22932,147582,5465,71999,3866,75583,3338
27,Minnesota,2678087,13222,131251,5189,65234,3705,66017,3409
28,Mississippi,1146912,12742,30737,3230,14924,2120,15813,2275
29,Missouri,2786032,17286,118973,4986,62551,3844,56422,3266
30,Montana,456480,6283,27120,2294,15024,1765,12096,1480
31,Nebraska,939853,7741,40074,3019,22403,1945,17671,2103
32,Nevada,1216344,13767,40832,3572,21209,2382,19623,2131
33,New Hampshire,635208,8972,35560,2939,20016,2038,15544,1830
34,New Jersey,3843779,24407,162170,7596,87767,6357,74403,4124
35,New Mexico,858041,11853,45097,3885,22612,2515,22485,2579
36,New York,9225086,34122,343814,11587,176810,8193,167004,6650
37,North Carolina,4155536,23428,180743,10092,98401,7315,82342,4674
38,North Dakota,360805,4245,19728,1719,10329,1135,9399,1189
39,Ohio,5178127,22838,185761,7846,94949,4649,90812,5733
40,Oklahoma,1628521,13880,56214,3944,29276,2886,26938,2438
41,Oregon,1752305,13716,108863,6321,51570,4189,57293,4043
42,Pennsylvania,5678712,25811,211544,8309,108582,5500,102962,4758
44,Rhode Island,480342,8094,18045,2483,9219,1607,8826,1572
45,South Carolina,1926542,15646,76128,5145,40734,4305,35394,3408
46,South Dakota,415020,5825,24581,2331,14042,1463,10539,1488
47,Tennessee,2750197,18016,91933,5126,48313,3950,43620,3906
48,Texas,11058421,33219,417500,11759,222051,7873,195449,8055
49,Utah,1252718,9359,60948,4554,26835,3037,34113,2991
50,Vermont,313208,4901,22920,1892,11869,1228,11051,1252
51,Virginia,3722613,20263,157174,8291,77909,6567,79265,4232
53,Washington,3042540,17924,162613,8251,81158,6666,81455,4619
54,West Virginia,728449,9324,25502,2156,11971,1468,13531,1533
55,Wisconsin,2759489,14922,115001,4558,58565,3252,56436,3031
56,Wyoming,284923,4340,14467,2262,7155,1456,7312,1250
72,Puerto Rico,1155465,11336,25986,3169,16145,2584,9841,1884
