GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; 16 to 19 years,Margin of Error; 16 to 19 years,Estimate; 20 to 24 years,Margin of Error; 20 to 24 years,Estimate; 25 to 44 years,Margin of Error; 25 to 44 years,Estimate; 45 to 54 years,Margin of Error; 45 to 54 years,Estimate; 55 to 59 years,Margin of Error; 55 to 59 years,Estimate; 60 and 61 years,Margin of Error; 60 and 61 years,Estimate; 62 to 64 years,"Estimate; Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 25 to 44 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 45 to 54 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 55 to 59 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 60 and 61 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 60 and 61 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 62 to 64 years","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 62 to 64 years","Estimate; Taxicab, motorcycle, bicycle, or other means: - 65 years and over","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - 65 years and over",Estimate; Worked at home:,Margin of Error; Worked at home:,Estimate; Worked at home: - 16 to 19 years
01,Alabama,1902128,16556,75782,3653,187760,5959,872384,12487,451412,6431,161357,4463,41617,2971,45900,10285,2197,4219,1011,1391,490,431,275,528,333,495,397,43419,3740,627
02,Alaska,298923,5561,15807,1845,29975,1858,130247,3919,79700,2565,24516,2168,7013,983,5508,8037,1555,3965,818,1024,409,256,263,283,138,380,293,12067,1657,100
04,Arizona,2556544,15310,124157,5067,276811,5717,1216059,10834,548586,6885,191510,6164,54628,3856,61252,26096,3449,8704,1535,3203,900,571,290,1302,1140,1583,519,104022,5974,2021
05,Arkansas,1200858,12781,58856,3972,118959,5116,548914,8009,268279,5056,100205,3986,26911,2168,30859,8111,1616,3460,803,872,419,246,183,444,325,224,147,31252,3349,860
06,California,15547355,39306,584575,11554,1548808,14141,7519524,24380,3499216,19773,1229680,15850,322107,8435,345988,147702,8547,58746,4129,20990,2650,3638,882,5007,990,8298,1902,662513,13426,6226
08,Colorado,2276165,12672,88147,3755,223971,5635,1098087,10432,525909,5771,179255,5999,44241,2497,45908,22461,2857,9235,1536,2061,743,617,324,496,317,525,333,137031,6572,1934
09,Connecticut,1648283,15093,63161,3239,131477,3940,714521,9677,422009,7162,157608,5218,42250,2805,46687,7030,1402,3429,889,982,548,417,236,175,167,507,254,54183,3413,569
10,Delaware,405768,6661,15694,1706,37809,2383,190349,4249,95703,3758,32163,2028,9556,1403,9921,2044,739,1169,535,360,231,252,416,168,172,132,151,14552,2167,205
11,District of Columbia,669068,13056,5111,1262,42172,3936,329626,8038,170907,6149,64436,4089,17380,1968,16453,6352,1243,2503,749,1144,454,204,202,472,259,662,405,11110,1973,98
12,Florida,7674825,26995,311589,8724,726369,9956,3480052,17861,1791891,13083,645373,12574,185468,5827,207134,61828,6481,25668,3219,10557,1658,1939,766,2716,1013,4942,1064,279325,9541,2829
13,Georgia,4096689,20052,149609,5530,401760,9491,2062008,14086,890217,8227,310956,6926,81529,4566,83380,30888,3346,12253,1557,3350,1060,936,535,1136,616,1216,597,145988,6413,505
15,Hawaii,585016,7207,21067,2025,56848,3498,253609,4346,144457,3178,55877,3037,15893,1666,15263,6417,1353,3133,877,1018,521,238,200,106,122,329,276,26676,2873,95
16,Idaho,640463,8582,37026,2575,74880,3175,279352,5705,148928,3731,50977,2588,14684,1730,14762,5624,1499,3646,1013,514,320,357,250,193,164,202,175,32339,2911,502
17,Illinois,5777753,24231,235075,7603,541425,10138,2714903,14460,1342933,8879,471032,8989,122585,6313,141262,43708,4140,17388,1758,5314,1289,1639,592,1780,771,2930,850,194830,7714,2818
18,Indiana,2794139,16998,122953,4381,268510,6192,1257069,11122,672822,7368,242500,5879,63114,3396,63301,20821,3276,8368,1469,2588,669,511,297,744,388,1139,614,86567,5021,1670
19,Iowa,1470173,10519,74619,3019,150628,4723,624668,6396,356587,4687,127603,3455,34773,2257,37125,8780,1719,5395,965,1814,670,1050,487,431,276,1283,474,63634,3067,1202
20,Kansas,1343607,10976,65750,3119,147957,5738,581971,6763,318405,4971,111125,3967,29455,2304,32322,8329,1480,4584,931,1121,586,541,298,484,380,470,222,52694,4116,963
