GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD18,HD02_VD18,HD01_VD35,HD02_VD35,HD01_VD52,HD02_VD52
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Worked at home,Margin of Error; Worked at home,Estimate; Male: - Worked at home,Margin of Error; Male: - Worked at home,Estimate; Female: - Worked at home,Margin of Error; Female: - Worked at home
01,Alabama,1928379,13688,48924,3402,26054,2320,22870,2132
02,Alaska,322541,5905,16054,1764,8268,1262,7786,1263
04,Arizona,2707593,15533,123935,6389,58565,3643,65370,4485
05,Arkansas,1228961,10799,39966,3313,20378,1575,19588,2589
06,California,16337246,39536,779046,16629,383010,10805,396036,10383
08,Colorado,2384763,12996,137130,5709,69808,4613,67322,3561
09,Connecticut,1697791,11729,59475,3119,28750,2165,30725,2219
10,Delaware,410043,7121,10398,1446,4308,892,6090,1049
11,District of Columbia,720382,12903,11498,1692,6876,1323,4622,951
12,Florida,8111142,28173,326298,11200,177997,7112,148301,6851
13,Georgia,4287027,22641,182533,7137,103890,5179,78643,4342
15,Hawaii,629882,7186,27162,2434,14118,1375,13044,1758
16,Idaho,656843,6577,33874,2970,17610,1964,16264,2079
17,Illinois,5968506,20652,218219,5775,108712,4522,109507,4472
18,Indiana,2901321,16538,94258,4901,45349,3007,48909,3505
19,Iowa,1507545,11140,71493,3075,36856,2154,34637,2136
20,Kansas,1387246,11754,59451,3586,31106,2539,28345,2292
21,Kentucky,1834746,16795,58981,4174,32555,2441,26426,2775
22,Louisiana,1828690,15492,39698,3507,19321,2022,20377,2372
23,Maine,634690,7536,31592,2352,14450,1496,17142,1711
24,Maryland,2540390,17577,102616,5905,46955,3858,55661,3703
25,Massachusetts,3247821,18881,113918,4956,58001,3252,55917,3000
26,Michigan,4388084,22399,152516,5319,69442,3133,83074,3650
27,Minnesota,2691467,13204,131054,4893,67552,3430,63502,3382
28,Mississippi,1136395,11451,24199,2369,13254,1762,10945,1539
29,Missouri,2798817,18303,113016,5182,60303,3709,52713,3470
30,Montana,458738,5425,30792,2339,16748,1508,14044,1662
31,Nebraska,929445,7763,45325,2660,24014,1808,21311,1642
32,Nevada,1222402,11319,37455,3214,20571,2256,16884,2053
33,New Hampshire,643983,7819,29328,2667,15018,1901,14310,1789
34,New Jersey,3940392,22020,133940,6018,70175,4074,63765,3860
35,New Mexico,851799,10070,39354,2808,18437,2202,20917,1991
36,New York,9019546,34791,331806,10099,170325,7568,161481,6215
37,North Carolina,4110108,19233,146489,5701,79028,3952,67461,4208
38,North Dakota,347930,4908,19182,1643,11556,1109,7626,1077
39,Ohio,5354889,22468,163769,6573,79535,4135,84234,4188
40,Oklahoma,1572763,11550,58478,3613,29480,2476,28998,2130
41,Oregon,1786447,13395,105312,5572,48864,4030,56448,3123
42,Pennsylvania,5620276,21522,184211,6021,96343,4298,87868,3654
44,Rhode Island,491261,8825,13648,1609,7081,1408,6567,981
45,South Carolina,1912256,14500,66494,3658,36273,2818,30221,2288
46,South Dakota,399314,5017,26112,2003,16273,1477,9839,1161
47,Tennessee,2745278,18441,85980,4880,44429,3550,41551,2927
48,Texas,10489374,26788,368440,11101,187678,7497,180762,7002
49,Utah,1190619,11287,54558,2916,25352,2438,29206,2076
50,Vermont,317938,5028,17547,1731,8129,1116,9418,1164
51,Virginia,3708749,20489,149168,6429,78190,3884,70978,4290
53,Washington,2983535,16338,154032,5281,74616,3496,79416,4040
54,West Virginia,722416,9679,18125,2323,8702,1298,9423,1617
55,Wisconsin,2769424,14626,110344,4056,59524,2990,50820,2660
56,Wyoming,273007,4646,13915,1929,5897,1189,8018,1450
72,Puerto Rico,1163621,14744,24762,2633,14400,1753,10362,1851
