GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Private for-profit wage and salary workers:,Margin of Error; Total: - Private for-profit wage and salary workers:,Estimate; Total: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Total: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Total: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Total: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Total: - Private not-for-profit wage and salary workers,Margin of Error; Total: - Private not-for-profit wage and salary workers,Estimate; Total: - Local government workers,Margin of Error; Total: - Local government workers,Estimate; Total: - State government workers,Margin of Error; Total: - State government workers,Estimate; Total: - Federal government workers,Margin of Error; Total: - Federal government workers,Estimate; Total: - Self-employed in own not incorporated business workers,Margin of Error; Total: - Self-employed in own not incorporated business workers,Estimate; Total: - Unpaid family workers,Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers:,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers:,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Total: - Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Total: - Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Total: - Worked at home: - Private not-for-profit wage and salary workers,Margin of Error; Total: - Worked at home: - Private not-for-profit wage and salary workers,Estimate; Total: - Worked at home: - Local government workers,Margin of Error; Total: - Worked at home: - Local government workers,Estimate; Total: - Worked at home: - State government workers,Margin of Error; Total: - Worked at home: - State government workers,Estimate; Total: - Worked at home: - Federal government workers,Margin of Error; Total: - Worked at home: - Federal government workers,Estimate; Total: - Worked at home: - Self-employed in own not incorporated business workers,Margin of Error; Total: - Worked at home: - Self-employed in own not incorporated business workers,Estimate; Total: - Worked at home: - Unpaid family workers
01,Alabama,1914756,17722,1350001,18390,1293547,17969,56454,4200,124905,6180,142988,6949,111601,6254,81728,4276,99874,5320,3659,51126,4304,28934,3356,23315,2969,5619,1315,2609,817,397,271,1320,551,539,277,16905,2233,422
02,Alaska,355925,6110,193408,6147,184239,5915,9169,1567,34264,3277,30589,2416,30550,3018,43533,4384,23205,2503,376,16875,2033,7044,1523,5842,1373,1202,560,1161,532,266,216,266,163,958,678,7161,1375,19
04,Arizona,2623436,18031,1886467,20979,1791429,21376,95038,5131,160794,9886,189373,9503,123494,7076,98247,6191,161367,7819,3694,145782,8522,85590,7014,65431,6225,20159,3433,5184,1476,2611,928,5125,1560,2858,925,43318,4083,1096
05,Arkansas,1214826,11798,846748,11178,809699,11774,37049,2941,78814,5793,77773,5036,98763,5051,35259,3040,75860,5202,1609,40569,3617,20810,2682,15509,2566,5301,1087,2383,798,725,425,1958,837,376,317,14186,2105,131
06,California,16042489,40016,11165624,43807,10657340,39117,508284,13922,1071056,18154,1278756,18022,666777,16141,479963,11971,1354095,23800,26218,857352,17561,402067,11169,307355,9571,94712,5988,38138,3693,36923,3111,35714,3206,23030,2930,316380,9422,5100
08,Colorado,2462381,12823,1720786,15147,1605995,14972,114791,5789,186200,6945,183771,6980,101823,5395,106072,5059,158795,7890,4934,154954,7327,92205,5242,66173,4130,26032,2969,9412,1464,2912,945,3287,772,1591,714,44983,4487,564
09,Connecticut,1710953,13550,1189819,13110,1133107,13142,56712,3704,171806,5784,131592,5586,71535,4521,31100,2691,112735,5671,2366,72435,4059,40409,2847,30366,2160,10043,1656,3412,803,1546,682,1036,371,1662,903,24062,2392,308
10,Delaware,407733,7229,298312,7613,281529,7546,16783,2266,33779,2828,12935,1620,33682,2992,12001,1755,16326,1945,698,15023,1984,9719,1765,6908,1472,2811,1006,825,320,0,193,284,276,95,123,3972,896,128
11,District of Columbia,805581,14168,347010,11048,330217,10632,16793,2347,128036,5078,34844,3133,15995,2281,253819,8310,25164,2707,713,14700,2159,7481,1596,5679,1361,1802,752,1960,698,82,105,191,245,1119,458,3811,1042,56
