GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD08,HD02_VD08
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home
01,Alabama,41.7,0.2,47.8,2.4
02,Alaska,41.2,0.5,48.5,2.2
04,Arizona,40.1,0.2,47.3,0.9
05,Arkansas,41.3,0.3,46.7,1.8
06,California,40.8,0.1,46.4,0.3
08,Colorado,41.0,0.1,47.5,0.5
09,Connecticut,43.7,0.2,49.4,1.1
10,Delaware,42.2,0.4,49.7,2.6
11,District of Columbia,42.4,0.4,44.4,2.0
12,Florida,42.3,0.2,47.0,0.7
13,Georgia,40.7,0.2,42.6,0.6
15,Hawaii,41.3,0.4,51.2,3.6
16,Idaho,40.4,0.4,46.5,2.1
17,Illinois,41.5,0.2,46.0,0.5
18,Indiana,42.0,0.2,47.5,1.1
19,Iowa,42.1,0.3,47.7,1.1
20,Kansas,41.5,0.3,47.1,0.9
21,Kentucky,41.1,0.2,47.1,1.3
22,Louisiana,40.9,0.2,46.5,2.0
23,Maine,44.0,0.3,48.0,1.4
24,Maryland,42.6,0.2,47.2,1.0
25,Massachusetts,42.9,0.1,46.9,1.0
26,Michigan,42.3,0.2,46.1,0.6
27,Minnesota,42.0,0.2,46.9,0.8
28,Mississippi,41.2,0.2,45.5,2.1
29,Missouri,41.9,0.2,45.9,0.8
30,Montana,43.4,0.4,47.8,1.4
31,Nebraska,41.4,0.3,48.5,1.4
32,Nevada,40.7,0.2,47.5,2.2
33,New Hampshire,43.8,0.4,49.1,1.3
34,New Jersey,43.2,0.2,47.1,0.9
35,New Mexico,41.4,0.4,50.2,1.6
36,New York,42.6,0.1,47.1,0.5
37,North Carolina,41.2,0.2,44.3,0.7
38,North Dakota,41.7,0.4,49.4,1.5
39,Ohio,42.6,0.2,46.3,0.6
40,Oklahoma,40.9,0.2,46.4,1.5
41,Oregon,41.6,0.3,46.9,1.1
42,Pennsylvania,43.4,0.1,47.6,0.6
44,Rhode Island,43.0,0.4,45.9,2.7
45,South Carolina,41.7,0.3,42.4,1.4
46,South Dakota,42.1,0.5,48.8,1.2
47,Tennessee,41.7,0.2,46.7,1.1
48,Texas,40.1,0.1,45.7,0.5
49,Utah,36.9,0.3,40.5,1.1
50,Vermont,44.5,0.4,50.9,1.6
51,Virginia,41.8,0.2,46.3,1.0
53,Washington,41.5,0.2,47.7,0.9
54,West Virginia,42.7,0.4,46.6,1.9
55,Wisconsin,42.3,0.2,47.3,0.6
56,Wyoming,41.6,0.6,49.2,2.4
72,Puerto Rico,40.0,0.3,47.3,2.4
