GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Management, professional, and related occupations","Margin of Error; Management, professional, and related occupations",Estimate; Service occupations,Margin of Error; Service occupations,Estimate; Sales and office occupations,Margin of Error; Sales and office occupations,"Estimate; Farming, fishing, and forestry occupations","Margin of Error; Farming, fishing, and forestry occupations","Estimate; Construction and extraction, and maintenance occupations","Margin of Error; Construction and extraction, and maintenance occupations","Estimate; Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Armed forces","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Armed forces",Estimate; Worked at home:
01,Alabama,1928379,13688,597238,11772,289791,9659,488093,10388,12721,1621,219771,7800,317412,4655,1270,2740,961,390,307,2507,807,4593,1249,85,123,48924
02,Alaska,322541,5905,110022,4361,53748,3325,76054,4577,5032,1026,37975,2818,35216,2968,786,2434,652,1529,514,3168,745,3366,913,80,83,16054
04,Arizona,2707593,15533,877494,14912,461910,13142,741003,14817,13095,3046,335675,10299,271323,17379,2977,13179,2130,1017,1060,10408,2074,8616,1769,538,445,123935
05,Arkansas,1228961,10799,346379,9756,192341,6485,310179,7660,17161,2260,129099,5613,231504,3259,909,2304,939,816,651,1730,654,5731,1304,42,70,39966
06,California,16337246,39536,5643129,29318,2711965,28086,4224588,35063,210476,9505,1573843,24391,1903726,72655,5003,63762,4781,11152,2259,40447,5027,52485,5090,3293,906,779046
08,Colorado,2384763,12996,872697,12044,380501,12128,611930,11913,13065,1881,262700,9322,227595,11926,2191,8732,1451,300,199,4843,1473,6696,1502,202,134,137130
09,Connecticut,1697791,11729,643333,11014,281151,8498,442822,8980,2682,702,143612,6122,181058,5772,1391,5477,1319,74,120,1878,925,4086,1298,138,150,59475
10,Delaware,410043,7121,149885,5963,64246,3896,112217,4950,1334,550,41605,3204,39486,1234,806,1425,501,226,282,1020,607,920,491,210,346,10398
11,District of Columbia,720382,12903,430257,10039,95167,5406,129411,6415,897,609,31336,3727,28053,1134,630,2602,1018,195,316,555,403,1275,719,112,138,11498
12,Florida,8111142,28173,2532856,28164,1446888,23519,2312923,22707,59824,6701,971499,18933,757601,43402,4323,30766,3728,2981,1071,31247,5018,26714,3612,985,420,326298
13,Georgia,4287027,22641,1406769,20193,630642,14769,1112771,17180,26419,2979,474023,12397,594166,17709,2997,10445,2021,1814,899,15816,2376,19034,3053,809,445,182533
15,Hawaii,629882,7186,201235,6843,129479,5298,159891,6585,6202,1364,65398,4414,46082,4145,1065,2632,780,706,497,1404,540,1538,635,1220,575,27162
16,Idaho,656843,6577,203926,5151,102686,5709,164751,6802,18830,1909,85327,4286,78250,2524,748,2001,696,773,549,1249,533,1622,616,0,265,33874
17,Illinois,5968506,20652,2055088,19752,940850,15786,1566105,20110,18469,2228,504435,11171,873304,19876,2859,16871,2136,439,330,7548,1673,18182,2457,111,126,218219
18,Indiana,2901321,16538,863628,15365,449239,10252,709082,11865,12233,1900,289826,9073,575713,8795,1741,5515,1220,217,191,4387,1220,11089,1841,26,40,94258
19,Iowa,1507545,11140,485450,7322,240892,6451,373716,8471,16407,1605,131037,5313,259410,3908,850,2835,728,266,251,2284,811,5245,911,76,125,71493
20,Kansas,1387246,11754,460603,10596,216413,7225,343456,8781,15015,1826,138442,4698,203747,4424,1445,1873,617,87,87,3145,1019,4814,1147,135,151,59451
21,Kentucky,1834746,16795,562221,11317,273515,7828,465198,10600,13506,1931,197278,6144,311360,3549,872,1774,626,53,74,2204,770,4717,1055,337,346,58981
22,Louisiana,1828690,15492,536259,9013,319301,9610,472343,11778,10933,1415,242440,7842,238790,8585,1789,5168,1212,577,397,5984,1531,8264,1659,163,228,39698
23,Maine,634690,7536,204549,5763,107954,5285,160215,5284,12282,1745,71305,3140,76796,1602,724,1877,654,872,747,913,380,1841,670,67,111,31592
24,Maryland,2540390,17577,1038877,15481,391346,11071,642666,12505,6276,1328,231846,7218,220766,8529,1884,7012,1341,112,130,5383,1593,5530,1343,190,166,102616
25,Massachusetts,3247821,18881,1339605,15569,518353,13156,803471,11430,6387,1463,261237,8867,316205,9982,2098,8779,1628,133,148,2961,1123,5654,1170,0,265,113918
