GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; 16 to 19 years,Margin of Error; 16 to 19 years,Estimate; 20 to 24 years,Margin of Error; 20 to 24 years,Estimate; 25 to 44 years,Margin of Error; 25 to 44 years,Estimate; 45 to 54 years,Margin of Error; 45 to 54 years,Estimate; 55 to 59 years,Margin of Error; 55 to 59 years,Estimate; 60 to 64 years,Margin of Error; 60 to 64 years,Estimate; 65 years and over,Estimate; Worked at home:,Margin of Error; Worked at home:,Estimate; Worked at home: - 16 to 19 years,Margin of Error; Worked at home: - 16 to 19 years,Estimate; Worked at home: - 20 to 24 years,Margin of Error; Worked at home: - 20 to 24 years,Estimate; Worked at home: - 25 to 44 years,Margin of Error; Worked at home: - 25 to 44 years,Estimate; Worked at home: - 45 to 54 years,Margin of Error; Worked at home: - 45 to 54 years,Estimate; Worked at home: - 55 to 59 years,Margin of Error; Worked at home: - 55 to 59 years,Estimate; Worked at home: - 60 to 64 years,Margin of Error; Worked at home: - 60 to 64 years,Estimate; Worked at home: - 65 years and over
01,Alabama,1928379,13688,79089,4585,200268,5978,868625,10346,450341,7419,165644,5057,90591,4204,73821,48924,3402,1165,451,3050,923,17393,2098,14042,2031,5455,1109,3481,860,4338
02,Alaska,322541,5905,17424,1990,33382,2412,142806,3885,81757,2711,24987,2040,15102,1887,7083,16054,1764,763,543,1585,733,5894,1288,4116,798,1564,480,1205,614,927
04,Arizona,2707593,15533,128736,5075,282282,5427,1308793,12107,573337,7852,210527,5625,116197,5033,87721,123935,6389,2069,759,3677,1103,54831,4289,29692,2981,13621,1833,9563,1400,10482
05,Arkansas,1228961,10799,57728,3570,124569,4555,551306,7093,280114,5257,105296,3801,59891,3201,50057,39966,3313,1486,627,2074,772,14363,2093,10046,1996,4035,1138,3596,784,4366
06,California,16337246,39536,649966,11842,1731745,14007,7809638,26862,3651143,16992,1281111,15919,694614,12242,519029,779046,16629,18189,2335,41214,3871,310746,9930,198093,7193,84908,4630,58626,3968,67270
08,Colorado,2384763,12996,103295,4171,239380,4948,1108302,8752,553367,5457,196316,4941,108431,4432,75672,137130,5709,2211,739,4212,1341,58376,3770,35637,2660,16797,1965,10014,1331,9883
09,Connecticut,1697791,11729,74009,3212,148701,4434,724924,7649,425984,5450,155990,5073,93044,3730,75139,59475,3119,1256,404,3244,748,19879,1664,16848,1726,7001,1183,4541,841,6706
10,Delaware,410043,7121,18685,1801,38634,2634,187614,4895,97058,3456,33145,2562,20883,1996,14024,10398,1446,361,306,288,223,3697,866,2848,699,1279,533,840,397,1085
11,District of Columbia,720382,12903,10261,1675,52698,4085,349260,9346,178013,6375,68889,3931,36253,3012,25008,11498,1692,514,370,1470,752,4392,924,1194,562,1176,484,1317,531,1435
12,Florida,8111142,28173,327740,9606,776693,11442,3679489,18875,1863037,13338,701640,12653,410350,9198,352193,326298,11200,7483,1303,13771,2328,125032,7161,82709,4424,37270,3274,25388,2443,34645
13,Georgia,4287027,22641,179675,7529,406142,9631,2094298,15322,959880,9403,343348,8145,177886,6094,125798,182533,7137,8874,1364,13722,1927,77621,4813,45077,3414,17332,1890,9368,1825,10539
15,Hawaii,629882,7186,24549,2056,66025,2828,281669,4500,142915,3246,55216,2640,34825,2454,24683,27162,2434,698,342,1414,518,9611,1538,6759,1367,3725,929,2599,660,2356
16,Idaho,656843,6577,38094,2383,75622,3143,288671,4541,151069,3694,55434,2963,26963,1918,20990,33874,2970,438,269,1788,856,11551,1821,10459,1441,4115,971,2180,586,3343
17,Illinois,5968506,20652,258030,6252,581436,8454,2734339,16857,1394084,8851,519183,9139,267061,6188,214373,218219,5775,5735,1259,9943,1576,88820,4562,58736,3462,21498,1863,15110,1731,18377
18,Indiana,2901321,16538,135263,5090,282110,6561,1292402,10863,695996,7233,257093,6742,134186,4195,104271,94258,4901,2877,671,5825,1025,39200,3808,21515,2148,10714,1581,5446,1098,8681
19,Iowa,1507545,11140,87064,3274,166138,4800,616092,7169,357582,3792,134037,3555,73796,3060,72836,71493,3075,2384,626,3591,743,24639,2091,16854,1746,7918,1375,5020,736,11087
20,Kansas,1387246,11754,76693,3262,155833,4924,584624,7529,328456,4380,114471,3930,67852,3174,59317,59451,3586,2561,745,6201,1237,18867,2003,13965,1662,5109,929,4608,822,8140
21,Kentucky,1834746,16795,82568,3692,175225,5870,858153,12214,425000,6229,149834,4610,80079,3981,63887,58981,4174,3275,716,4671,999,20346,2563,12990,1735,6529,1145,4810,944,6360
22,Louisiana,1828690,15492,87025,4186,198081,5977,819814,9919,422949,7667,151046,4965,83334,3539,66441,39698,3507,542,238,931,434,14963,2200,10770,1501,3804,941,4332,1168,4356
23,Maine,634690,7536,30099,1708,56479,2533,259627,4432,163778,3283,65316,2453,32940,2007,26451,31592,2352,340,188,862,425,11695,1644,8492,1165,4139,814,2867,777,3197
24,Maryland,2540390,17577,118777,5087,237075,6090,1141502,12607,600817,8005,221095,6446,125144,4859,95980,102616,5905,2121,718,3335,1042,40425,3365,29131,2879,10776,1659,7978,1135,8850
25,Massachusetts,3247821,18881,134192,5112,295399,6411,1448361,12070,783725,7468,291604,6436,172260,5881,122280,113918,4956,2152,572,5767,1321,44339,3486,30995,2369,12088,1483,10809,1402,7768
26,Michigan,4388084,22399,196859,6097,428873,7068,1967852,10905,1092380,8510,378909,7675,187550,4800,135661,152516,5319,4980,1067,7875,1256,57747,3776,40528,2552,16287,1787,12189,1436,12910
27,Minnesota,2691467,13204,135746,3690,275460,4732,1181518,7827,652349,5179,228601,5083,124174,3943,93619,131054,4893,3997,701,6310,1082,48953,2652,36706,2626,13828,1401,9444,923,11816
28,Mississippi,1136395,11451,53191,3915,117287,5317,509284,8520,262586,6556,97774,4540,52351,3483,43922,24199,2369,764,353,2707,713,8373,1432,4517,871,2434,775,2878,816,2526
29,Missouri,2798817,18303,132944,4905,286243,5591,1237677,11465,657638,7325,244265,6350,130704,4136,109346,113016,5182,5737,1084,6449,1375,42409,3502,29162,2784,10909,1496,7528,1198,10822
30,Montana,458738,5425,23670,1782,47269,2093,183365,3156,117332,2296,45277,2000,22723,1801,19102,30792,2339,1148,526,1221,474,11422,1591,7819,1299,3371,625,2316,564,3495
31,Nebraska,929445,7763,49675,2564,101274,3553,385456,4777,217156,3362,84594,2797,47058,2507,44232,45325,2660,1147,503,1727,458,16341,1670,11213,1464,5273,1007,3370,654,6254
32,Nevada,1222402,11319,46650,3312,113224,3722,596344,8599,260961,4495,101168,4772,58984,3959,45071,37455,3214,649,460,1199,611,13764,1970,10855,2004,4254,955,3412,1032,3322
33,New Hampshire,643983,7819,32608,2035,58431,3019,268640,5526,164427,3515,59938,3169,35582,2544,24357,29328,2667,346,236,1071,516,11430,1804,8168,1389,3267,702,2345,589,2701
34,New Jersey,3940392,22020,150938,4948,324013,7050,1769298,14751,976317,11017,355213,7778,208961,6300,155652,133940,6018,2072,708,3207,972,54969,4207,35952,2476,14051,1611,10390,1448,13299
35,New Mexico,851799,10070,39419,3387,90090,3545,375211,6884,196731,3764,73049,3325,44257,3228,33042,39354,2808,155,140,1127,564,13238,2025,11789,1609,5418,1080,3854,915,3773
36,New York,9019546,34791,309528,5960,806585,10781,4174196,21390,2160495,12991,791429,9249,439144,10397,338169,331806,10099,9032,1384,14705,2004,132051,5807,82504,4233,38125,3266,25265,2052,30124
37,North Carolina,4110108,19233,170118,5711,406115,7268,1923480,13606,934547,7875,353515,7625,186276,5661,136057,146489,5701,5600,1162,11917,1675,55809,3781,36890,2955,15963,1740,9327,1218,10983
38,North Dakota,347930,4908,20585,1779,44661,2510,138508,2376,81886,1747,30065,1598,17029,1229,15196,19182,1643,684,338,1001,435,5872,753,5966,853,2311,454,1294,315,2054
39,Ohio,5354889,22468,247518,6543,521145,9072,2338094,15304,1308923,9057,488379,8289,251194,6199,199636,163769,6573,3745,709,6357,1207,65247,4033,43879,2992,15756,1650,10259,1320,18526
40,Oklahoma,1572763,11550,78600,3995,173267,5672,680311,7926,354511,5704,136067,3500,77857,3980,72150,58478,3613,1803,496,3538,986,19660,1933,14531,1756,7473,1122,4305,814,7168
41,Oregon,1786447,13395,75298,3580,168644,4877,796695,7773,427486,6574,175214,5228,82696,4127,60414,105312,5572,1982,611,4530,1524,39141,3139,27903,2556,12073,1622,8980,1465,10703
42,Pennsylvania,5620276,21522,248413,5941,522891,7776,2378103,13569,1419985,10076,531596,8149,283906,6928,235382,184211,6021,5648,1041,8528,1365,66522,4054,49300,3264,20532,1557,14118,1577,19563
44,Rhode Island,491261,8825,27698,2301,49996,3097,211652,5663,116191,3610,40361,2713,26272,2291,19091,13648,1609,755,446,542,388,5602,1139,3407,847,1162,480,1267,435,913
45,South Carolina,1912256,14500,90021,3645,186980,5585,863258,9282,439081,6630,166721,4838,93560,3986,72635,66494,3658,7332,1067,6278,1130,20964,2585,13617,1788,6346,1012,6514,1293,5443
46,South Dakota,399314,5017,20279,1438,43245,2185,160476,3038,96778,1793,37103,1852,19682,1545,21751,26112,2003,807,322,1255,505,7498,1131,7375,1051,2840,630,2401,596,3936
47,Tennessee,2745278,18441,108920,4937,253891,7403,1269128,11863,638087,8804,243237,6612,132861,4486,99154,85980,4880,2673,797,4300,1075,32491,2891,21684,2238,10035,1501,6076,1006,8721
48,Texas,10489374,26788,442498,9276,1094054,11529,5039652,21720,2329222,11886,804299,11587,446237,8480,333412,368440,11101,7610,1366,15473,2511,152294,6901,92206,4736,40208,3344,28028,2724,32621
