GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD08,HD02_VD08
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Worked at home,Margin of Error; Total: - Worked at home
01,Alabama,41.3,0.3,47.1,1.2
02,Alaska,41.4,0.5,44.4,2.4
04,Arizona,39.2,0.2,45.4,0.9
05,Arkansas,41.0,0.3,47.6,1.7
06,California,40.0,0.1,45.8,0.3
08,Colorado,40.5,0.2,46.0,0.8
09,Connecticut,42.7,0.2,48.0,1.0
10,Delaware,41.3,0.4,48.7,3.3
11,District of Columbia,42.2,0.4,42.7,3.8
12,Florida,41.5,0.2,46.9,0.6
13,Georgia,40.2,0.1,43.2,0.7
15,Hawaii,40.9,0.3,48.2,2.5
16,Idaho,39.8,0.3,48.7,1.9
17,Illinois,41.0,0.2,45.7,0.6
18,Indiana,41.3,0.2,44.8,0.9
19,Iowa,41.8,0.2,47.5,1.0
20,Kansas,41.5,0.3,46.6,1.3
21,Kentucky,40.8,0.2,46.0,1.4
22,Louisiana,40.9,0.3,48.4,1.5
23,Maine,43.3,0.3,48.1,1.5
24,Maryland,41.6,0.2,46.5,0.9
25,Massachusetts,42.0,0.2,46.3,0.7
26,Michigan,41.4,0.2,46.5,0.7
27,Minnesota,41.4,0.1,46.6,0.7
28,Mississippi,41.0,0.3,45.6,2.0
29,Missouri,41.3,0.2,45.6,0.8
30,Montana,43.0,0.3,47.1,2.4
31,Nebraska,41.7,0.3,47.6,1.3
32,Nevada,40.3,0.3,48.0,2.1
33,New Hampshire,42.7,0.4,47.6,1.9
34,New Jersey,42.3,0.2,46.9,0.8
35,New Mexico,41.3,0.3,49.1,1.3
36,New York,41.6,0.2,46.3,0.4
37,North Carolina,40.7,0.1,45.0,0.7
38,North Dakota,41.2,0.4,48.5,1.1
39,Ohio,41.8,0.2,46.3,0.6
40,Oklahoma,41.0,0.2,48.7,1.4
41,Oregon,41.3,0.3,47.1,0.7
42,Pennsylvania,42.6,0.2,47.3,0.7
44,Rhode Island,41.4,0.4,44.8,2.2
45,South Carolina,41.1,0.2,43.7,2.0
46,South Dakota,42.4,0.4,50.0,2.2
47,Tennessee,41.2,0.2,46.4,1.2
48,Texas,39.8,0.2,45.8,0.4
49,Utah,36.2,0.2,40.7,1.1
50,Vermont,43.6,0.3,50.1,1.0
51,Virginia,41.2,0.2,43.8,0.8
53,Washington,41.2,0.2,47.0,0.6
54,West Virginia,42.3,0.3,47.1,1.9
55,Wisconsin,41.7,0.2,46.8,0.7
56,Wyoming,42.2,0.5,50.2,2.2
72,Puerto Rico,39.1,0.3,44.2,1.3
