GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Management, professional, and related occupations","Margin of Error; Management, professional, and related occupations",Estimate; Service occupations,Margin of Error; Service occupations,Estimate; Sales and office occupations,Margin of Error; Sales and office occupations,"Estimate; Farming, fishing, and forestry occupations","Margin of Error; Farming, fishing, and forestry occupations","Estimate; Construction and extraction, and maintenance occupations","Margin of Error; Construction and extraction, and maintenance occupations","Estimate; Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Armed forces","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Armed forces",Estimate; Worked at home:
01,Alabama,1919778,14797,620013,10815,312407,8737,487855,10125,12495,2257,194536,5797,285369,4886,1364,2856,1073,515,356,2378,743,4709,1251,472,396,48426
02,Alaska,342551,6394,115155,5339,59697,4108,80605,4838,2883,797,42289,3824,36718,2869,783,3668,1074,532,295,4410,1031,2923,812,133,160,15398
04,Arizona,2729757,21363,920974,14558,534636,14196,735299,15904,12951,2379,261467,9359,255644,19001,3091,14518,2463,181,177,7722,1920,11203,2612,494,383,142062
05,Arkansas,1224374,14588,367600,10390,201012,6938,299323,8939,14388,2370,128134,6321,210637,4262,1295,2825,843,273,210,2668,1069,5882,1668,192,206,42408
06,California,16139699,40928,5858412,33967,2943545,31381,3983543,31117,223583,10473,1308899,16905,1749458,87398,6101,67201,4910,13583,3637,33568,4203,48297,4134,2215,694,832146
08,Colorado,2453377,15718,957158,12844,418585,10510,604372,11223,13468,1869,230999,7697,209449,14716,2214,11090,1748,461,303,6712,2212,6779,1497,325,363,166093
09,Connecticut,1694719,12924,669325,11963,298401,10181,421313,10114,2268,858,130328,5860,169481,4280,1121,4494,1280,42,70,2027,940,2566,771,68,111,69894
10,Delaware,416661,8712,163811,6280,72321,4721,104688,5135,1609,626,32770,3473,40278,903,433,568,450,178,194,1077,604,899,402,0,271,13434
11,District of Columbia,758689,11963,464128,9397,103726,5365,129649,6601,247,179,30998,2907,23856,1691,781,2761,1355,0,271,342,289,537,317,168,175,15041
12,Florida,7851983,36622,2593487,22927,1571262,22731,2190699,24745,51364,5747,725592,14738,687949,48984,5256,35752,3795,4524,1776,20150,3566,25142,2769,765,475,375151
13,Georgia,4287878,28541,1499784,20787,690057,15482,1101288,18871,26152,3792,394964,11376,529407,19299,3920,12573,2719,1448,711,11225,2429,14885,2661,749,525,207333
15,Hawaii,639584,6177,213517,6713,140106,6237,152235,7128,4317,1011,57592,4303,52754,6672,1760,2463,895,333,258,1726,738,3039,1344,926,418,28673
16,Idaho,659175,7871,214434,6275,121161,5441,165258,6230,15914,2221,63844,4382,76875,3739,1034,3636,1014,594,432,1957,865,2432,709,0,271,34553
17,Illinois,5917742,18998,2139754,19624,999281,16431,1518498,18343,20057,2566,444281,11476,786337,21602,3072,15921,2179,591,470,6666,1290,21914,2948,129,154,232678
18,Indiana,2817192,16009,905048,14536,482956,10189,691342,13341,13615,2341,245205,7556,476827,8094,1527,6183,1390,272,219,3400,919,9075,1652,18,29,94697
19,Iowa,1524705,10924,514006,11447,258060,7131,363900,9196,17169,1708,128291,4981,242263,3788,941,3464,931,287,243,1546,509,5426,921,0,271,75389
20,Kansas,1385380,11544,473727,8764,227340,8004,340543,7840,13511,1558,133815,4947,187531,4854,1083,4399,1071,247,320,3286,951,6056,1341,171,173,59047
21,Kentucky,1846577,15799,586165,12766,310228,9234,448643,10920,15789,2913,178169,7880,288532,3883,1055,2776,838,923,566,2074,804,5403,1180,603,469,57071
22,Louisiana,1983471,16556,622027,11347,356853,10141,502781,10637,12847,1844,235436,8995,247040,10838,2119,4976,1216,630,416,5584,1119,8782,1470,49,76,48479
23,Maine,624974,7866,216221,6322,118148,4777,150999,5097,9119,1349,58612,3737,70445,2196,739,1286,701,265,196,427,247,2065,676,0,271,33810
24,Maryland,2587044,15630,1073147,16241,436235,13141,629295,13113,5422,1351,218063,7827,209596,6918,1417,4589,1028,147,146,3416,1063,4210,1043,114,135,117152
25,Massachusetts,3295905,17722,1419112,16955,557740,14694,788951,12310,6095,1469,222399,8684,298206,11945,2421,10143,1977,292,296,3521,1233,4739,1186,136,170,136360
26,Michigan,4105365,22932,1371167,16478,779476,13343,1053523,16595,30022,3356,302429,8390,565714,13232,2265,8560,1501,501,433,3426,832,10863,1658,194,234,147582
27,Minnesota,2678087,13222,1015301,11302,437390,8958,663505,9430,20549,2520,200219,5570,340021,9555,1677,7944,1411,525,335,2510,740,8204,1376,51,86,131251
28,Mississippi,1146912,12742,351573,8582,203129,7308,275865,9117,10638,1838,116012,5417,185148,2605,1053,900,434,301,242,2376,1037,2818,883,0,271,30737
29,Missouri,2786032,17286,964905,14538,472357,9685,708325,11031,16125,2021,246399,7186,367656,7784,1510,5171,1293,280,200,4072,1289,7394,1550,386,280,118973
30,Montana,456480,6283,153411,5421,89510,4659,111815,5310,8664,1915,46159,3285,44979,2936,743,2676,826,273,188,644,380,1741,675,63,110,27120
31,Nebraska,939853,7741,329379,7577,151073,5925,235659,7062,12551,1593,81319,3691,127850,2131,1228,1152,404,15,43,995,567,3420,914,167,291,40074
32,Nevada,1216344,13767,330016,8090,329043,9057,312037,9573,2048,955,118862,6241,119729,6500,1501,3659,1131,137,167,2748,796,3315,1007,135,163,40832
33,New Hampshire,635208,8972,233423,5855,107360,5334,169863,6766,2091,566,51309,3519,70708,2509,1116,1434,683,39,62,189,185,1337,490,0,271,35560
34,New Jersey,3843779,24407,1433623,19937,663769,14926,1028654,16274,13520,6809,284341,9026,415126,25361,4192,13208,1945,804,540,8614,1856,18391,2741,85,114,162170
35,New Mexico,858041,11853,286429,8614,178019,7734,208666,7547,8604,1462,98507,5314,74359,3029,903,1887,690,112,121,2042,645,1333,507,160,175,45097
36,New York,9225086,34122,3626733,30908,1730017,23666,2300668,29357,24463,3751,680509,14613,849692,33222,2993,30438,3760,498,266,9967,2281,22114,3082,78,77,343814
37,North Carolina,4155536,23428,1465070,18646,687228,15257,990914,13789,28183,3454,376605,11307,546158,9321,1796,7075,1358,514,455,4132,1228,10530,1819,1274,593,180743
38,North Dakota,360805,4245,122720,4812,59733,3452,87711,3864,5080,910,39154,2930,44541,1068,375,708,407,84,109,551,338,1081,469,0,271,19728
39,Ohio,5178127,22838,1771715,19197,915498,15353,1300948,15842,16668,2392,395566,9926,772694,12166,1620,9882,1564,308,311,3476,925,12434,1647,87,105,185761
40,Oklahoma,1628521,13880,532824,11762,276902,8430,412701,8678,12287,1711,181389,6670,198145,6553,1442,3105,1034,284,239,2016,581,4758,1053,349,231,56214
41,Oregon,1752305,13716,626818,11332,310545,11052,434688,11169,33407,4064,135682,6116,209792,10700,1708,10228,1672,945,582,3372,1037,6492,1304,50,82,108863
42,Pennsylvania,5678712,25811,2031269,18190,974188,15379,1408979,17272,19711,2034,477614,11547,762700,17230,2138,13342,1908,1022,364,7091,1628,16278,2108,73,120,211544
44,Rhode Island,480342,8094,185931,7048,94102,5845,115616,4853,1211,618,32716,2835,48709,1355,636,1388,601,86,139,511,460,368,264,48,83,18045
45,South Carolina,1926542,15646,619376,10385,346017,10026,488183,10268,8102,1581,183457,7490,256647,7561,1623,6002,1461,214,331,3546,1262,5445,1197,581,376,76128
46,South Dakota,415020,5825,137862,4603,70689,4269,106760,4796,7460,1108,42712,3242,48801,966,407,1507,583,464,364,1237,707,1094,500,0,271,24581
47,Tennessee,2750197,18016,907173,13429,459757,9045,723416,11621,10911,2076,248204,7956,396530,6558,1541,4216,1217,881,637,1888,855,7907,1596,43,74,91933
48,Texas,11058421,33219,3721531,29209,1948133,24723,2790876,27762,61162,4491,1202567,19659,1278882,53731,5372,33961,3229,2083,816,40293,4539,36462,4171,1539,646,417500
49,Utah,1252718,9359,435803,9766,199281,7453,350065,7771,5339,1111,118176,5652,140554,4432,1576,5150,1384,217,181,2017,788,3049,873,66,109,60948
50,Vermont,313208,4901,123718,4106,53414,3936,70969,3823,4104,711,27409,2504,33192,1437,590,703,281,103,89,707,383,476,305,0,271,22920
51,Virginia,3722613,20263,1476787,17890,583947,12178,881831,15220,16242,2797,340291,9812,365146,10173,1882,7117,1244,858,626,5556,1294,7439,1376,1479,654,157174
53,Washington,3042540,17924,1157879,15274,521430,13010,721150,11968,39124,4070,251913,9578,327521,11276,1801,8805,1798,1759,754,4327,1010,7900,1353,810,644,162613
54,West Virginia,728449,9324,227393,7038,135844,5697,181784,6112,2774,907,85957,4994,93795,1650,745,1599,638,131,167,481,304,1513,716,0,271,25502
55,Wisconsin,2759489,14922,920920,12264,462186,10058,672780,8208,31755,2859,217146,5932,452713,9569,1739,6286,1304,552,283,3109,762,11224,1427,184,261,115001
56,Wyoming,284923,4340,88209,4568,51076,4143,63873,3511,2535,711,44170,3214,33609,833,424,450,296,63,87,1063,634,418,240,0,271,14467
72,Puerto Rico,1155465,11336,334824,8985,238389,8755,322976,9370,7795,1519,113156,5221,137224,8009,1460,5396,1205,838,568,5627,1105,3861,1260,97,154,25986
