GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Management, professional, and related occupations","Margin of Error; Management, professional, and related occupations",Estimate; Service occupations,Margin of Error; Service occupations,Estimate; Sales and office occupations,Margin of Error; Sales and office occupations,"Estimate; Farming, fishing, and forestry occupations","Margin of Error; Farming, fishing, and forestry occupations","Estimate; Construction and extraction, and maintenance occupations","Margin of Error; Construction and extraction, and maintenance occupations","Estimate; Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Armed forces","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Armed forces",Estimate; Worked at home:
01,Alabama,2018956,15858,626989,13025,312164,9536,523064,12215,11811,2060,212990,7342,322912,4000,939,4658,1398,431,313,3289,988,4840,1162,113,127,47099
02,Alaska,346972,5192,114812,4597,53630,3790,83592,3905,3546,794,46423,3497,36481,1788,462,3232,921,1233,611,4786,893,2963,846,159,181,20198
04,Arizona,2873827,16529,944099,16011,542664,14612,780367,15698,12209,2579,325036,11257,262920,18014,2972,13662,2215,118,194,9737,2136,11292,2083,419,327,141022
05,Arkansas,1258196,11855,366309,9239,202042,7098,323076,8562,13730,1983,121928,4982,229123,3844,1130,2225,738,827,436,2544,848,6050,1400,58,95,41228
06,California,16811097,46380,5999811,35589,2947849,30204,4235545,34540,223515,12121,1454415,22272,1869496,97986,7727,74507,5168,14555,2836,37024,3956,56421,4674,2655,980,805257
08,Colorado,2540846,14808,964533,14642,414935,11052,627967,12317,13200,2269,270188,9411,234770,11424,1558,13131,1673,109,147,5822,1611,7012,1416,92,150,161571
09,Connecticut,1735519,14783,684549,11083,294054,9507,435284,8508,3698,1142,135395,6467,179895,5862,1665,4202,1109,53,89,2059,838,3282,932,52,86,70901
10,Delaware,425838,7387,163351,6080,67290,4484,109225,5978,1265,559,39677,3545,43369,1762,806,1601,652,152,250,644,308,1581,579,0,271,12517
11,District of Columbia,756816,11962,443459,10139,102699,5391,142023,5403,0,271,34248,3108,29052,3189,1147,2817,969,0,271,275,237,536,397,609,470,14084
12,Florida,8222779,29739,2682469,25391,1578169,22581,2321798,25262,59792,11137,832989,16515,723079,50361,4529,34525,3812,6278,1877,25160,3530,24461,2422,564,354,370545
13,Georgia,4504094,24969,1541965,20212,715624,18142,1149941,18990,25364,3591,436421,12878,597973,19834,3195,12340,2087,2124,853,15117,2978,16897,2368,673,459,214197
15,Hawaii,657446,7936,211777,7588,140060,8144,163800,6830,4787,1334,68351,4618,46265,7028,1546,5068,1391,65,110,2162,1055,2936,817,934,527,30105
16,Idaho,697445,7476,224101,6717,114558,5935,174734,6576,18370,2298,74636,4704,88765,5052,1174,3546,831,1538,1070,2032,703,4126,1192,137,207,37741
17,Illinois,6202729,25682,2178477,19073,1012944,16200,1604937,18806,20072,2333,496934,10632,879025,21177,2962,20184,2601,616,506,7005,1226,20667,2496,139,231,248198
