GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD01_VD92,HD02_VD92,HD01_VD93,HD02_VD93,HD01_VD94,HD02_VD94,HD01_VD95,HD02_VD95,HD01_VD96,HD02_VD96,HD01_VD97,HD02_VD97,HD01_VD98,HD02_VD98,HD01_VD99,HD02_VD99,HD01_VD100,HD02_VD100,HD01_VD101,HD02_VD101,HD01_VD102,HD02_VD102,HD01_VD103,HD02_VD103,HD01_VD104,HD02_VD104,HD01_VD105,HD02_VD105,HD01_VD106
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Agriculture, forestry, fishing and hunting, and mining",Estimate; Construction,Margin of Error; Construction,Estimate; Manufacturing,Margin of Error; Manufacturing,Estimate; Wholesale trade,Margin of Error; Wholesale trade,Estimate; Retail trade,Margin of Error; Retail trade,"Estimate; Transportation and warehousing, and utilities","Margin of Error; Transportation and warehousing, and utilities",Estimate; Information,Margin of Error; Information,"Estimate; Finance and insurance, and real estate and rental and leasing","Margin of Error; Finance and insurance, and real estate and rental and leasing","Estimate; Professional, scientific, and management, and administrative and waste management services","Margin of Error; Professional, scientific, and management, and administrative and waste management services","Estimate; Educational services, and health care and social assistance","Margin of Error; Educational services, and health care and social assistance","Estimate; Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Arts, entertainment, and recreation, and accommodation and food services",Estimate; Other services (except public administration),Margin of Error; Other services (except public administration),Estimate; Public administration,Margin of Error; Public administration,Estimate; Armed forces,Estimate; Worked at home:,Margin of Error; Worked at home:,"Estimate; Worked at home: - Agriculture, forestry, fishing and hunting, and mining","Margin of Error; Worked at home: - Agriculture, forestry, fishing and hunting, and mining",Estimate; Worked at home: - Construction,Margin of Error; Worked at home: - Construction,Estimate; Worked at home: - Manufacturing,Margin of Error; Worked at home: - Manufacturing,Estimate; Worked at home: - Wholesale trade,Margin of Error; Worked at home: - Wholesale trade,Estimate; Worked at home: - Retail trade,Margin of Error; Worked at home: - Retail trade,"Estimate; Worked at home: - Transportation and warehousing, and utilities","Margin of Error; Worked at home: - Transportation and warehousing, and utilities",Estimate; Worked at home: - Information,Margin of Error; Worked at home: - Information,"Estimate; Worked at home: - Finance and insurance, and real estate and rental and leasing","Margin of Error; Worked at home: - Finance and insurance, and real estate and rental and leasing","Estimate; Worked at home: - Professional, scientific, and management, and administrative and waste management services","Margin of Error; Worked at home: - Professional, scientific, and management, and administrative and waste management services","Estimate; Worked at home: - Educational services, and health care and social assistance","Margin of Error; Worked at home: - Educational services, and health care and social assistance","Estimate; Worked at home: - Arts, entertainment, and recreation, and accommodation and food services","Margin of Error; Worked at home: - Arts, entertainment, and recreation, and accommodation and food services",Estimate; Worked at home: - Other services (except public administration),Margin of Error; Worked at home: - Other services (except public administration),Estimate; Worked at home: - Public administration,Margin of Error; Worked at home: - Public administration,Estimate; Worked at home: - Armed forces
01,Alabama,1902128,16556,33602,3959,144644,7179,298320,8903,73477,4993,242151,8873,99274,5823,33164,2857,116076,5320,144042,5615,376574,10442,138831,7076,92670,5203,98020,4782,11283,43419,3740,3021,886,4668,1203,3957,955,3093,998,3354,813,2052,808,822,404,4009,1160,8521,1632,4132,943,1756,621,3237,1031,641,410,156
02,Alaska,298923,5561,11674,1633,27962,2727,6706,1314,6506,1369,35853,3446,25569,2540,7983,1439,14047,1909,21386,2072,61518,3214,24414,2133,15286,1910,33093,3239,6926,12067,1657,552,361,738,371,439,307,167,177,638,315,522,288,326,248,1033,766,2285,727,2815,840,1265,555,1119,634,168,106,0
04,Arizona,2556544,15310,30008,3710,268276,9120,210128,8019,86464,6561,311062,10794,119006,5651,47819,3893,221687,9065,273013,10235,470132,11732,249130,10653,114357,6780,139948,6350,15514,104022,5974,1181,425,7042,1536,6349,1798,4887,1025,7163,1465,2847,1109,2714,745,16634,2525,27477,3068,13948,2334,6207,1303,6606,1706,967,494,0
05,Arkansas,1200858,12781,38510,2793,95878,5041,198045,7023,43034,3992,150697,6417,70963,4394,21640,2914,63064,3630,74975,4422,247570,7644,81726,5627,57667,3823,52457,3684,4632,31252,3349,5444,1300,3429,1175,1864,579,781,345,2473,668,2669,1797,538,403,2111,635,4239,1052,3543,849,1168,487,2674,667,319,216,0
06,California,15547355,39306,284936,11310,1221669,21125,1742372,29656,616403,18356,1738930,27798,700961,16428,462681,13624,1182908,19119,1839083,24581,2832395,26957,1349684,24743,797687,19600,701660,18074,75986,662513,13426,18242,2903,37444,4209,40457,3567,27550,2661,47415,4212,11955,2123,26348,2948,88500,5980,152511,7203,113302,5811,42936,3899,39856,4414,15841,3012,156
08,Colorado,2276165,12672,47331,4130,210867,7161,174141,6606,78359,4618,262060,8327,105040,6098,80271,4872,180378,6876,287800,9178,399092,10993,225146,10175,112387,6340,99852,5522,13441,137031,6572,6418,1001,10726,1827,7184,1257,6877,1714,10134,1542,2971,908,4777,1264,16485,2312,36450,3513,16546,2512,8364,2451,8197,1434,1773,771,129
09,Connecticut,1648283,15093,7441,1866,110774,6764,210786,7622,54065,4237,180297,7119,62819,4114,46020,3361,167623,7335,167886,6735,370599,7852,125861,5557,73785,4135,66005,4329,4322,54183,3413,669,368,4399,1494,3241,768,2735,640,3676,766,905,390,2801,1130,6811,1305,13078,1741,9008,1362,3273,822,3297,935,290,204,0
10,Delaware,405768,6661,5019,1449,33747,3223,45958,3149,12763,1652,45987,3614,16179,2173,6177,1021,48917,3630,40809,3503,82333,4564,27851,3129,18159,2202,19614,2204,2255,14552,2167,891,594,626,460,718,395,701,603,1432,656,627,526,410,244,2130,871,2618,730,2507,658,361,245,1402,607,129,141,0
11,District of Columbia,669068,13056,668,322,27031,3427,9536,1614,4474,1125,17446,2214,24355,2782,30694,2851,41993,3618,127930,5399,101672,6780,47066,4209,52573,3752,175225,7292,8405,11110,1973,45,74,103,122,177,174,138,138,350,219,199,242,726,505,1167,538,3943,1060,1583,663,1122,415,1162,507,395,260,0
