GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50
Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Management, professional, and related occupations","Margin of Error; Management, professional, and related occupations",Estimate; Service occupations,Margin of Error; Service occupations,Estimate; Sales and office occupations,Margin of Error; Sales and office occupations,"Estimate; Farming, fishing, and forestry occupations","Margin of Error; Farming, fishing, and forestry occupations","Estimate; Construction and extraction, and maintenance occupations","Margin of Error; Construction and extraction, and maintenance occupations","Estimate; Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Service occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations","Estimate; Taxicab, motorcycle, bicycle, or other means: - Armed forces","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Armed forces",Estimate; Worked at home:
01,Alabama,1902128,16556,576589,14882,282206,10491,492120,11513,12491,2329,210622,7540,323184,4599,1157,4092,1533,504,483,2509,763,7791,1730,69,65,43419
02,Alaska,298923,5561,103189,4447,45597,3188,73515,3689,3650,858,39264,3120,29780,1935,543,2330,837,1351,614,3649,768,2805,827,132,131,12067
04,Arizona,2556544,15310,834023,13191,436840,13416,693042,13489,13725,2614,306254,9393,265693,11895,2348,10507,2804,108,109,8139,2078,8737,1639,101,119,104022
05,Arkansas,1200858,12781,343234,9477,189915,7523,297711,9105,17150,1888,129385,5213,221974,3723,1108,2781,869,553,311,1726,701,5895,1292,0,268,31252
06,California,15547355,39306,5490199,37680,2504571,26810,4000043,35080,194032,9924,1503489,23459,1814472,70107,5470,54553,4727,9355,2246,37767,4547,45341,4205,2030,848,662513
08,Colorado,2276165,12672,859630,13432,353154,10209,587252,11549,12357,1952,243217,8403,212986,7870,1848,6651,1264,44,53,4128,1280,5554,1180,159,154,137031
09,Connecticut,1648283,15093,635726,10995,261787,9589,425516,9254,3320,828,146672,8695,173320,3957,1171,3658,1149,154,195,3097,1167,2859,922,46,81,54183
10,Delaware,405768,6661,151427,5446,59110,4836,105459,4836,2889,1077,43240,3111,42949,1303,684,857,619,201,322,584,400,833,745,0,268,14552
11,District of Columbia,669068,13056,394610,9231,89153,5913,124150,5659,515,381,32984,3620,23961,1616,707,1221,514,0,268,173,165,1268,704,0,268,11110
12,Florida,7674825,26995,2417446,23502,1366397,27520,2190062,26642,50994,6691,897447,20288,732735,39438,4385,23416,2839,3679,1949,26087,3660,22527,3202,811,377,279325
13,Georgia,4096689,20052,1365902,20059,601203,12972,1068931,19146,26948,3772,455082,11475,562070,14550,2314,8902,2077,1405,681,9145,1802,15540,2507,257,228,145988
15,Hawaii,585016,7207,186048,5492,122616,5179,155733,5364,3994,1105,58375,4214,47151,3919,1035,2661,1039,90,118,1096,453,2039,904,234,189,26676
16,Idaho,640463,8582,200286,6428,105550,5799,163774,5522,17571,1800,70701,4103,81091,2535,962,2528,1248,686,471,1274,558,2054,716,0,268,32339
17,Illinois,5777753,24231,1987769,19877,913597,18252,1526077,18223,18578,2633,489631,13999,837755,18774,2876,14803,1904,550,466,7123,1376,18174,2753,218,220,194830
18,Indiana,2794139,16998,817067,13103,445557,10818,693247,11923,13783,2220,271024,8365,551692,10336,1750,5248,1393,619,328,4503,1043,12557,1541,96,119,86567
19,Iowa,1470173,10519,463175,8264,223372,6356,374900,8104,15929,1754,138133,5395,253763,3799,1022,3704,1134,72,69,2557,919,7805,1513,46,62,63634
20,Kansas,1343607,10976,437621,8738,211277,6243,345461,8066,12714,1254,141028,5182,190491,5176,1638,3105,912,221,157,3155,903,4279,1066,0,268,52694
21,Kentucky,1770840,13867,520220,10769,274922,9788,444881,8716,13662,1999,190213,7939,317878,3639,972,2231,670,216,215,1440,534,5674,1245,327,274,49002
22,Louisiana,1870598,14803,559202,12568,338752,10752,492540,12339,12286,2140,225291,8100,232798,9305,1868,4846,1325,1059,503,6619,1730,8473,1677,526,476,42461
23,Maine,627734,6467,199112,5786,109786,5390,158742,4752,8644,1250,72456,3151,77466,1232,518,1413,612,472,432,555,350,1716,567,0,268,29303
24,Maryland,2454466,16186,974856,13764,372649,10348,642140,12032,6547,1428,234845,8178,213993,8578,1489,7209,1422,204,169,4175,1900,4806,1068,53,90,100492
25,Massachusetts,3105432,18785,1278705,18415,474336,14591,772047,16273,5270,1441,262076,9907,311006,6138,1742,8289,1726,204,245,3808,1473,4271,1136,0,268,102723
26,Michigan,4358915,19377,1406845,16479,718777,13265,1107767,14251,20909,1958,398739,10310,703943,10730,1814,7521,1244,555,288,5012,1058,10117,1325,61,104,136779
27,Minnesota,2618412,12539,953747,10999,400883,9026,668790,11546,16438,1383,232686,5744,344303,7617,1006,7341,1481,274,165,2346,629,8013,1343,0,268,121278
28,Mississippi,1143315,11454,320583,8657,194316,7633,276441,8268,12728,1897,120493,6292,213188,4126,1177,1529,620,480,340,2485,1040,6161,1755,536,444,22042
29,Missouri,2731050,15826,895911,13600,432172,10596,731047,12547,15660,2013,272498,7973,379523,6639,1535,5277,1709,418,451,3931,1130,9371,1476,240,188,97176
30,Montana,454500,5423,143471,5064,81414,3777,116192,4374,6900,1034,55356,3558,50220,2845,1186,2292,634,319,243,1495,734,1411,523,0,268,27148
31,Nebraska,904925,7809,301452,6211,139434,5623,230539,5683,13563,1528,81878,3831,135237,1547,496,1176,434,51,55,1417,594,5133,1102,0,268,39489
32,Nevada,1153028,11712,289704,9363,280175,9644,308260,8892,2305,758,156724,7231,113744,6054,1494,4923,1376,0,268,2584,1032,3526,1119,0,268,33901
33,New Hampshire,624571,8310,219350,7208,95092,4968,165005,6671,3067,919,62499,4290,79072,1977,663,992,498,0,268,919,562,1680,689,0,268,28213
34,New Jersey,3784016,26690,1391589,20533,595124,15026,1046638,14658,7229,1880,321857,10366,418187,14996,2199,12089,1879,1061,1081,9537,2098,10893,2334,122,182,120790
35,New Mexico,823107,10986,276967,8086,152203,5972,205863,8239,9459,1816,97190,5785,78113,3003,1157,2866,1299,631,537,1222,614,2275,1319,58,96,39637
36,New York,8693739,33267,3328073,33188,1513346,21286,2259794,29267,23150,2805,691400,15763,869407,34035,3652,34797,3776,718,403,11507,2414,21936,2572,430,394,291801
37,North Carolina,3907957,20742,1260690,15917,608609,13789,947720,14929,28506,3629,446885,11895,593754,15020,2855,7154,1646,1002,729,9133,2129,11732,2520,531,312,124086
38,North Dakota,345718,4469,114095,3777,56299,2999,84129,2907,5177,845,37305,2477,47267,1184,408,869,452,80,97,498,321,978,436,0,268,17244
39,Ohio,5195684,24512,1677168,18463,839787,13210,1333260,16750,16158,2213,444016,10096,880785,12612,1782,8272,1665,416,317,5394,1222,14510,1798,61,102,155538
40,Oklahoma,1538895,13673,474434,10800,265465,8391,398736,10430,13985,2005,171234,5897,208306,6593,1714,4112,1290,531,501,3094,1006,5203,1394,90,113,50613
41,Oregon,1716891,12393,567177,10726,271541,8721,445437,10176,30264,4197,168553,6984,232231,9368,1902,7069,1548,795,335,3533,1264,6992,1378,0,268,85768
42,Pennsylvania,5455635,25275,1863868,22224,864218,14475,1438007,16347,22883,2017,490154,10938,772316,11907,1594,10884,1681,911,348,6764,1751,14073,1939,62,102,171801
44,Rhode Island,471613,8269,175554,6680,78957,5265,119027,5051,714,413,39378,3221,56281,748,452,962,524,0,268,1173,637,1509,712,105,182,13924
45,South Carolina,1822503,17056,557604,11596,286760,10076,460545,11463,9572,1403,205472,7246,294742,8171,1525,5049,1267,653,452,3834,1285,4902,1524,641,403,44577
46,South Dakota,385189,5237,125456,4713,61559,3164,100577,4371,6559,1031,38632,2362,51588,925,451,845,449,45,39,345,173,928,374,0,268,23233
47,Tennessee,2704348,15751,803878,15844,415549,12977,704860,13919,11700,1864,286282,8963,477887,6670,1572,4927,1370,341,344,3518,1061,9959,1765,46,76,73541
48,Texas,9943499,32950,3259806,32118,1621573,25304,2578760,27011,51897,4428,1150687,24010,1240531,42542,3890,29205,3319,1417,706,32690,4626,33175,3569,793,459,331556
49,Utah,1150730,8983,368105,8578,164853,6212,337484,9259,5356,1110,120260,5948,152972,3241,1150,3829,882,56,91,2080,667,4776,1181,0,268,54103
50,Vermont,312278,4427,114515,3629,49293,2719,74210,3246,2992,798,33097,2614,37856,778,422,867,575,162,116,751,387,637,415,0,268,17384
51,Virginia,3533270,19125,1334643,15418,512488,13999,867418,14462,13021,1926,377949,9661,391345,9984,1827,6645,1348,614,423,7523,1845,7681,1614,1394,579,126001
53,Washington,2861021,18188,1025753,17224,458497,11567,719954,11710,47844,4084,264018,10075,327211,8401,1715,6961,1319,1435,643,4784,1052,8605,1578,768,447,132979
54,West Virginia,692130,9528,204692,7191,125179,6274,175409,6670,5432,1293,85036,3897,96124,2188,906,1611,808,116,188,961,510,1803,692,0,268,20722
55,Wisconsin,2663113,15298,853154,11292,407947,9798,660541,11659,24531,1734,234993,6416,480314,8415,1301,7838,1356,914,357,3918,815,11569,1385,150,126,104037
56,Wyoming,262992,4750,83600,4080,44244,2691,58574,3560,4350,1114,38365,2668,33083,1650,837,409,243,53,96,557,315,407,231,142,223,14634
72,Puerto Rico,1163976,13505,332554,8612,216889,7792,323270,8481,11065,1746,133040,4509,146465,9145,1688,6840,1255,539,371,8182,1477,4672,1016,0,268,20627
