GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57
Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - 16 to 19 years,Margin of Error; Total: - 16 to 19 years,Estimate; Total: - 20 to 24 years,Margin of Error; Total: - 20 to 24 years,Estimate; Total: - 25 to 44 years,Margin of Error; Total: - 25 to 44 years,Estimate; Total: - 45 to 54 years,Margin of Error; Total: - 45 to 54 years,Estimate; Total: - 55 to 59 years,Margin of Error; Total: - 55 to 59 years,Estimate; Total: - 60 to 64 years,Margin of Error; Total: - 60 to 64 years,Estimate; Total: - 65 years and over,Estimate; Total: - Worked at home:,Margin of Error; Total: - Worked at home:,Estimate; Total: - Worked at home: - 16 to 19 years,Margin of Error; Total: - Worked at home: - 16 to 19 years,Estimate; Total: - Worked at home: - 20 to 24 years,Margin of Error; Total: - Worked at home: - 20 to 24 years,Estimate; Total: - Worked at home: - 25 to 44 years,Margin of Error; Total: - Worked at home: - 25 to 44 years,Estimate; Total: - Worked at home: - 45 to 54 years,Margin of Error; Total: - Worked at home: - 45 to 54 years,Estimate; Total: - Worked at home: - 55 to 59 years,Margin of Error; Total: - Worked at home: - 55 to 59 years,Estimate; Total: - Worked at home: - 60 to 64 years,Margin of Error; Total: - Worked at home: - 60 to 64 years,Estimate; Total: - Worked at home: - 65 years and over
01,Alabama,1964105,15947,65102,4185,195768,6533,852098,11214,425704,7713,194128,6999,127427,5226,103878,63757,4204,991,571,4119,1022,26498,3265,11980,1765,6186,1121,6866,1372,7117
02,Alaska,371382,5372,13734,1379,46042,2593,163259,3319,70432,2490,36942,1970,25929,1933,15044,16095,2050,534,379,773,457,5396,1174,3153,807,2696,916,1839,588,1704
04,Arizona,2872284,18674,106945,5019,307621,6652,1265547,10908,607124,7455,256043,7660,186127,6364,142877,159681,5505,2529,809,6164,1316,55688,3628,40492,3071,20278,2654,16098,1925,18432
05,Arkansas,1249200,11927,47208,3623,127426,4833,542601,8792,265773,4875,117787,5455,78866,3879,69539,38370,2875,1021,464,1473,530,13913,2054,8839,1495,5622,1243,2982,785,4520
06,California,17630992,45581,445447,10241,1748032,15372,8080703,25965,3809275,18163,1607846,16178,1101651,12726,838038,970039,14583,14594,1926,42969,3595,350663,8820,248618,8508,114881,6176,93575,4727,104739
08,Colorado,2731235,18274,98118,4012,272081,6324,1237594,10279,561208,6082,248936,6149,183169,5890,130129,194904,7005,3199,919,8181,1655,76546,4600,47871,3098,23211,2308,17683,2011,18213
09,Connecticut,1741224,12778,62290,2994,161019,4778,670496,8386,402449,6310,195894,5893,140475,4992,108601,84879,4806,2422,550,3762,1015,25555,2869,23951,2397,11268,1545,8511,1435,9410
10,Delaware,440156,7251,14512,1587,41805,2124,181758,5490,99622,3554,45982,2710,31261,2397,25216,20878,2186,122,127,626,336,5649,1414,6419,1402,2991,812,2405,567,2666
11,District of Columbia,839206,12936,10433,1698,52887,3557,414465,8123,189621,6108,80057,3862,52136,3783,39607,21529,2463,934,417,1558,622,9715,1475,3915,1085,2115,928,1365,530,1927
12,Florida,8827805,36427,236082,9525,808383,11040,3771433,20506,2003144,12985,861020,14573,622424,10555,525319,493307,15108,7886,1713,17957,2845,166670,8664,130590,6458,55866,4063,52390,3490,61948
13,Georgia,4555994,22343,143798,6657,439575,10012,2062108,14746,1024026,11625,413803,9083,267364,6603,205320,231968,9335,5168,1108,12054,2257,87637,5939,61181,4964,28374,2699,17408,2152,20146
15,Hawaii,705741,7272,20069,1802,74285,3113,309125,4073,138647,2916,69754,3367,48100,2829,45761,32616,3184,1120,463,3315,1198,11594,1924,5635,1215,3671,938,3316,779,3965
16,Idaho,714037,9303,32587,2622,74229,3239,309012,5873,144892,5062,68766,3821,46408,3148,38143,45237,4045,1253,432,3030,957,15695,2421,10806,1799,4996,1152,3726,983,5731
17,Illinois,6082035,23448,201144,6123,577933,9967,2652883,16402,1335568,8975,606799,8184,410099,7918,297609,268434,8524,4465,1015,12613,1520,103298,5391,63656,3081,32436,2722,26206,3092,25760
18,Indiana,3012416,18350,129808,5349,322270,6934,1244548,10393,650648,7368,308287,7041,208693,6440,148162,109168,4985,3606,928,6380,1290,41637,3083,25148,2518,11611,1716,9432,1508,11354
19,Iowa,1574850,10000,79725,3626,164661,4938,630385,6881,330250,3835,158000,4372,122523,4013,89306,64248,3432,1903,538,3920,913,21328,2031,15098,1657,7798,926,7758,1132,6443
20,Kansas,1426252,11998,66330,3492,153215,4837,589407,7853,288578,4551,142231,4312,103755,3401,82736,59428,3100,1340,585,3914,1054,21601,2134,13439,1916,6261,1057,5771,822,7102
21,Kentucky,1929752,14847,77927,3724,213311,5319,823700,11176,409258,6603,183003,4863,127840,4628,94713,59739,4095,1189,491,2869,913,22634,2644,14611,1977,6680,1072,6502,1153,5254
22,Louisiana,2033248,16656,62510,4057,206300,5947,902880,11134,422886,7699,193339,5909,136291,5183,109042,56858,4390,241,228,2262,890,19109,2301,15700,2353,7512,1620,6527,1272,5507
23,Maine,621181,8105,24620,1667,57967,2192,228782,4643,143368,3568,70686,2763,52047,3194,43711,36488,3120,271,175,1581,647,10829,1671,8544,1259,5530,1174,4121,1007,5612
24,Maryland,2743587,19263,90960,4820,249810,6100,1169751,12441,614981,7733,272773,6557,191737,5354,153575,131975,6166,2601,741,5624,1044,45021,3130,36145,3399,15822,1875,11633,1590,15129
25,Massachusetts,3532276,17588,134153,4841,331778,6842,1444614,9902,786039,8273,361909,6202,262982,6664,210801,164032,6622,3397,684,8591,1471,55018,4031,41894,3035,19038,1806,15159,1663,20935
26,Michigan,4383993,17263,180342,4821,469410,5964,1777876,11480,996155,7712,456037,7852,299085,6340,205088,158838,6080,3579,905,6588,1352,56940,3687,39705,2844,19766,1902,14345,1523,17915
27,Minnesota,2876109,11512,126898,3766,281974,5047,1196232,7301,626583,5857,304532,5454,202513,4926,137377,157355,5052,7670,1125,12374,1639,52402,3062,35744,2337,18675,1783,14735,1479,15755
28,Mississippi,1141953,11389,35040,3083,119831,4813,508092,8919,238022,6301,108533,4458,72618,3978,59817,25115,2892,289,198,1042,460,10766,1946,4756,987,2266,750,2513,791,3483
29,Missouri,2886690,18643,119310,4524,294032,7694,1204072,10698,625108,8058,297583,6788,198394,6271,148191,136530,5876,5715,1178,9692,1607,51508,3808,29451,2885,15109,1939,11363,1588,13692
30,Montana,479416,7204,18147,1993,47891,3042,191475,3701,98542,2948,50301,2587,40978,2670,32082,29109,2309,706,383,1181,536,10818,1411,5804,972,3332,774,2751,600,4517
31,Nebraska,997028,7665,45467,2565,106335,2993,408146,5400,199530,3572,102415,3283,73999,2879,61136,38329,2511,1394,555,2614,700,13816,1650,7531,1141,4670,815,3731,710,4573
32,Nevada,1316032,11725,37308,2640,134021,4144,596381,8417,285031,5065,112921,4386,84045,4096,66325,48105,3466,572,343,1941,843,19080,2671,11371,1978,4396,955,5348,1155,5397
33,New Hampshire,648037,9330,31983,2572,61691,3142,234992,5975,149400,4227,77166,3595,53099,3181,39706,45424,3300,1793,719,1978,567,11958,1769,12401,1736,7387,1433,4926,1066,4981
34,New Jersey,3978088,24028,105738,4756,325998,6349,1625396,15959,951697,11337,436481,7765,293291,7282,239487,175053,6184,1575,655,5007,1255,62257,3948,50118,3552,21362,2100,16851,1816,17883
35,New Mexico,871327,12369,30997,3079,93444,4775,364092,6879,175056,4561,91321,4132,63956,4021,52461,42276,3309,922,680,1498,708,12539,1993,8770,1411,5397,1042,5985,1173,7165
36,New York,9667841,32948,234565,6535,844779,10562,4278633,20066,2161130,13311,972493,11632,661476,10284,514765,367645,11384,6642,1342,18874,2097,130869,5850,90192,4731,42241,3409,34632,3050,44195
37,North Carolina,4520809,21089,157239,5373,451577,9227,1968725,15170,992880,10502,429079,9279,299965,8206,221344,227544,8563,4405,985,10704,2042,88980,5513,57256,4300,26078,2558,17959,2269,22162
38,North Dakota,437559,5770,18239,1792,59031,2415,188753,3794,79099,2292,40487,2197,30349,2295,21601,18103,1810,632,405,1092,430,6349,1256,4475,892,1966,473,1949,533,1640
39,Ohio,5393979,20740,221929,6169,522284,7824,2217666,12678,1179241,10559,563333,9219,402241,8663,287285,200420,7634,5129,1115,9127,1461,73234,5070,49156,3577,24179,2379,18848,1944,20747
40,Oklahoma,1730466,11506,72280,3158,188405,4382,752648,7445,345109,4728,157553,4272,114646,3296,99825,65232,3392,3503,983,4337,943,23198,2393,14473,1590,6510,957,5897,916,7314
41,Oregon,1888562,14550,60896,3534,180867,5755,841472,9657,395621,6740,176053,6072,139566,4803,94087,116484,6214,2333,935,3443,948,44858,3499,26732,2771,11911,1814,12354,1797,14853
42,Pennsylvania,5911288,22804,220304,6459,533756,8044,2367097,13192,1323035,9157,657081,8425,457382,7597,352633,252050,7598,6929,1110,13762,1894,92056,4721,62981,3389,28866,2518,22600,2112,24856
