GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Private for-profit wage and salary workers:,Margin of Error; Private for-profit wage and salary workers:,Estimate; Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Private not-for-profit wage and salary workers,Margin of Error; Private not-for-profit wage and salary workers,Estimate; Local government workers,Margin of Error; Local government workers,Estimate; State government workers,Margin of Error; State government workers,Estimate; Federal government workers,Margin of Error; Federal government workers,Estimate; Self-employed in own not incorporated business workers,Margin of Error; Self-employed in own not incorporated business workers,Estimate; Unpaid family workers,Margin of Error; Unpaid family workers,"Estimate; Car, truck, or van - drove alone:","Margin of Error; Car, truck, or van - drove alone:","Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers:","Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers:","Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Employee of private company workers","Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Employee of private company workers","Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Estimate; Car, truck, or van - drove alone: - Private not-for-profit wage and salary workers","Margin of Error; Car, truck, or van - drove alone: - Private not-for-profit wage and salary workers","Estimate; Car, truck, or van - drove alone: - Local government workers","Margin of Error; Car, truck, or van - drove alone: - Local government workers","Estimate; Car, truck, or van - drove alone: - State government workers","Margin of Error; Car, truck, or van - drove alone: - State government workers","Estimate; Car, truck, or van - drove alone: - Federal government workers","Margin of Error; Car, truck, or van - drove alone: - Federal government workers","Estimate; Car, truck, or van - drove alone: - Self-employed in own not incorporated business workers","Margin of Error; Car, truck, or van - drove alone: - Self-employed in own not incorporated business workers","Estimate; Car, truck, or van - drove alone: - Unpaid family workers","Margin of Error; Car, truck, or van - drove alone: - Unpaid family workers","Estimate; Car, truck, or van - carpooled:","Margin of Error; Car, truck, or van - carpooled:","Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers:","Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers:","Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Employee of private company workers","Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Employee of private company workers","Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Estimate; Car, truck, or van - carpooled: - Private not-for-profit wage and salary workers","Margin of Error; Car, truck, or van - carpooled: - Private not-for-profit wage and salary workers","Estimate; Car, truck, or van - carpooled: - Local government workers","Margin of Error; Car, truck, or van - carpooled: - Local government workers","Estimate; Car, truck, or van - carpooled: - State government workers","Margin of Error; Car, truck, or van - carpooled: - State government workers","Estimate; Car, truck, or van - carpooled: - Federal government workers","Margin of Error; Car, truck, or van - carpooled: - Federal government workers","Estimate; Car, truck, or van - carpooled: - Self-employed in own not incorporated business workers","Margin of Error; Car, truck, or van - carpooled: - Self-employed in own not incorporated business workers","Estimate; Car, truck, or van - carpooled: - Unpaid family workers","Margin of Error; Car, truck, or van - carpooled: - Unpaid family workers",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers:,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers:,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Public transportation (excluding taxicab): - Private not-for-profit wage and salary workers,Margin of Error; Public transportation (excluding taxicab): - Private not-for-profit wage and salary workers,Estimate; Public transportation (excluding taxicab): - Local government workers,Margin of Error; Public transportation (excluding taxicab): - Local government workers,Estimate; Public transportation (excluding taxicab): - State government workers,Margin of Error; Public transportation (excluding taxicab): - State government workers,Estimate; Public transportation (excluding taxicab): - Federal government workers,Margin of Error; Public transportation (excluding taxicab): - Federal government workers,Estimate; Public transportation (excluding taxicab): - Self-employed in own not incorporated business workers,Margin of Error; Public transportation (excluding taxicab): - Self-employed in own not incorporated business workers,Estimate; Public transportation (excluding taxicab): - Unpaid family workers,Margin of Error; Public transportation (excluding taxicab): - Unpaid family workers,Estimate; Walked:,Margin of Error; Walked:,Estimate; Walked: - Private for-profit wage and salary workers:,Margin of Error; Walked: - Private for-profit wage and salary workers:,Estimate; Walked: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Walked: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Walked: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Walked: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Walked: - Private not-for-profit wage and salary workers,Margin of Error; Walked: - Private not-for-profit wage and salary workers,Estimate; Walked: - Local government workers,Margin of Error; Walked: - Local government workers,Estimate; Walked: - State government workers,Margin of Error; Walked: - State government workers,Estimate; Walked: - Federal government workers,Margin of Error; Walked: - Federal government workers,Estimate; Walked: - Self-employed in own not incorporated business workers,Margin of Error; Walked: - Self-employed in own not incorporated business workers,Estimate; Walked: - Unpaid family workers,Margin of Error; Walked: - Unpaid family workers,"Estimate; Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Taxicab, motorcycle, bicycle, or other means:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers:","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Employee of private company workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Employee of private company workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private not-for-profit wage and salary workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private not-for-profit wage and salary workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Local government workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Local government workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - State government workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - State government workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Federal government workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Federal government workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Self-employed in own not incorporated business workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Self-employed in own not incorporated business workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Unpaid family workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Unpaid family workers",Estimate; Worked at home:,Margin of Error; Worked at home:,Estimate; Worked at home: - Private for-profit wage and salary workers:,Margin of Error; Worked at home: - Private for-profit wage and salary workers:,Estimate; Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Worked at home: - Private not-for-profit wage and salary workers,Margin of Error; Worked at home: - Private not-for-profit wage and salary workers,Estimate; Worked at home: - Local government workers,Margin of Error; Worked at home: - Local government workers,Estimate; Worked at home: - State government workers,Margin of Error; Worked at home: - State government workers,Estimate; Worked at home: - Federal government workers,Margin of Error; Worked at home: - Federal government workers,Estimate; Worked at home: - Self-employed in own not incorporated business workers,Margin of Error; Worked at home: - Self-employed in own not incorporated business workers,Estimate; Worked at home: - Unpaid family workers,Margin of Error; Worked at home: - Unpaid family workers
0400000US01,01,Alabama,1943541,17358,1386864,15809,1321196,15918,65668,3832,116380,5886,134561,5740,107874,4947,72907,4633,120765,5552,4190,973,1619932,16366,1172179,15082,1121537,14953,50642,3505,98896,5377,115344,5662,92255,4447,61617,4254,78269,4180,1372,435,218550,8671,157681,7885,150455,7984,7226,1337,11660,1388,13955,1696,10044,1597,5694,1266,17863,2103,1653,555,7896,1556,3943,1242,3869,1249,74,119,776,416,1431,583,1062,573,344,326,340,323,0,267,25741,2887,12991,2411,11669,2358,1322,711,2063,684,1336,532,1982,661,3517,876,3852,1001,0,267,20877,2596,14320,2020,14041,2041,279,165,599,364,1932,760,1029,565,1117,523,1694,524,186,279,50545,3217,25750,2429,19625,2246,6125,1089,2386,676,563,322,1502,623,618,329,18747,2001,979,446
0400000US02,02,Alaska,335039,5319,186057,5988,177453,5955,8604,1622,29756,2816,26767,2345,27287,2240,38396,2812,25321,2671,1455,594,219908,5959,124555,4758,118711,4677,5844,1347,19496,2236,16971,1992,17195,1997,27821,2468,13408,1880,462,349,44627,4014,23729,2806,22989,2854,740,483,5696,1264,3959,859,4319,1093,3655,865,3058,1056,211,183,4862,1054,3909,990,3909,990,0,267,345,268,136,177,194,162,138,114,140,126,0,267,28404,2291,16147,1783,15613,1793,534,294,1895,479,3891,736,3103,849,1979,672,1152,464,237,244,17629,2199,10902,1759,10689,1722,213,245,1407,467,1609,446,1891,549,1051,464,689,287,80,102,19609,2190,6815,1330,5542,1260,1273,480,917,420,201,195,585,518,3752,472,6874,1362,465,272
0400000US04,04,Arizona,2753513,16653,2024990,20637,1912214,20857,112776,5590,147995,6615,201141,8182,115257,5598,89598,5282,170024,7044,4508,1179,2060864,19396,1533317,19624,1458674,19841,74643,4410,116774,6001,160161,7242,84915,4713,70090,4532,93599,4999,2008,770,371571,12327,280764,10781,270813,10871,9951,2250,18179,2224,26507,2591,16379,2126,9781,1631,19345,2905,616,445,58941,5349,45529,4613,45221,4576,308,300,3135,1136,4065,1133,3195,1050,1740,1246,1277,576,0,267,61645,4611,44370,4174,43196,4146,1174,556,3193,1127,3789,864,4187,1153,3119,752,2944,910,43,71,65926,4560,47479,4484,46052,4381,1427,621,2257,710,4019,1012,4325,1274,3157,937,4310,1614,379,420,134566,7156,73531,5775,48258,3878,25273,3429,4457,1179,2600,946,2256,833,1711,471,48549,3107,1462,594
0400000US05,05,Arkansas,1215761,12042,851811,12705,803539,12980,48272,3484,79531,4421,78047,4455,82273,4499,32884,2949,88143,5306,3072,829,981514,13162,697780,12578,661946,12882,35834,2693,64995,3812,65176,4006,68228,4036,28807,3075,55106,4055,1422,475,149301,6882,107955,6479,103020,6591,4935,1165,8181,1630,9714,1626,9594,1645,2977,752,10435,2065,445,286,5978,1387,3353,961,3353,961,0,267,1006,598,793,396,399,331,116,102,311,364,0,267,19499,2094,10919,1668,10131,1605,788,492,2421,725,1042,457,1664,524,351,227,2718,837,384,342,17231,2298,12796,2006,12347,2010,449,370,1055,601,795,430,607,461,397,246,1581,606,0,267,42238,3410,19008,2502,12742,1826,6266,1499,1873,613,527,320,1781,800,236,311,17992,2044,821,346
0400000US06,06,California,16419565,42800,11594307,46096,11060228,42979,534079,12093,951300,16296,1329714,20149,602151,12330,465732,10429,1440836,20454,35525,3384,12015759,47558,8636655,44786,8272665,44868,363990,9214,697658,13797,1082640,17819,429169,11753,330636,9162,824967,14665,14034,1826,1946944,27340,1432063,25124,1379466,25257,52597,4120,101895,5105,130457,6616,64752,4020,55055,4305,154201,7620,8521,1985,840521,18991,632178,15502,626666,15465,5512,1200,56989,4341,45748,3826,40952,3487,20925,2528,43230,4258,499,394,461140,13649,297179,12101,285575,11953,11604,1798,43953,4063,27322,2980,23868,3136,25897,2135,41644,3765,1277,735,367858,12012,262713,10196,255075,10085,7638,1419,24027,2733,18592,2569,20091,1943,12069,1837,29511,3075,855,586,787343,14812,333519,8964,240781,7811,92738,4880,26778,2359,24955,2469,23319,2492,21150,1805,347283,12337,10339,1635
0400000US08,08,Colorado,2435073,13940,1730757,14631,1600468,14748,130289,6963,164042,6454,171354,5844,90717,5337,92644,4835,178983,7183,6576,1245,1817372,14380,1316178,15013,1233858,15010,82320,4667,121962,5800,141573,5088,64915,3931,70047,4131,99160,5074,3537,1026,257325,9888,186628,7854,174527,7564,12101,1971,21760,2782,15176,1780,8841,1567,8149,1371,16074,2187,697,464,82218,6419,60654,5252,59933,5215,721,386,5453,1536,3752,1158,6034,1597,4364,1166,1875,923,86,141,77077,4627,46955,3729,43195,3836,3760,1063,6971,1157,4941,1245,5031,1142,7192,511,5823,1185,164,122,54540,4380,37588,3823,34728,3479,2860,1104,2752,825,3888,1143,3614,1214,2062,623,4385,1384,251,255,146541,6072,82754,5470,54227,4034,28527,3574,5144,973,2024,624,2282,534,830,342,51666,4096,1841,553
0400000US09,09,Connecticut,1709091,12320,1213420,13297,1150946,13924,62474,3561,155377,6902,122511,5259,68058,4194,29935,2103,116979,5593,2811,795,1379664,12571,987972,12861,942765,13136,45207,2869,123353,6050,111209,5089,57057,3793,22795,1802,75499,4566,1779,641,136268,7251,101288,5681,96462,5658,4826,1003,11107,1899,7397,1396,4010,1000,2008,750,10140,1679,318,263,53206,4277,43645,3832,43090,3844,555,329,5056,1143,941,392,1586,692,843,424,907,467,228,257,51644,4243,28342,3136,27096,2933,1246,611,10087,1525,1340,593,3905,871,3388,439,4491,1880,91,154,23218,2888,16557,2519,16272,2533,285,231,2864,953,520,294,601,484,390,354,2123,999,163,154,65091,3752,35616,2783,25261,2036,10355,1621,2910,779,1104,589,899,357,511,321,23819,2214,232,173
0400000US10,10,Delaware,413937,8689,303594,7959,287795,7899,15799,2221,35078,2720,15397,1644,28609,2587,10822,1810,19572,1810,865,472,332193,8821,247138,7853,236077,7698,11061,1779,27251,2477,12936,1759,22778,2549,9319,1744,12469,1534,302,214,44033,3766,32587,3478,30801,3425,1786,559,4322,1219,1072,416,3245,788,921,524,1804,549,82,112,9156,1670,7143,1375,7075,1363,68,118,790,412,128,154,704,489,172,170,219,209,0,267,10434,1793,5956,1375,5667,1356,289,168,1554,751,661,393,1220,438,179,129,843,397,21,35,5279,1251,3618,1065,3216,948,402,392,251,290,484,404,189,154,179,217,499,392,59,102,12842,1913,7152,1317,4959,1135,2193,846,910,518,116,138,473,240,52,84,3738,879,401,376
0400000US11,11,District of Columbia,717403,11693,312946,8981,296438,8809,16508,2162,108351,4807,32316,3233,12058,1973,224585,8253,26817,2273,330,248,319928,9204,149529,6427,140827,6184,8702,1563,42698,3206,21774,2695,6408,1471,85975,4583,13499,1473,45,76,76172,4854,30247,3491,28312,3382,1935,804,11029,1559,2355,781,680,469,29207,2412,2512,765,142,168,258815,8437,104493,5940,102206,5969,2287,802,43241,3313,7056,1400,3781,991,96111,5211,3990,1094,143,141,33290,3143,16749,2090,15678,2033,1071,482,7722,1410,1015,425,490,306,6225,1658,1089,460,0,267,14590,1839,6282,1171,5907,1184,375,288,2413,765,116,103,402,335,4543,963,834,465,0,267,14608,2387,5646,1407,3508,1128,2138,737,1248,658,0,267,297,236,2524,1238,4893,1148,0,267
