GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,"Estimate; Median age -- - Total: - Car, truck, or van - drove alone","Margin of Error; Median age -- - Total: - Car, truck, or van - drove alone","Estimate; Median age -- - Total: - Car, truck, or van - carpooled","Margin of Error; Median age -- - Total: - Car, truck, or van - carpooled",Estimate; Median age -- - Total: - Public transportation (excluding taxicab),Margin of Error; Median age -- - Total: - Public transportation (excluding taxicab),Estimate; Median age -- - Total: - Walked,Margin of Error; Median age -- - Total: - Walked,"Estimate; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means","Margin of Error; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means",Estimate; Median age -- - Total: - Worked at home,Margin of Error; Median age -- - Total: - Worked at home
0400000US01,01,Alabama,42.3,0.2,42.7,0.3,39.2,0.8,37.4,6.2,34.8,4.3,40.7,5.2,47.8,1.2
0400000US02,02,Alaska,41.1,0.5,41.2,0.7,38.8,2.3,34.0,5.9,41.5,2.5,42.0,2.5,46.5,3.7
0400000US04,04,Arizona,41.1,0.2,41.3,0.3,38.8,0.9,35.7,3.4,34.9,3.3,39.3,1.8,48.0,1.1
0400000US05,05,Arkansas,41.7,0.3,42.1,0.4,38.5,1.0,36.5,8.3,31.5,2.8,39.4,3.9,46.5,2.2
0400000US06,06,California,41.2,0.1,41.6,0.2,39.4,0.4,37.8,0.5,34.6,0.7,36.2,0.7,47.7,0.3
0400000US08,08,Colorado,41.4,0.2,41.8,0.3,37.3,1.0,35.8,1.1,31.0,1.7,35.7,1.4,48.8,0.8
0400000US09,09,Connecticut,44.3,0.2,45.2,0.3,39.4,1.6,36.9,1.6,30.0,1.8,39.9,1.4,49.5,0.7
0400000US10,10,Delaware,43.1,0.5,44.0,0.6,37.4,2.2,40.2,1.7,41.1,5.6,31.6,6.0,47.8,2.4
0400000US11,11,District of Columbia,42.3,0.4,44.7,0.6,43.4,1.7,40.4,0.8,31.9,1.3,40.1,2.0,43.1,4.1
0400000US12,12,Florida,43.1,0.1,43.5,0.1,40.0,0.8,39.2,1.6,35.4,2.4,38.7,2.1,48.1,0.6
0400000US13,13,Georgia,41.4,0.2,41.9,0.2,38.4,0.6,38.3,2.2,30.7,2.3,36.8,2.2,45.3,1.0
0400000US15,15,Hawaii,42.5,0.3,42.8,0.5,42.1,1.2,44.3,2.0,34.9,2.8,39.0,4.7,47.1,2.3
0400000US16,16,Idaho,41.4,0.4,41.5,0.5,39.1,1.5,43.4,8.7,34.4,4.9,34.3,3.8,49.0,1.5
0400000US17,17,Illinois,42.0,0.1,42.8,0.2,39.8,0.6,37.3,0.5,31.6,1.0,38.7,1.5,47.3,0.7
0400000US18,18,Indiana,42.4,0.2,42.9,0.2,39.3,0.7,35.9,3.9,30.0,2.5,38.2,3.1,48.3,0.8
0400000US19,19,Iowa,42.4,0.2,42.8,0.3,39.2,1.0,28.9,2.1,31.9,2.8,40.0,3.1,47.9,1.0
0400000US20,20,Kansas,42.3,0.3,42.4,0.4,40.0,1.0,41.2,9.4,33.5,3.0,42.3,4.6,49.0,1.0
0400000US21,21,Kentucky,41.9,0.3,42.3,0.3,38.7,0.9,38.2,3.1,31.2,3.3,35.0,4.0,49.6,1.4
