GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,"Estimate; Median age -- - Total: - Car, truck, or van - drove alone","Margin of Error; Median age -- - Total: - Car, truck, or van - drove alone","Estimate; Median age -- - Total: - Car, truck, or van - carpooled","Margin of Error; Median age -- - Total: - Car, truck, or van - carpooled",Estimate; Median age -- - Total: - Public transportation (excluding taxicab),Margin of Error; Median age -- - Total: - Public transportation (excluding taxicab),Estimate; Median age -- - Total: - Walked,Margin of Error; Median age -- - Total: - Walked,"Estimate; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means","Margin of Error; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means",Estimate; Median age -- - Total: - Worked at home,Margin of Error; Median age -- - Total: - Worked at home
0400000US01,01,Alabama,42.2,0.3,42.6,0.3,37.7,0.9,40.8,2.0,31.7,4.6,38.9,3.2,48.0,1.8
0400000US02,02,Alaska,42.2,0.5,42.5,0.7,39.6,1.2,41.4,6.8,41.4,2.8,41.8,2.4,48.6,3.2
0400000US04,04,Arizona,41.0,0.2,41.2,0.3,37.5,0.7,35.2,2.0,34.9,3.2,39.0,1.7,48.5,0.8
0400000US05,05,Arkansas,41.9,0.3,42.6,0.4,37.4,1.1,36.6,3.4,36.1,5.4,36.8,2.9,48.4,1.4
0400000US06,06,California,41.0,0.2,41.5,0.2,38.9,0.3,37.6,0.4,34.9,0.8,36.6,0.5,47.1,0.4
0400000US08,08,Colorado,41.3,0.2,41.8,0.3,37.9,0.9,36.8,2.1,30.2,1.0,37.2,1.3,46.7,0.8
0400000US09,09,Connecticut,44.1,0.2,44.9,0.2,40.0,0.8,37.8,3.3,28.4,2.6,33.6,4.1,49.2,1.2
0400000US10,10,Delaware,43.2,0.4,43.6,0.5,40.1,1.6,39.3,2.7,38.4,4.8,39.7,6.8,47.9,1.1
0400000US11,11,District of Columbia,41.8,0.3,44.0,0.6,43.0,1.7,39.7,0.6,31.3,1.3,38.8,3.8,47.3,2.9
0400000US12,12,Florida,43.0,0.1,43.4,0.2,39.0,0.5,38.1,1.6,37.2,1.8,38.6,0.9,47.6,0.5
0400000US13,13,Georgia,41.4,0.2,41.9,0.2,37.8,0.6,38.1,1.4,31.5,2.5,38.8,1.8,44.5,0.9
0400000US15,15,Hawaii,42.9,0.3,43.1,0.6,42.1,1.5,45.8,2.2,36.3,3.5,35.9,3.4,48.6,4.0
0400000US16,16,Idaho,40.9,0.3,41.1,0.4,39.4,1.4,45.9,4.6,34.8,6.4,37.2,3.6,44.0,1.8
0400000US17,17,Illinois,41.9,0.2,42.6,0.2,39.5,0.5,37.7,0.6,33.1,0.9,39.8,1.1,46.0,0.6
0400000US18,18,Indiana,42.3,0.2,42.8,0.2,38.7,0.8,34.0,4.4,29.9,2.0,41.1,2.4,46.3,0.9
0400000US19,19,Iowa,42.5,0.3,43.2,0.3,38.9,1.0,32.0,4.7,32.9,2.0,38.0,2.6,47.4,0.9
0400000US20,20,Kansas,42.0,0.3,42.4,0.3,38.4,0.9,35.9,10.2,34.7,3.3,39.8,4.0,47.5,1.1
0400000US21,21,Kentucky,41.5,0.2,41.9,0.3,38.8,0.8,38.6,3.3,34.1,3.2,42.4,4.9,42.5,2.1
0400000US22,22,Louisiana,41.4,0.2,42.1,0.3,37.0,0.9,35.6,2.3,36.2,3.4,38.2,1.4,49.3,1.6
0400000US23,23,Maine,44.7,0.2,45.0,0.3,41.6,1.3,43.2,8.8,32.8,4.8,39.3,4.1,49.3,1.4
0400000US24,24,Maryland,42.8,0.2,43.4,0.3,38.9,1.0,36.7,1.3,30.4,1.4,39.5,2.7,47.7,1.0
0400000US25,25,Massachusetts,43.1,0.2,44.5,0.2,40.4,0.7,36.0,0.7,30.2,0.9,35.1,2.0,46.5,0.9
0400000US26,26,Michigan,42.7,0.1,43.1,0.2,39.3,0.7,33.8,2.9,30.6,1.9,39.4,2.8,48.2,0.7
0400000US27,27,Minnesota,42.3,0.2,42.6,0.2,40.0,0.8,36.0,1.5,34.1,1.9,42.4,2.5,46.8,0.7
0400000US28,28,Mississippi,41.8,0.3,42.1,0.3,39.0,1.0,39.4,8.2,33.6,4.9,43.2,3.3,48.3,1.8
0400000US29,29,Missouri,42.1,0.2,42.6,0.2,39.3,0.7,38.2,1.9,30.5,1.5,38.3,2.8,45.9,1.1
