GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD37,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD02_VD37,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means:"
HD01_VD38,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Management, business, science, and arts occupations"
HD02_VD38,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Management, business, science, and arts occupations"
HD01_VD39,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Service occupations"
HD02_VD39,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Service occupations"
HD01_VD40,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations"
HD02_VD40,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations"
HD01_VD41,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Natural resources, construction, and maintenance occupations"
HD02_VD41,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Natural resources, construction, and maintenance occupations"
HD01_VD42,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations"
HD02_VD42,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations"
HD01_VD43,"Estimate; Total: - Taxicab, motorcycle, bicycle, or other means: - Military specific occupations"
HD02_VD43,"Margin of Error; Total: - Taxicab, motorcycle, bicycle, or other means: - Military specific occupations"
HD01_VD44,Estimate; Total: - Worked at home:
HD02_VD44,Margin of Error; Total: - Worked at home:
HD01_VD45,"Estimate; Total: - Worked at home: - Management, business, science, and arts occupations"
HD02_VD45,"Margin of Error; Total: - Worked at home: - Management, business, science, and arts occupations"
HD01_VD46,Estimate; Total: - Worked at home: - Service occupations
HD02_VD46,Margin of Error; Total: - Worked at home: - Service occupations
HD01_VD47,Estimate; Total: - Worked at home: - Sales and office occupations
HD02_VD47,Margin of Error; Total: - Worked at home: - Sales and office occupations
HD01_VD48,"Estimate; Total: - Worked at home: - Natural resources, construction, and maintenance occupations"
HD02_VD48,"Margin of Error; Total: - Worked at home: - Natural resources, construction, and maintenance occupations"
HD01_VD49,"Estimate; Total: - Worked at home: - Production, transportation, and material moving occupations"
HD02_VD49,"Margin of Error; Total: - Worked at home: - Production, transportation, and material moving occupations"
HD01_VD50,Estimate; Total: - Worked at home: - Military specific occupations
HD02_VD50,Margin of Error; Total: - Worked at home: - Military specific occupations
