GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Car, truck, or van:","Margin of Error; Car, truck, or van:",Estimate; Drove alone,Margin of Error; Drove alone,Estimate; Carpooled:,Margin of Error; Carpooled:,Estimate; Carpooled: - In 2-person carpool,Margin of Error; Carpooled: - In 2-person carpool,Estimate; Carpooled: - In 3-person carpool,Margin of Error; Carpooled: - In 3-person carpool,Estimate; Carpooled: - In 4-or-more-person carpool,Margin of Error; Carpooled: - In 4-or-more-person carpool,Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Public transportation (excluding taxicab): - Subway or elevated,Estimate; Public transportation (excluding taxicab): - Railroad,Margin of Error; Public transportation (excluding taxicab): - Railroad,Estimate; Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Public transportation (excluding taxicab): - Ferryboat,Estimate; Bicycle,Margin of Error; Bicycle,Estimate; Walked,Margin of Error; Walked,"Estimate; Taxicab, motorcycle, or other means","Margin of Error; Taxicab, motorcycle, or other means",Estimate; Worked at home,Margin of Error; Worked at home,Estimate; Male:,Margin of Error; Male:,"Estimate; Male: - Car, truck, or van:","Margin of Error; Male: - Car, truck, or van:","Estimate; Male: - Car, truck, or van: - Drove alone","Margin of Error; Male: - Car, truck, or van: - Drove alone","Estimate; Male: - Car, truck, or van: - Carpooled:","Margin of Error; Male: - Car, truck, or van: - Carpooled:","Estimate; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Male: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Male: - Public transportation (excluding taxicab):,Margin of Error; Male: - Public transportation (excluding taxicab):,Estimate; Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Male: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Male: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Male: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Male: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Male: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Male: - Public transportation (excluding taxicab): - Railroad,Estimate; Male: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Male: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Male: - Bicycle,Margin of Error; Male: - Bicycle,Estimate; Male: - Walked,Margin of Error; Male: - Walked,"Estimate; Male: - Taxicab, motorcycle, or other means","Margin of Error; Male: - Taxicab, motorcycle, or other means",Estimate; Male: - Worked at home,Margin of Error; Male: - Worked at home,Estimate; Female:,Margin of Error; Female:,"Estimate; Female: - Car, truck, or van:","Margin of Error; Female: - Car, truck, or van:","Estimate; Female: - Car, truck, or van: - Drove alone","Margin of Error; Female: - Car, truck, or van: - Drove alone","Estimate; Female: - Car, truck, or van: - Carpooled:","Margin of Error; Female: - Car, truck, or van: - Carpooled:","Estimate; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 2-person carpool","Estimate; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 3-person carpool","Estimate; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool","Margin of Error; Female: - Car, truck, or van: - Carpooled: - In 4-or-more-person carpool",Estimate; Female: - Public transportation (excluding taxicab):,Margin of Error; Female: - Public transportation (excluding taxicab):,Estimate; Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Margin of Error; Female: - Public transportation (excluding taxicab): - Bus or trolley bus,Estimate; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Margin of Error; Female: - Public transportation (excluding taxicab): - Streetcar or trolley car (carro publico in Puerto Rico),Estimate; Female: - Public transportation (excluding taxicab): - Subway or elevated,Margin of Error; Female: - Public transportation (excluding taxicab): - Subway or elevated,Estimate; Female: - Public transportation (excluding taxicab): - Railroad,Margin of Error; Female: - Public transportation (excluding taxicab): - Railroad,Estimate; Female: - Public transportation (excluding taxicab): - Ferryboat,Margin of Error; Female: - Public transportation (excluding taxicab): - Ferryboat,Estimate; Female: - Bicycle,Margin of Error; Female: - Bicycle,Estimate; Female: - Walked,Margin of Error; Female: - Walked,"Estimate; Female: - Taxicab, motorcycle, or other means","Margin of Error; Female: - Taxicab, motorcycle, or other means",Estimate; Female: - Worked at home,Margin of Error; Female: - Worked at home
0400000US01,01,Alabama,1919778,14797,1818878,14740,1621511,16572,197367,6981,149425,6651,30017,3112,17925,2278,8172,1778,7979,1742,45,76,90,146,0,271,58,95,2337,817,25155,2368,16810,2334,48426,3670,1012763,11229,957483,11609,849211,12129,108272,4896,80343,4376,16334,2205,11595,1880,3490,1073,3387,1063,45,76,0,271,0,271,58,95,1778,816,13765,1864,11580,2035,24667,2830,907015,11554,861395,11137,772300,11115,89095,4846,69082,4469,13683,1958,6330,1221,4682,1264,4592,1226,0,271,90,146,0,271,0,271,559,314,11390,1856,5230,1305,23759,2051
0400000US02,02,Alaska,342551,6394,275208,6304,230130,6492,45078,3523,35960,3399,5656,1243,3462,976,4707,1325,4428,1331,0,271,0,271,0,271,279,212,2689,937,28020,2370,16529,2006,15398,2206,187314,4309,145252,4051,121383,3909,23869,2355,18414,2065,3262,977,2193,682,2736,952,2577,952,0,271,0,271,0,271,159,138,2106,775,16847,1767,11852,1735,8521,1678,155237,4029,129956,4045,108747,3915,21209,2278,17546,2237,2394,658,1269,569,1971,691,1851,696,0,271,0,271,0,271,120,128,583,365,11173,1349,4677,1054,6877,1244
0400000US04,04,Arizona,2729757,21363,2394309,19879,2070957,22259,323352,13342,253494,11805,40417,4646,29441,4221,55861,4907,53120,4833,595,326,554,333,1592,1020,0,271,25351,3236,65173,7222,47001,5041,142062,7340,1479629,15301,1289019,14353,1108266,14258,180753,8687,140834,7808,23375,3098,16544,2745,29902,4059,27690,3955,442,302,359,338,1411,1004,0,271,19225,2755,38835,5613,31351,3700,71297,4527,1250128,13443,1105290,12928,962691,14150,142599,6722,112660,5982,17042,2587,12897,2564,25959,3039,25430,2978,153,144,195,183,181,290,0,271,6126,1524,26338,3568,15650,2810,70765,4402
0400000US05,05,Arkansas,1224374,14588,1136146,14640,991971,14852,144175,7103,111930,5795,20726,3067,11519,2036,5105,1496,4858,1477,0,271,0,271,0,271,247,296,1516,701,22228,3276,16971,2415,42408,3585,651487,9764,601568,9895,521793,10543,79775,4974,62290,4417,10605,1848,6880,1469,2542,965,2295,892,0,271,0,271,0,271,247,296,1099,657,13870,2308,11315,1930,21093,2911,572887,8993,534578,9063,470178,9287,64400,4280,49640,3660,10121,1859,4639,1271,2563,1092,2563,1092,0,271,0,271,0,271,0,271,417,302,8358,1585,5656,1504,21315,2140
0400000US06,06,California,16139699,40928,13653514,44960,11783251,46402,1870263,25078,1411575,25060,264910,10993,193778,9898,838055,18386,624224,15711,22431,3121,130797,7044,54839,3867,5764,1109,158046,8346,446576,11846,211362,9291,832146,16574,8858092,32711,7511463,35982,6474852,37412,1036611,16922,765285,14738,152093,8977,119233,7436,432219,11511,309860,10110,14204,2624,70299,4613,34444,2845,3412,795,117175,7391,236790,9413,143368,7875,417077,12983,7281607,27320,6142051,26981,5308399,30108,833652,15316,646290,16208,112817,5531,74545,5098,405836,12218,314364,10768,8227,1556,60498,4293,20395,2365,2352,713,40871,3550,209786,7207,67994,4081,415069,10266
0400000US08,08,Colorado,2453377,15718,2073254,16132,1826923,16239,246331,9296,193821,8656,31968,3520,20542,2784,81687,4896,70807,4428,1547,711,5855,1393,3284,841,194,192,34565,4640,72303,4895,25475,2765,166093,6611,1326511,11605,1116796,12321,979865,12242,136931,6909,105026,6674,18976,3258,12929,1958,41960,3560,35922,3383,745,480,3215,1057,1985,674,93,107,24188,3952,39490,3132,17338,2254,86739,4421,1126866,10187,956458,10140,847058,10431,109400,5235,88795,4326,12992,1505,7613,1660,39727,3183,34885,2803,802,510,2640,916,1299,551,101,161,10377,1843,32813,3028,8137,1439,79354,4272
0400000US09,09,Connecticut,1694719,12924,1501909,12995,1356814,14404,145095,7150,115322,6487,15421,2161,14352,2312,54408,4545,41338,3922,304,259,1659,800,11002,1865,105,178,5068,1233,49594,4461,13846,2156,69894,4619,872045,9353,773813,9983,697873,10823,75940,5238,57326,4602,8947,1696,9667,1999,25353,2940,17354,2441,304,259,1095,711,6495,1361,105,178,3984,1043,25824,2621,7055,1403,36016,3365,822674,9061,728096,9045,658941,9673,69155,3913,57996,3677,6474,1208,4685,953,29055,3311,23984,2932,0,271,564,378,4507,1182,0,271,1084,535,23770,2920,6791,1581,33878,2564
0400000US10,10,Delaware,416661,8712,374798,8269,337594,8077,37204,4139,27665,3542,4975,1295,4564,2080,13826,2495,13442,2442,0,271,0,271,384,311,0,271,1168,543,9395,1662,4040,1109,13434,1820,209835,5474,188689,4949,169363,4929,19326,2685,14033,2383,2354,867,2939,1823,6793,1784,6599,1770,0,271,0,271,194,221,0,271,946,523,5046,1165,2094,673,6267,1188,206826,5285,186109,5442,168231,5126,17878,2509,13632,2135,2621,954,1625,766,7033,1475,6843,1427,0,271,0,271,190,216,0,271,222,174,4349,1022,1946,835,7167,1163
0400000US11,11,District of Columbia,758689,11963,410610,8826,324665,8094,85945,4905,58971,4448,16936,2167,10038,1722,282845,10150,79930,5277,1443,709,178893,7235,22579,2458,0,271,8880,1474,33220,2951,8093,1684,15041,1984,392945,9122,226729,7311,181317,6352,45412,3508,31167,3129,8473,1418,5772,1358,130123,6728,34854,4029,783,495,82243,4897,12243,1681,0,271,5823,939,17600,2009,4855,1046,7815,1501,365744,8369,183881,6064,143348,5325,40533,3141,27804,2823,8463,1338,4266,950,152722,5874,45076,3174,660,451,96650,4529,10336,1758,0,271,3057,922,15620,2192,3238,1095,7226,1344
