GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52
0400000US47,47,Tennessee,2783927,21143,2603398,20692,2344612,21927,258786,10027,201870,9038,35244,3952,21672,2771,26108,3250,25030,3155,260,279,62,105,467,301,289,389,3743,1061,37971,3604,23111,2408,89596,6540,1454320,14371,1352010,14511,1216340,14801,135670,6716,104820,6100,18603,2656,12247,1938,12532,1928,11905,1875,38,73,62,105,238,219,289,389,2814,925,22011,2731,14701,2398,50252,4816,1329607,14779,1251388,14948,1128272,14734,123116,5990,97050,5391,16641,2497,9425,1857,13576,2200,13125,2140,222,268,0,193,229,202,0,193,929,492,15960,2348,8410,1513,39344,3573
0400000US48,48,Texas,11319479,45636,10289124,43737,9041173,41590,1247951,26766,950289,23272,184409,11504,113253,7827,175721,8904,158489,8430,1152,659,4646,1002,11151,2052,283,240,32032,4004,188214,7583,159437,8993,474951,16361,6190620,28307,5609239,27435,4897481,26356,711758,18698,520113,16096,112656,8427,78989,6975,87616,6342,76751,5737,664,521,2829,922,7192,1702,180,171,25303,3513,103625,5138,110136,7541,254701,10729,5128859,29660,4679885,28907,4143692,30193,536193,15273,430176,13165,71753,6576,34264,3375,88105,5493,81738,5284,488,309,1817,574,3959,1197,103,175,6729,1429,84589,6005,49301,5285,220250,9467
0400000US49,49,Utah,1246614,11323,1105071,12047,955038,13298,150033,6144,117099,5949,18386,2462,14548,2165,30287,3358,23859,2995,1754,885,1305,541,3369,928,0,193,9786,1751,29644,3276,13947,2365,57879,4483,697972,8032,622087,8948,537017,9705,85070,3932,65034,3585,10175,1838,9861,1791,17657,2565,13842,2280,1309,738,763,375,1743,520,0,193,6687,1262,15166,2254,9298,1824,27077,3009,548642,7799,482984,7526,418021,7686,64963,3895,52065,3829,8211,1387,4687,1187,12630,1930,10017,1717,445,358,542,308,1626,722,0,193,3099,977,14478,2022,4649,1392,30802,3435
0400000US50,50,Vermont,316925,5456,267007,5782,235127,5354,31880,2952,27153,2860,3310,779,1417,437,4109,1124,4109,1124,0,193,0,193,0,193,0,193,2501,742,20365,2146,3303,857,19640,1638,160750,3076,133294,3566,116070,3360,17224,2000,14741,1906,1606,538,877,369,2332,919,2332,919,0,193,0,193,0,193,0,193,1854,561,11216,1703,2485,667,9569,1068,156175,4096,133713,3628,119057,3579,14656,1664,12412,1553,1704,535,540,228,1777,688,1777,688,0,193,0,193,0,193,0,193,647,414,9149,1245,818,372,10071,1122
0400000US51,51,Virginia,3774998,24251,3344327,22116,3004157,23206,340170,12129,262896,11525,49204,4651,28070,3185,114082,6993,69957,5531,791,373,37492,4137,5476,1114,366,318,12632,1698,89559,6240,37477,3375,176921,8360,1993284,16957,1758220,15542,1566965,15512,191255,8382,144634,7166,28046,3554,18575,2566,59676,5312,35717,4194,466,296,19524,2926,3820,934,149,215,8717,1465,48876,4781,25797,2651,91998,5943,1781714,16671,1586107,15296,1437192,15892,148915,6994,118262,6940,21158,2322,9495,1770,54406,3829,34240,2841,325,216,17968,2742,1656,588,217,242,3915,1164,40683,3691,11680,1881,84923,4760
0400000US53,53,Washington,3049846,16697,2545193,20751,2236332,19594,308861,10312,236565,8643,37986,4096,34310,3729,172614,8068,152799,7422,771,549,2115,819,8508,1695,8421,1726,25740,2517,105823,7404,30357,3129,170119,7904,1640064,12313,1368853,14730,1206033,14487,162820,6811,122184,6357,20069,2890,20567,2778,86383,4856,75570,4784,492,481,1227,590,4386,1187,4708,1182,18330,2319,58245,5477,21612,2460,86641,5206,1409782,11152,1176340,12921,1030299,12252,146041,6643,114381,5567,17917,2440,13743,2108,86231,5397,77229,4824,279,288,888,558,4122,1140,3713,1096,7410,1388,47578,3934,8745,1805,83478,4981
0400000US54,54,West Virginia,712783,10470,659183,9886,586301,9955,72882,4896,59482,4431,9080,1977,4320,1058,5563,1321,5484,1317,31,52,35,65,0,193,13,23,629,396,20629,2177,4738,1035,22041,2670,370153,7446,342599,7069,299887,6747,42712,3238,34021,2880,5854,1374,2837,768,2743,958,2677,950,31,52,35,65,0,193,0,193,511,353,11053,1599,2950,886,10297,1566,342630,7090,316584,6846,286414,7294,30170,2838,25461,2653,3226,1266,1483,562,2820,742,2807,741,0,193,0,193,0,193,13,23,118,138,9576,1405,1788,519,11744,1771
0400000US55,55,Wisconsin,2725010,13339,2414389,15596,2172367,15239,242022,7488,193463,7686,28818,2696,19741,2084,53456,4679,52949,4599,24,41,224,221,247,194,12,16,18697,2065,94291,4953,24569,2268,119608,4720,1406751,11055,1243740,11410,1116506,11349,127234,5120,102182,5295,14393,1875,10659,1577,24560,2747,24283,2741,0,193,93,121,176,159,8,14,13145,1795,48421,3273,16000,2017,60885,3578,1318259,10429,1170649,11612,1055861,11150,114788,4529,91281,4199,14425,1627,9082,1170,28896,3118,28666,3062,24,41,131,134,71,119,4,9,5552,1142,45870,3236,8569,1430,58723,2810
0400000US56,56,Wyoming,293001,5659,260382,5159,226207,5165,34175,3344,24487,2859,5506,1232,4182,1050,4597,1372,4597,1372,0,193,0,193,0,193,0,193,2860,925,9740,1741,3558,1207,11864,2067,160247,3933,141471,3796,120448,3959,21023,2607,14669,2235,3319,1028,3035,824,3086,1063,3086,1063,0,193,0,193,0,193,0,193,1190,510,5403,1300,2115,770,6982,1469,132754,3710,118911,3474,105759,3456,13152,1730,9818,1554,2187,655,1147,462,1511,720,1511,720,0,193,0,193,0,193,0,193,1670,730,4337,1042,1443,859,4882,1154
0400000US72,72,Puerto Rico,1059501,10838,942107,11127,848681,10797,93426,5016,73101,4298,12470,1898,7855,1554,31119,3237,14487,1785,10537,1860,5635,1417,68,112,392,316,2378,720,40078,3488,17417,2595,26402,2997,557506,8198,492283,8066,445571,8402,46712,3403,36088,2647,5780,1456,4844,1243,12820,2096,6350,1140,4233,1319,2033,699,0,193,204,231,2289,713,23548,2816,11077,1893,15489,2294,501995,8028,449824,7938,403110,7526,46714,3279,37013,2889,6690,1277,3011,889,18299,2518,8137,1436,6304,1307,3602,1134,68,112,188,217,89,143,16530,1795,6340,1489,10913,1738
