GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69,HD01_VD70,HD02_VD70,HD01_VD71,HD02_VD71
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Private for-profit wage and salary workers:,Margin of Error; Private for-profit wage and salary workers:,Estimate; Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Private not-for-profit wage and salary workers,Margin of Error; Private not-for-profit wage and salary workers,Estimate; Local government workers,Margin of Error; Local government workers,Estimate; State government workers,Margin of Error; State government workers,Estimate; Federal government workers,Margin of Error; Federal government workers,Estimate; Self-employed in own not incorporated business workers,Margin of Error; Self-employed in own not incorporated business workers,Estimate; Unpaid family workers,Margin of Error; Unpaid family workers,"Estimate; Car, truck, or van - drove alone:","Margin of Error; Car, truck, or van - drove alone:","Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers:","Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers:","Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Employee of private company workers","Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Employee of private company workers","Estimate; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Margin of Error; Car, truck, or van - drove alone: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Estimate; Car, truck, or van - drove alone: - Private not-for-profit wage and salary workers","Margin of Error; Car, truck, or van - drove alone: - Private not-for-profit wage and salary workers","Estimate; Car, truck, or van - drove alone: - Local government workers","Margin of Error; Car, truck, or van - drove alone: - Local government workers","Estimate; Car, truck, or van - drove alone: - State government workers","Margin of Error; Car, truck, or van - drove alone: - State government workers","Estimate; Car, truck, or van - drove alone: - Federal government workers","Margin of Error; Car, truck, or van - drove alone: - Federal government workers","Estimate; Car, truck, or van - drove alone: - Self-employed in own not incorporated business workers","Margin of Error; Car, truck, or van - drove alone: - Self-employed in own not incorporated business workers","Estimate; Car, truck, or van - drove alone: - Unpaid family workers","Margin of Error; Car, truck, or van - drove alone: - Unpaid family workers","Estimate; Car, truck, or van - carpooled:","Margin of Error; Car, truck, or van - carpooled:","Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers:","Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers:","Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Employee of private company workers","Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Employee of private company workers","Estimate; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Margin of Error; Car, truck, or van - carpooled: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Estimate; Car, truck, or van - carpooled: - Private not-for-profit wage and salary workers","Margin of Error; Car, truck, or van - carpooled: - Private not-for-profit wage and salary workers","Estimate; Car, truck, or van - carpooled: - Local government workers","Margin of Error; Car, truck, or van - carpooled: - Local government workers","Estimate; Car, truck, or van - carpooled: - State government workers","Margin of Error; Car, truck, or van - carpooled: - State government workers","Estimate; Car, truck, or van - carpooled: - Federal government workers","Margin of Error; Car, truck, or van - carpooled: - Federal government workers","Estimate; Car, truck, or van - carpooled: - Self-employed in own not incorporated business workers","Margin of Error; Car, truck, or van - carpooled: - Self-employed in own not incorporated business workers","Estimate; Car, truck, or van - carpooled: - Unpaid family workers","Margin of Error; Car, truck, or van - carpooled: - Unpaid family workers",Estimate; Public transportation (excluding taxicab):,Margin of Error; Public transportation (excluding taxicab):,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers:,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers:,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Public transportation (excluding taxicab): - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Public transportation (excluding taxicab): - Private not-for-profit wage and salary workers,Margin of Error; Public transportation (excluding taxicab): - Private not-for-profit wage and salary workers,Estimate; Public transportation (excluding taxicab): - Local government workers,Margin of Error; Public transportation (excluding taxicab): - Local government workers,Estimate; Public transportation (excluding taxicab): - State government workers,Margin of Error; Public transportation (excluding taxicab): - State government workers,Estimate; Public transportation (excluding taxicab): - Federal government workers,Margin of Error; Public transportation (excluding taxicab): - Federal government workers,Estimate; Public transportation (excluding taxicab): - Self-employed in own not incorporated business workers,Margin of Error; Public transportation (excluding taxicab): - Self-employed in own not incorporated business workers,Estimate; Public transportation (excluding taxicab): - Unpaid family workers,Margin of Error; Public transportation (excluding taxicab): - Unpaid family workers,Estimate; Walked:,Margin of Error; Walked:,Estimate; Walked: - Private for-profit wage and salary workers:,Margin of Error; Walked: - Private for-profit wage and salary workers:,Estimate; Walked: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Walked: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Walked: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Walked: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Walked: - Private not-for-profit wage and salary workers,Margin of Error; Walked: - Private not-for-profit wage and salary workers,Estimate; Walked: - Local government workers,Margin of Error; Walked: - Local government workers,Estimate; Walked: - State government workers,Margin of Error; Walked: - State government workers,Estimate; Walked: - Federal government workers,Margin of Error; Walked: - Federal government workers,Estimate; Walked: - Self-employed in own not incorporated business workers,Margin of Error; Walked: - Self-employed in own not incorporated business workers,Estimate; Walked: - Unpaid family workers,Margin of Error; Walked: - Unpaid family workers,"Estimate; Taxicab, motorcycle, bicycle, or other means:","Margin of Error; Taxicab, motorcycle, bicycle, or other means:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers:","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers:","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Employee of private company workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Employee of private company workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Private not-for-profit wage and salary workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Private not-for-profit wage and salary workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Local government workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Local government workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - State government workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - State government workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Federal government workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Federal government workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Self-employed in own not incorporated business workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Self-employed in own not incorporated business workers","Estimate; Taxicab, motorcycle, bicycle, or other means: - Unpaid family workers","Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Unpaid family workers",Estimate; Worked at home:,Margin of Error; Worked at home:,Estimate; Worked at home: - Private for-profit wage and salary workers:,Margin of Error; Worked at home: - Private for-profit wage and salary workers:,Estimate; Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Margin of Error; Worked at home: - Private for-profit wage and salary workers: - Employee of private company workers,Estimate; Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Margin of Error; Worked at home: - Private for-profit wage and salary workers: - Self-employed in own incorporated business workers,Estimate; Worked at home: - Private not-for-profit wage and salary workers,Margin of Error; Worked at home: - Private not-for-profit wage and salary workers,Estimate; Worked at home: - Local government workers,Margin of Error; Worked at home: - Local government workers,Estimate; Worked at home: - State government workers,Margin of Error; Worked at home: - State government workers,Estimate; Worked at home: - Federal government workers,Margin of Error; Worked at home: - Federal government workers,Estimate; Worked at home: - Self-employed in own not incorporated business workers,Margin of Error; Worked at home: - Self-employed in own not incorporated business workers,Estimate; Worked at home: - Unpaid family workers,Margin of Error; Worked at home: - Unpaid family workers
0400000US01,01,Alabama,2018956,15858,1434213,14637,1371233,14888,62980,3789,119681,5026,153167,6702,110320,5383,80963,4554,118048,5744,2564,778,1677420,17355,1200994,16234,1153281,15778,47713,3259,99771,4116,132900,6264,92258,4957,68453,4215,81519,4838,1525,649,236895,9426,172828,8038,166097,7980,6731,1500,13264,2035,16496,2368,12666,2116,8133,1675,13182,1774,326,223,10200,1839,6186,1555,6186,1555,0,271,1229,629,1229,500,1105,580,318,231,133,154,0,271,25896,3269,14528,2409,13234,2355,1294,625,2982,992,798,420,2412,976,2625,1033,2308,619,243,245,21446,2361,16270,2201,15325,2120,945,490,834,418,1251,469,747,316,779,532,1565,689,0,271,47099,3439,23407,2681,17110,2152,6297,1382,1601,547,493,345,1132,592,655,536,19341,2282,470,252
0400000US02,02,Alaska,346972,5192,191048,7981,181401,7688,9647,1531,33474,2632,29532,2549,29896,2294,39763,4087,22033,2238,1226,759,226782,5878,128803,6521,122107,6163,6696,1310,21682,2336,17372,1914,20396,2120,27235,2930,10831,1609,463,468,49545,3950,27629,3221,26422,3127,1207,485,5070,974,5299,1263,3229,972,5758,1192,2465,947,95,112,5959,1351,4056,1237,4009,1228,47,79,993,531,314,188,311,232,241,257,44,59,0,271,25021,2224,11893,2177,11734,2182,159,128,2984,798,4245,837,3169,778,1349,505,1255,556,126,147,19467,1977,10533,1543,10202,1501,331,232,1854,480,2035,507,2292,836,1865,712,888,392,0,271,20198,3521,8134,1531,6927,1447,1207,543,891,399,267,296,499,386,3315,2589,6550,1334,542,554
0400000US04,04,Arizona,2873827,16529,2093981,19322,1986126,20066,107855,6252,162345,8476,224432,8690,126197,6749,91212,5813,170412,8052,5248,1611,2165002,20637,1595068,20549,1526811,20598,68257,4457,127145,7083,177813,7794,93736,5141,73444,5177,94561,5881,3235,1092,377077,13363,276458,10989,266262,10871,10196,1830,20970,2759,31506,3295,15870,2386,10991,2050,20592,3424,690,562,66779,5663,52383,5752,51907,5785,476,337,3157,1046,4039,1118,3961,1163,1090,533,1960,737,189,235,53643,4575,37799,4125,36290,4046,1509,603,2323,776,4615,1111,3863,984,2248,748,2513,724,282,284,70304,5582,51475,5448,49739,5350,1736,685,3158,1028,3728,910,5223,1236,2806,871,3914,1052,0,271,141022,6203,80798,5776,55117,4772,25681,3292,5592,1146,2731,942,3544,1022,633,447,46872,3733,852,432
0400000US05,05,Arkansas,1258196,11855,892283,14054,847089,13768,45194,3216,80761,4351,76034,4217,86475,4547,34626,3415,85154,5780,2863,922,1007134,12588,723610,12693,690994,12296,32616,2751,63785,3551,63169,4044,69099,4185,31005,3092,54749,4753,1717,777,160012,7223,114593,6817,110704,6560,3889,1032,10856,2035,10606,1443,11181,1665,2846,1042,9634,1985,296,245,5539,1494,3760,1347,3760,1347,0,271,667,457,313,281,439,346,82,132,278,296,0,271,25347,2724,15659,2414,14023,2306,1636,908,2071,782,560,298,3234,1047,142,141,3249,1158,432,379,18936,2242,14857,2320,14162,2218,695,421,733,431,869,387,680,384,333,216,1464,504,0,271,41228,3842,19804,2584,13446,1947,6358,1468,2649,832,517,298,1842,714,218,201,15780,2308,418,250
0400000US06,06,California,16811097,46380,11789930,54146,11258405,54808,531525,12785,1028248,18248,1414486,20538,653394,11548,478297,13128,1415107,20303,31635,3219,12228747,47546,8723444,44800,8362637,45416,360807,11090,746356,14621,1120269,18758,453549,10685,346293,12119,821509,15943,17327,2571,2009386,26836,1452389,26076,1399486,25956,52903,3512,116416,6843,150825,6654,77496,4340,54606,5088,151806,6937,5848,1256,884770,18628,654314,16285,649099,16223,5215,1411,64603,3915,54450,4262,42648,3554,24527,3735,43515,5078,713,613,469555,12678,302640,9148,290314,9394,12326,2320,42873,4069,31277,3282,25471,2891,24541,3521,41137,3909,1616,724,413382,12328,288598,11860,280867,11747,7731,1675,27007,3388,26226,2891,25376,2883,11672,1855,33688,4181,815,484,805257,18388,368545,11587,276002,9871,92543,5064,30993,4182,31439,3156,28854,3029,16658,3718,323452,10080,5316,1157
0400000US08,08,Colorado,2540846,14808,1815236,15577,1689993,15442,125243,6225,176447,6909,183353,6917,91522,5186,90623,4515,179640,7206,4025,1049,1874591,14975,1360366,13536,1282175,13642,78191,4595,135760,5993,147460,6204,65838,4714,68331,4061,94791,5291,2045,861,285782,11489,210898,9892,198259,9425,12639,2146,18028,2556,20931,2485,9326,1622,8378,1645,17759,2602,462,281,87436,5960,66445,5237,65667,5169,778,414,5027,1109,4632,1179,5046,1283,3076,802,3143,1014,67,94,68484,4611,41699,3632,38784,3687,2915,959,5766,1205,4290,1192,4909,1056,5564,1227,6200,1652,56,61,62982,4016,43200,3886,40334,3689,2866,823,4135,1075,3765,899,4583,1055,2080,655,5219,1317,0,271,161571,5613,92628,4678,64774,3971,27854,2780,7731,1248,2275,639,1820,600,3194,1017,52528,3939,1395,596
0400000US09,09,Connecticut,1735519,14783,1234343,14050,1171602,13312,62741,3947,156120,6423,130582,6024,75857,5787,27878,2402,107685,4652,3054,1076,1381582,13655,986022,12168,944232,12295,41790,2910,125537,5827,113502,5580,63082,5079,23300,2197,68748,4059,1391,594,154966,7185,114869,6525,109145,6214,5724,1515,12871,1832,10247,1758,5676,1498,2562,754,8416,1428,325,430,56238,4431,44391,3715,43989,3705,402,237,6282,1234,2232,838,1125,478,294,258,1914,872,0,271,49970,4139,32333,3429,30306,3249,2027,969,7417,1401,2117,716,3774,982,859,421,2768,744,702,651,21862,2635,17454,2427,16959,2402,495,328,1407,548,1228,586,423,296,414,296,936,404,0,271,70901,4363,39274,3499,26971,3140,12303,1980,2606,661,1256,462,1777,556,449,266,24903,2558,636,458
0400000US10,10,Delaware,425838,7387,311012,7552,296887,7470,14125,1770,36551,2942,15967,2087,34139,3484,12002,1915,15811,2131,356,251,338563,7670,250026,7287,239766,7144,10260,1450,29108,2459,13269,1935,26859,2789,10030,1547,9094,1607,177,171,44360,3589,32033,3209,30671,3177,1362,556,3931,958,1096,465,3711,950,1663,1223,1926,647,0,271,13946,2352,11235,2129,11235,2129,0,271,1162,646,377,374,983,576,135,162,54,89,0,271,9326,1606,5525,1247,4875,1121,650,421,1185,531,826,628,1479,1223,17,50,251,299,43,73,7126,1335,4993,998,4804,1019,189,159,362,233,125,147,725,511,58,98,785,427,78,128,12517,1613,7200,1152,5536,965,1664,670,803,350,274,220,382,266,99,94,3701,916,58,79
0400000US11,11,District of Columbia,756816,11962,328092,8734,311630,8771,16462,2064,126368,5557,41188,4723,12656,2107,219340,7016,28700,2721,472,407,339323,9050,153043,6270,143950,6104,9093,1401,52348,3729,24597,3403,7466,1616,88781,4290,12952,1753,136,174,79993,5083,30736,3482,28341,3373,2395,799,12020,1539,3950,889,1260,637,28899,2624,3039,851,89,158,268924,8956,115774,6118,113397,6133,2377,678,46170,3645,10441,2470,2326,870,89123,5414,5048,1102,42,71,37007,3226,15726,2228,15314,2221,412,254,9965,1680,1782,882,1204,429,6461,1441,1664,668,205,329,17485,2537,6861,1536,6520,1400,341,383,4045,1058,260,237,125,149,5162,1387,1032,632,0,271,14084,1723,5952,1055,4108,922,1844,701,1820,759,158,124,275,203,914,360,4965,1041,0,271
