GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD02_VD40,"Margin of Error; Walked: - Production, transportation, and material moving occupations"
HD01_VD41,Estimate; Walked: - Armed forces
HD02_VD41,Margin of Error; Walked: - Armed forces
HD01_VD42,"Estimate; Taxicab, motorcycle, bicycle, or other means:"
HD02_VD42,"Margin of Error; Taxicab, motorcycle, bicycle, or other means:"
HD01_VD43,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Management, professional, and related occupations"
HD02_VD43,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Management, professional, and related occupations"
HD01_VD44,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Service occupations"
HD02_VD44,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Service occupations"
HD01_VD45,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations"
HD02_VD45,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Sales and office occupations"
HD01_VD46,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations"
HD02_VD46,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Farming, fishing, and forestry occupations"
HD01_VD47,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations"
HD02_VD47,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Construction and extraction, and maintenance occupations"
HD01_VD48,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations"
HD02_VD48,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Production, transportation, and material moving occupations"
HD01_VD49,"Estimate; Taxicab, motorcycle, bicycle, or other means: - Armed forces"
HD02_VD49,"Margin of Error; Taxicab, motorcycle, bicycle, or other means: - Armed forces"
HD01_VD50,Estimate; Worked at home:
HD02_VD50,Margin of Error; Worked at home:
HD01_VD51,"Estimate; Worked at home: - Management, professional, and related occupations"
HD02_VD51,"Margin of Error; Worked at home: - Management, professional, and related occupations"
HD01_VD52,Estimate; Worked at home: - Service occupations
HD02_VD52,Margin of Error; Worked at home: - Service occupations
HD01_VD53,Estimate; Worked at home: - Sales and office occupations
HD02_VD53,Margin of Error; Worked at home: - Sales and office occupations
HD01_VD54,"Estimate; Worked at home: - Farming, fishing, and forestry occupations"
HD02_VD54,"Margin of Error; Worked at home: - Farming, fishing, and forestry occupations"
HD01_VD55,"Estimate; Worked at home: - Construction and extraction, and maintenance occupations"
HD02_VD55,"Margin of Error; Worked at home: - Construction and extraction, and maintenance occupations"
HD01_VD56,"Estimate; Worked at home: - Production, transportation, and material moving occupations"
HD02_VD56,"Margin of Error; Worked at home: - Production, transportation, and material moving occupations"
HD01_VD57,Estimate; Worked at home: - Armed forces
HD02_VD57,Margin of Error; Worked at home: - Armed forces
