GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD101,"Estimate; Worked at home: - Professional, scientific, and management, and administrative and waste management services"
HD02_VD101,"Margin of Error; Worked at home: - Professional, scientific, and management, and administrative and waste management services"
HD01_VD102,"Estimate; Worked at home: - Educational services, and health care and social assistance"
HD02_VD102,"Margin of Error; Worked at home: - Educational services, and health care and social assistance"
HD01_VD103,"Estimate; Worked at home: - Arts, entertainment, and recreation, and accommodation and food services"
HD02_VD103,"Margin of Error; Worked at home: - Arts, entertainment, and recreation, and accommodation and food services"
HD01_VD104,Estimate; Worked at home: - Other services (except public administration)
HD02_VD104,Margin of Error; Worked at home: - Other services (except public administration)
HD01_VD105,Estimate; Worked at home: - Public administration
HD02_VD105,Margin of Error; Worked at home: - Public administration
HD01_VD106,Estimate; Worked at home: - Armed forces
HD02_VD106,Margin of Error; Worked at home: - Armed forces
