GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,"Estimate; Median age -- - Total: - Car, truck, or van - drove alone","Margin of Error; Median age -- - Total: - Car, truck, or van - drove alone","Estimate; Median age -- - Total: - Car, truck, or van - carpooled","Margin of Error; Median age -- - Total: - Car, truck, or van - carpooled",Estimate; Median age -- - Total: - Public transportation (excluding taxicab),Margin of Error; Median age -- - Total: - Public transportation (excluding taxicab),Estimate; Median age -- - Total: - Walked,Margin of Error; Median age -- - Total: - Walked,"Estimate; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means","Margin of Error; Median age -- - Total: - Taxicab, motorcycle, bicycle, or other means",Estimate; Median age -- - Total: - Worked at home,Margin of Error; Median age -- - Total: - Worked at home
0400000US01,01,Alabama,42.3,0.2,42.4,0.2,38.7,1.0,38.0,4.4,38.6,3.2,43.6,2.8,48.7,1.5
0400000US02,02,Alaska,40.6,0.5,41.3,0.8,37.0,1.4,43.1,9.2,37.2,2.4,45.0,3.8,44.9,3.9
0400000US04,04,Arizona,41.1,0.2,41.5,0.3,37.6,0.8,35.2,2.4,31.8,1.5,35.8,1.8,48.7,0.7
0400000US05,05,Arkansas,42.0,0.3,42.3,0.3,38.7,1.2,33.9,12.3,32.5,3.5,37.7,3.6,47.9,2.1
0400000US06,06,California,41.3,0.1,41.7,0.1,39.5,0.3,38.0,0.5,34.2,0.8,36.4,0.6,47.9,0.4
0400000US08,08,Colorado,41.2,0.2,41.7,0.3,37.2,0.6,35.7,1.4,33.1,1.7,35.7,1.4,47.1,1.0
0400000US09,09,Connecticut,44.3,0.2,45.0,0.3,40.3,1.1,39.1,3.1,31.6,1.2,34.8,3.9,50.0,1.1
0400000US10,10,Delaware,42.3,0.5,43.3,0.7,35.8,2.1,34.6,3.6,28.8,3.0,38.3,2.4,47.4,1.9
0400000US11,11,District of Columbia,42.2,0.3,44.6,0.5,44.3,0.9,39.9,0.6,30.9,1.1,37.1,1.9,42.2,2.0
0400000US12,12,Florida,43.1,0.2,43.5,0.2,40.0,0.5,38.5,1.4,35.8,1.9,39.0,1.2,48.2,0.5
0400000US13,13,Georgia,41.6,0.2,42.0,0.2,38.1,0.7,34.4,1.3,31.5,2.3,40.7,2.1,46.2,0.6
0400000US15,15,Hawaii,42.0,0.3,42.3,0.4,41.7,1.2,43.4,3.7,35.2,1.2,35.3,1.8,48.8,3.2
0400000US16,16,Idaho,41.6,0.5,41.8,0.5,37.8,2.4,44.0,10.3,33.4,4.6,38.9,4.4,48.6,1.7
0400000US17,17,Illinois,42.1,0.2,43.0,0.2,40.0,0.6,36.6,0.5,33.3,0.9,39.2,1.2,46.4,0.7
0400000US18,18,Indiana,42.4,0.2,43.0,0.2,38.5,0.8,35.2,2.5,28.4,1.4,36.7,2.4,46.8,1.0
0400000US19,19,Iowa,42.1,0.3,42.8,0.3,37.8,0.9,31.6,1.8,31.5,2.4,40.1,2.2,48.6,0.9
0400000US20,20,Kansas,41.4,0.3,41.8,0.3,37.8,0.8,41.2,4.5,33.5,2.5,39.6,2.0,48.9,1.1
